dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_False_False
saver_name_pre: wasserstein_vq_substitution_1_True_False_False_ImageNet_256_model_4096_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[240/20018] vq_loss 0.9734, rec_loss 0.0611, wasserstein_loss 0.0575, quant_error 0.3732, codebook_utilization 0.9995, codebook_perplexity 2353.7178,
Train Epoch: [1/1] Iters:[250/20018] vq_loss 0.9682, rec_loss 0.0603, wasserstein_loss 0.0584, quant_error 0.3708, codebook_utilization 0.9995, codebook_perplexity 2326.7213,
Train Epoch: [1/1] Iters:[260/20018] vq_loss 0.9624, rec_loss 0.0599, wasserstein_loss 0.0558, quant_error 0.3686, codebook_utilization 0.9996, codebook_perplexity 2299.3304,
Train Epoch: [1/1] Iters:[270/20018] vq_loss 0.9508, rec_loss 0.0596, wasserstein_loss 0.0571, quant_error 0.3636, codebook_utilization 0.9996, codebook_perplexity 2234.0320,
Train Epoch: [1/1] Iters:[280/20018] vq_loss 0.9402, rec_loss 0.0590, wasserstein_loss 0.0569, quant_error 0.3591, codebook_utilization 0.9996, codebook_perplexity 2202.8120,
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.9428, rec_loss 0.0590, wasserstein_loss 0.0555, quant_error 0.3604, codebook_utilization 0.9996, codebook_perplexity 2153.3191,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.9438, rec_loss 0.0589, wasserstein_loss 0.0560, quant_error 0.3605, codebook_utilization 0.9996, codebook_perplexity 2090.8895,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.9497, rec_loss 0.0588, wasserstein_loss 0.0556, quant_error 0.3628, codebook_utilization 0.9996, codebook_perplexity 2069.2882,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.9565, rec_loss 0.0589, wasserstein_loss 0.0541, quant_error 0.3656, codebook_utilization 0.9997, codebook_perplexity 2068.4637,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.9630, rec_loss 0.0589, wasserstein_loss 0.0531, quant_error 0.3681, codebook_utilization 0.9997, codebook_perplexity 2061.3549,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.9541, rec_loss 0.0579, wasserstein_loss 0.0569, quant_error 0.3638, codebook_utilization 0.9996, codebook_perplexity 2032.5410,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.9488, rec_loss 0.0574, wasserstein_loss 0.0545, quant_error 0.3617, codebook_utilization 0.9996, codebook_perplexity 2054.3352,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.9498, rec_loss 0.0574, wasserstein_loss 0.0547, quant_error 0.3618, codebook_utilization 0.9996, codebook_perplexity 2066.8551,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.9506, rec_loss 0.0565, wasserstein_loss 0.0558, quant_error 0.3617, codebook_utilization 0.9996, codebook_perplexity 2055.7723,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.9538, rec_loss 0.0570, wasserstein_loss 0.0566, quant_error 0.3629, codebook_utilization 0.9996, codebook_perplexity 2054.9650,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.9572, rec_loss 0.0569, wasserstein_loss 0.0553, quant_error 0.3641, codebook_utilization 0.9996, codebook_perplexity 2066.0038,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.9597, rec_loss 0.0570, wasserstein_loss 0.0563, quant_error 0.3648, codebook_utilization 0.9996, codebook_perplexity 2051.0442,
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.9631, rec_loss 0.0566, wasserstein_loss 0.0552, quant_error 0.3662, codebook_utilization 0.9996, codebook_perplexity 2052.8420,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.9555, rec_loss 0.0560, wasserstein_loss 0.0604, quant_error 0.3624, codebook_utilization 0.9996, codebook_perplexity 2033.7429,
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.9496, rec_loss 0.0549, wasserstein_loss 0.0629, quant_error 0.3595, codebook_utilization 0.9996, codebook_perplexity 2015.4736,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.9474, rec_loss 0.0548, wasserstein_loss 0.0582, quant_error 0.3590, codebook_utilization 0.9997, codebook_perplexity 2044.7787,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.9496, rec_loss 0.0545, wasserstein_loss 0.0561, quant_error 0.3600, codebook_utilization 0.9997, codebook_perplexity 2065.9448,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.9421, rec_loss 0.0543, wasserstein_loss 0.0601, quant_error 0.3561, codebook_utilization 0.9997, codebook_perplexity 2053.3384,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.9469, rec_loss 0.0542, wasserstein_loss 0.0538, quant_error 0.3585, codebook_utilization 0.9997, codebook_perplexity 2104.8278,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.9475, rec_loss 0.0538, wasserstein_loss 0.0533, quant_error 0.3584, codebook_utilization 0.9997, codebook_perplexity 2133.4398,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.9459, rec_loss 0.0531, wasserstein_loss 0.0591, quant_error 0.3571, codebook_utilization 0.9997, codebook_perplexity 2109.7573,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.9424, rec_loss 0.0528, wasserstein_loss 0.0605, quant_error 0.3552, codebook_utilization 0.9996, codebook_perplexity 2104.5227,
Train Epoch: [1/1] Iters:[510/20018] vq_loss 0.9438, rec_loss 0.0522, wasserstein_loss 0.0597, quant_error 0.3558, codebook_utilization 0.9996, codebook_perplexity 2115.8162,
Train Epoch: [1/1] Iters:[520/20018] vq_loss 0.9406, rec_loss 0.0522, wasserstein_loss 0.0598, quant_error 0.3545, codebook_utilization 0.9996, codebook_perplexity 2098.9864,
Train Epoch: [1/1] Iters:[530/20018] vq_loss 0.9359, rec_loss 0.0522, wasserstein_loss 0.0581, quant_error 0.3527, codebook_utilization 0.9996, codebook_perplexity 2113.5546,
