dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.5
gamma_2: 0.1
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.5_0.1
training_pre: vanilla_vq_substitution_1_True_False_False
saver_name_pre: vanilla_vq_substitution_1_True_False_False_ImageNet_256_model_4096_32_16_loss_0.5_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[280/20018] vq_loss 0.4796, rec_loss 0.0611, quant_error 0.3589, codebook_utilization 0.8001, codebook_perplexity 684.9963,
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.4832, rec_loss 0.0616, quant_error 0.3612, codebook_utilization 0.7994, codebook_perplexity 648.2930,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.4841, rec_loss 0.0617, quant_error 0.3615, codebook_utilization 0.7980, codebook_perplexity 616.8417,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.4888, rec_loss 0.0618, quant_error 0.3646, codebook_utilization 0.7969, codebook_perplexity 599.8131,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.4929, rec_loss 0.0621, quant_error 0.3671, codebook_utilization 0.7951, codebook_perplexity 586.7962,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.4977, rec_loss 0.0622, quant_error 0.3702, codebook_utilization 0.7933, codebook_perplexity 568.8655,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.4929, rec_loss 0.0615, quant_error 0.3660, codebook_utilization 0.7887, codebook_perplexity 540.7600,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.4923, rec_loss 0.0613, quant_error 0.3649, codebook_utilization 0.7844, codebook_perplexity 518.3896,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.4918, rec_loss 0.0619, quant_error 0.3639, codebook_utilization 0.7801, codebook_perplexity 500.9625,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.4926, rec_loss 0.0613, quant_error 0.3642, codebook_utilization 0.7767, codebook_perplexity 488.5363,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.4942, rec_loss 0.0623, quant_error 0.3651, codebook_utilization 0.7739, codebook_perplexity 481.6567,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.4962, rec_loss 0.0626, quant_error 0.3663, codebook_utilization 0.7702, codebook_perplexity 479.0729,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.4971, rec_loss 0.0629, quant_error 0.3667, codebook_utilization 0.7662, codebook_perplexity 476.1767,
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.4993, rec_loss 0.0623, quant_error 0.3682, codebook_utilization 0.7619, codebook_perplexity 467.3517,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.4950, rec_loss 0.0620, quant_error 0.3647, codebook_utilization 0.7531, codebook_perplexity 451.7699,
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.4923, rec_loss 0.0608, quant_error 0.3626, codebook_utilization 0.7454, codebook_perplexity 434.5588,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.4930, rec_loss 0.0611, quant_error 0.3629, codebook_utilization 0.7389, codebook_perplexity 424.3153,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.4953, rec_loss 0.0606, quant_error 0.3646, codebook_utilization 0.7336, codebook_perplexity 413.6452,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.4924, rec_loss 0.0609, quant_error 0.3622, codebook_utilization 0.7255, codebook_perplexity 403.7757,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.4953, rec_loss 0.0609, quant_error 0.3644, codebook_utilization 0.7207, codebook_perplexity 402.9953,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.4968, rec_loss 0.0613, quant_error 0.3653, codebook_utilization 0.7155, codebook_perplexity 404.2949,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.4950, rec_loss 0.0606, quant_error 0.3640, codebook_utilization 0.7076, codebook_perplexity 402.7646,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.4924, rec_loss 0.0608, quant_error 0.3621, codebook_utilization 0.6986, codebook_perplexity 402.7850,
Train Epoch: [1/1] Iters:[510/20018] vq_loss 0.4947, rec_loss 0.0609, quant_error 0.3639, codebook_utilization 0.6931, codebook_perplexity 404.0460,
Train Epoch: [1/1] Iters:[520/20018] vq_loss 0.4938, rec_loss 0.0609, quant_error 0.3635, codebook_utilization 0.6842, codebook_perplexity 398.4649,
Train Epoch: [1/1] Iters:[530/20018] vq_loss 0.4903, rec_loss 0.0605, quant_error 0.3611, codebook_utilization 0.6735, codebook_perplexity 389.8023,
Train Epoch: [1/1] Iters:[540/20018] vq_loss 0.4896, rec_loss 0.0606, quant_error 0.3607, codebook_utilization 0.6641, codebook_perplexity 381.7935,
Train Epoch: [1/1] Iters:[550/20018] vq_loss 0.4901, rec_loss 0.0606, quant_error 0.3611, codebook_utilization 0.6567, codebook_perplexity 375.7477,
Train Epoch: [1/1] Iters:[560/20018] vq_loss 0.4883, rec_loss 0.0601, quant_error 0.3599, codebook_utilization 0.6476, codebook_perplexity 368.8981,
Train Epoch: [1/1] Iters:[570/20018] vq_loss 0.4892, rec_loss 0.0600, quant_error 0.3607, codebook_utilization 0.6403, codebook_perplexity 364.6250,
Train Epoch: [1/1] Iters:[580/20018] vq_loss 0.4914, rec_loss 0.0599, quant_error 0.3624, codebook_utilization 0.6352, codebook_perplexity 363.2839,
Train Epoch: [1/1] Iters:[590/20018] vq_loss 0.4931, rec_loss 0.0600, quant_error 0.3638, codebook_utilization 0.6291, codebook_perplexity 360.1259,
Train Epoch: [1/1] Iters:[600/20018] vq_loss 0.4920, rec_loss 0.0598, quant_error 0.3632, codebook_utilization 0.6184, codebook_perplexity 353.5238,
Train Epoch: [1/1] Iters:[610/20018] vq_loss 0.4918, rec_loss 0.0599, quant_error 0.3632, codebook_utilization 0.6093, codebook_perplexity 345.6427,
Train Epoch: [1/1] Iters:[620/20018] vq_loss 0.4954, rec_loss 0.0601, quant_error 0.3659, codebook_utilization 0.6044, codebook_perplexity 343.5032,
Train Epoch: [1/1] Iters:[630/20018] vq_loss 0.4895, rec_loss 0.0597, quant_error 0.3617, codebook_utilization 0.5901, codebook_perplexity 334.1129,
Train Epoch: [1/1] Iters:[640/20018] vq_loss 0.4891, rec_loss 0.0593, quant_error 0.3615, codebook_utilization 0.5831, codebook_perplexity 332.1955,
Train Epoch: [1/1] Iters:[650/20018] vq_loss 0.4896, rec_loss 0.0590, quant_error 0.3620, codebook_utilization 0.5778, codebook_perplexity 333.2585,
Train Epoch: [1/1] Iters:[660/20018] vq_loss 0.4891, rec_loss 0.0587, quant_error 0.3618, codebook_utilization 0.5707, codebook_perplexity 336.8511,
Train Epoch: [1/1] Iters:[670/20018] vq_loss 0.4871, rec_loss 0.0582, quant_error 0.3604, codebook_utilization 0.5626, codebook_perplexity 341.5209,
Train Epoch: [1/1] Iters:[680/20018] vq_loss 0.4911, rec_loss 0.0581, quant_error 0.3635, codebook_utilization 0.5613, codebook_perplexity 350.2543,
Train Epoch: [1/1] Iters:[690/20018] vq_loss 0.4893, rec_loss 0.0577, quant_error 0.3624, codebook_utilization 0.5521, codebook_perplexity 356.1814,
Train Epoch: [1/1] Iters:[700/20018] vq_loss 0.4885, rec_loss 0.0578, quant_error 0.3618, codebook_utilization 0.5454, codebook_perplexity 363.3101,
Train Epoch: [1/1] Iters:[710/20018] vq_loss 0.4881, rec_loss 0.0576, quant_error 0.3615, codebook_utilization 0.5413, codebook_perplexity 370.0013,
Train Epoch: [1/1] Iters:[720/20018] vq_loss 0.4883, rec_loss 0.0576, quant_error 0.3615, codebook_utilization 0.5387, codebook_perplexity 374.9584,
Train Epoch: [1/1] Iters:[730/20018] vq_loss 0.4863, rec_loss 0.0574, quant_error 0.3601, codebook_utilization 0.5319, codebook_perplexity 378.6586,
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.4901, rec_loss 0.0575, quant_error 0.3627, codebook_utilization 0.5336, codebook_perplexity 383.0461,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.4891, rec_loss 0.0568, quant_error 0.3618, codebook_utilization 0.5290, codebook_perplexity 382.5227,
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.4872, rec_loss 0.0562, quant_error 0.3604, codebook_utilization 0.5194, codebook_perplexity 378.9738,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.4828, rec_loss 0.0563, quant_error 0.3570, codebook_utilization 0.5083, codebook_perplexity 372.3751,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.4840, rec_loss 0.0561, quant_error 0.3577, codebook_utilization 0.5057, codebook_perplexity 369.0383,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.4863, rec_loss 0.0559, quant_error 0.3593, codebook_utilization 0.5038, codebook_perplexity 368.0686,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.4881, rec_loss 0.0559, quant_error 0.3605, codebook_utilization 0.5025, codebook_perplexity 367.6886,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.4925, rec_loss 0.0566, quant_error 0.3634, codebook_utilization 0.5059, codebook_perplexity 367.0488,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.4932, rec_loss 0.0563, quant_error 0.3639, codebook_utilization 0.5024, codebook_perplexity 363.6976,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.4929, rec_loss 0.0562, quant_error 0.3636, codebook_utilization 0.4975, codebook_perplexity 358.4053,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.4891, rec_loss 0.0562, quant_error 0.3608, codebook_utilization 0.4877, codebook_perplexity 352.1701,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.4865, rec_loss 0.0563, quant_error 0.3589, codebook_utilization 0.4809, codebook_perplexity 347.2166,
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.4842, rec_loss 0.0562, quant_error 0.3572, codebook_utilization 0.4725, codebook_perplexity 345.8334,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.4847, rec_loss 0.0562, quant_error 0.3575, codebook_utilization 0.4710, codebook_perplexity 346.4666,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.4841, rec_loss 0.0563, quant_error 0.3570, codebook_utilization 0.4675, codebook_perplexity 346.6108,
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.4815, rec_loss 0.0557, quant_error 0.3549, codebook_utilization 0.4608, codebook_perplexity 337.1960,
Train Epoch: [1/1] Iters:[900/20018] vq_loss 0.4844, rec_loss 0.0552, quant_error 0.3567, codebook_utilization 0.4588, codebook_perplexity 322.6824,
Train Epoch: [1/1] Iters:[910/20018] vq_loss 0.4848, rec_loss 0.0546, quant_error 0.3565, codebook_utilization 0.4565, codebook_perplexity 303.3057,
