dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
L: 4
beta: 0.1
gamma_1: 0.1
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_trick: True
use_multiscale: True
fold_token: False
add_projection: False
epochs: 4
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.1_0.1_0.1
training_pre: wasserstein_vq_substitution_4_True_True_False_False
saver_name_pre: wasserstein_vq_substitution_4_True_True_False_False_ImageNet_256_model_16384_32_16_loss_0.1_0.1_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/4] Iters:[240/20018] vq_loss 0.3665, rec_loss 0.0297, wasserstein_loss 0.0625, quant_error 0.2645, codebook_utilization 0.7851, codebook_perplexity 5864.6163,
Train Epoch: [1/4] Iters:[250/20018] vq_loss 0.3650, rec_loss 0.0294, wasserstein_loss 0.0633, quant_error 0.2633, codebook_utilization 0.7857, codebook_perplexity 5864.1027,
Train Epoch: [1/4] Iters:[260/20018] vq_loss 0.3628, rec_loss 0.0293, wasserstein_loss 0.0593, quant_error 0.2619, codebook_utilization 0.7871, codebook_perplexity 5893.1072,
Train Epoch: [1/4] Iters:[270/20018] vq_loss 0.3583, rec_loss 0.0289, wasserstein_loss 0.0599, quant_error 0.2585, codebook_utilization 0.7873, codebook_perplexity 5871.4338,
Train Epoch: [1/4] Iters:[280/20018] vq_loss 0.3544, rec_loss 0.0284, wasserstein_loss 0.0593, quant_error 0.2556, codebook_utilization 0.7892, codebook_perplexity 5922.6987,
Train Epoch: [1/4] Iters:[290/20018] vq_loss 0.3570, rec_loss 0.0285, wasserstein_loss 0.0579, quant_error 0.2578, codebook_utilization 0.7912, codebook_perplexity 5961.8034,
Train Epoch: [1/4] Iters:[300/20018] vq_loss 0.3566, rec_loss 0.0286, wasserstein_loss 0.0593, quant_error 0.2574, codebook_utilization 0.7900, codebook_perplexity 5914.0729,
Train Epoch: [1/4] Iters:[310/20018] vq_loss 0.3600, rec_loss 0.0288, wasserstein_loss 0.0595, quant_error 0.2600, codebook_utilization 0.7906, codebook_perplexity 5931.4446,
Train Epoch: [1/4] Iters:[320/20018] vq_loss 0.3632, rec_loss 0.0293, wasserstein_loss 0.0583, quant_error 0.2625, codebook_utilization 0.7913, codebook_perplexity 5981.6747,
Train Epoch: [1/4] Iters:[330/20018] vq_loss 0.3665, rec_loss 0.0297, wasserstein_loss 0.0579, quant_error 0.2651, codebook_utilization 0.7921, codebook_perplexity 6013.0100,
