dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 2
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_2_True_False_False
saver_name_pre: wasserstein_vq_substitution_2_True_False_False_ImageNet_256_model_16384_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/2] Iters:[240/20018] vq_loss 0.9349, rec_loss 0.0514, wasserstein_loss 0.0572, quant_error 0.3500, codebook_utilization 0.8914, codebook_perplexity 9217.5867,
Train Epoch: [1/2] Iters:[250/20018] vq_loss 0.9276, rec_loss 0.0509, wasserstein_loss 0.0571, quant_error 0.3470, codebook_utilization 0.8914, codebook_perplexity 9013.1295,
Train Epoch: [1/2] Iters:[260/20018] vq_loss 0.9227, rec_loss 0.0506, wasserstein_loss 0.0534, quant_error 0.3452, codebook_utilization 0.8920, codebook_perplexity 8977.7142,
Train Epoch: [1/2] Iters:[270/20018] vq_loss 0.9095, rec_loss 0.0499, wasserstein_loss 0.0548, quant_error 0.3396, codebook_utilization 0.8925, codebook_perplexity 8905.0851,
Train Epoch: [1/2] Iters:[280/20018] vq_loss 0.8991, rec_loss 0.0493, wasserstein_loss 0.0532, quant_error 0.3354, codebook_utilization 0.8932, codebook_perplexity 8922.7740,
Train Epoch: [1/2] Iters:[290/20018] vq_loss 0.9029, rec_loss 0.0493, wasserstein_loss 0.0538, quant_error 0.3368, codebook_utilization 0.8931, codebook_perplexity 8841.4366,
Train Epoch: [1/2] Iters:[300/20018] vq_loss 0.9040, rec_loss 0.0489, wasserstein_loss 0.0572, quant_error 0.3366, codebook_utilization 0.8926, codebook_perplexity 8658.6315,
Train Epoch: [1/2] Iters:[310/20018] vq_loss 0.9086, rec_loss 0.0487, wasserstein_loss 0.0563, quant_error 0.3383, codebook_utilization 0.8928, codebook_perplexity 8606.4352,
Train Epoch: [1/2] Iters:[320/20018] vq_loss 0.9151, rec_loss 0.0489, wasserstein_loss 0.0553, quant_error 0.3408, codebook_utilization 0.8928, codebook_perplexity 8573.2627,
Train Epoch: [1/2] Iters:[330/20018] vq_loss 0.9220, rec_loss 0.0488, wasserstein_loss 0.0551, quant_error 0.3432, codebook_utilization 0.8928, codebook_perplexity 8548.7499,
