dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
L: 4
beta: 0.1
gamma_1: 0.1
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_trick: False
use_multiscale: True
fold_token: False
add_projection: False
epochs: 4
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.1_0.1_0.1
training_pre: wasserstein_vq_substitution_4_False_True_False_False
saver_name_pre: wasserstein_vq_substitution_4_False_True_False_False_ImageNet_256_model_16384_32_16_loss_0.1_0.1_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/4] Iters:[240/20018] vq_loss 0.4180, rec_loss 0.0371, wasserstein_loss 0.0773, quant_error 0.3067, codebook_utilization 0.7963, codebook_perplexity 2908.0170,
Train Epoch: [1/4] Iters:[250/20018] vq_loss 0.4141, rec_loss 0.0365, wasserstein_loss 0.0800, quant_error 0.3034, codebook_utilization 0.7967, codebook_perplexity 2906.8225,
Train Epoch: [1/4] Iters:[260/20018] vq_loss 0.4111, rec_loss 0.0361, wasserstein_loss 0.0737, quant_error 0.3015, codebook_utilization 0.7989, codebook_perplexity 2955.7592,
Train Epoch: [1/4] Iters:[270/20018] vq_loss 0.4046, rec_loss 0.0355, wasserstein_loss 0.0747, quant_error 0.2963, codebook_utilization 0.7995, codebook_perplexity 2945.7134,
Train Epoch: [1/4] Iters:[280/20018] vq_loss 0.3992, rec_loss 0.0348, wasserstein_loss 0.0732, quant_error 0.2922, codebook_utilization 0.8014, codebook_perplexity 2997.4017,
Train Epoch: [1/4] Iters:[290/20018] vq_loss 0.4000, rec_loss 0.0348, wasserstein_loss 0.0699, quant_error 0.2931, codebook_utilization 0.8036, codebook_perplexity 3065.1504,
Train Epoch: [1/4] Iters:[300/20018] vq_loss 0.4000, rec_loss 0.0346, wasserstein_loss 0.0700, quant_error 0.2929, codebook_utilization 0.8027, codebook_perplexity 3059.6509,
Train Epoch: [1/4] Iters:[310/20018] vq_loss 0.4017, rec_loss 0.0343, wasserstein_loss 0.0719, quant_error 0.2940, codebook_utilization 0.8027, codebook_perplexity 3080.6791,
Train Epoch: [1/4] Iters:[320/20018] vq_loss 0.4041, rec_loss 0.0345, wasserstein_loss 0.0700, quant_error 0.2959, codebook_utilization 0.8034, codebook_perplexity 3124.9282,
Train Epoch: [1/4] Iters:[330/20018] vq_loss 0.4067, rec_loss 0.0346, wasserstein_loss 0.0691, quant_error 0.2978, codebook_utilization 0.8041, codebook_perplexity 3164.4036,
