dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.2
lambd: 0.2
VQ: ema_vq
resume: False
use_multiscale: True
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_empty
training_pre: ema_vq_substitution_1_True
saver_name_pre: ema_vq_substitution_1_True_ImageNet_256_model_4096_32_16_loss_empty
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.4736, rec_loss 0.0558, quant_error 0.3524, codebook_utilization 0.7151, codebook_perplexity 1476.2956,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.4731, rec_loss 0.0557, quant_error 0.3516, codebook_utilization 0.7155, codebook_perplexity 1474.2792,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.4761, rec_loss 0.0554, quant_error 0.3535, codebook_utilization 0.7174, codebook_perplexity 1478.5102,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.4797, rec_loss 0.0556, quant_error 0.3559, codebook_utilization 0.7186, codebook_perplexity 1482.6079,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.4827, rec_loss 0.0557, quant_error 0.3578, codebook_utilization 0.7200, codebook_perplexity 1486.9903,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.4789, rec_loss 0.0549, quant_error 0.3545, codebook_utilization 0.7195, codebook_perplexity 1477.2823,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.4772, rec_loss 0.0545, quant_error 0.3528, codebook_utilization 0.7201, codebook_perplexity 1476.7304,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.4774, rec_loss 0.0545, quant_error 0.3526, codebook_utilization 0.7198, codebook_perplexity 1479.0479,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.4779, rec_loss 0.0535, quant_error 0.3526, codebook_utilization 0.7202, codebook_perplexity 1479.1322,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.4796, rec_loss 0.0539, quant_error 0.3536, codebook_utilization 0.7209, codebook_perplexity 1478.7731,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.4810, rec_loss 0.0538, quant_error 0.3543, codebook_utilization 0.7216, codebook_perplexity 1481.7404,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.4820, rec_loss 0.0540, quant_error 0.3546, codebook_utilization 0.7226, codebook_perplexity 1478.5822,
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.4845, rec_loss 0.0537, quant_error 0.3563, codebook_utilization 0.7235, codebook_perplexity 1479.7595,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.4803, rec_loss 0.0534, quant_error 0.3527, codebook_utilization 0.7221, codebook_perplexity 1468.9211,
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.4776, rec_loss 0.0525, quant_error 0.3505, codebook_utilization 0.7209, codebook_perplexity 1462.4178,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.4779, rec_loss 0.0525, quant_error 0.3504, codebook_utilization 0.7203, codebook_perplexity 1464.6777,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.4793, rec_loss 0.0520, quant_error 0.3512, codebook_utilization 0.7206, codebook_perplexity 1466.4752,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.4754, rec_loss 0.0520, quant_error 0.3479, codebook_utilization 0.7195, codebook_perplexity 1458.0299,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.4778, rec_loss 0.0518, quant_error 0.3494, codebook_utilization 0.7215, codebook_perplexity 1466.1176,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.4799, rec_loss 0.0518, quant_error 0.3506, codebook_utilization 0.7232, codebook_perplexity 1472.7250,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.4773, rec_loss 0.0512, quant_error 0.3483, codebook_utilization 0.7249, codebook_perplexity 1465.9867,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.4753, rec_loss 0.0511, quant_error 0.3464, codebook_utilization 0.7257, codebook_perplexity 1462.9295,
Train Epoch: [1/1] Iters:[510/20018] vq_loss 0.4775, rec_loss 0.0508, quant_error 0.3479, codebook_utilization 0.7279, codebook_perplexity 1470.6459,
Train Epoch: [1/1] Iters:[520/20018] vq_loss 0.4759, rec_loss 0.0509, quant_error 0.3467, codebook_utilization 0.7282, codebook_perplexity 1462.9057,
Train Epoch: [1/1] Iters:[530/20018] vq_loss 0.4726, rec_loss 0.0506, quant_error 0.3440, codebook_utilization 0.7275, codebook_perplexity 1458.0591,
Train Epoch: [1/1] Iters:[540/20018] vq_loss 0.4730, rec_loss 0.0508, quant_error 0.3441, codebook_utilization 0.7268, codebook_perplexity 1462.3751,
Train Epoch: [1/1] Iters:[550/20018] vq_loss 0.4739, rec_loss 0.0507, quant_error 0.3447, codebook_utilization 0.7275, codebook_perplexity 1465.1817,
Train Epoch: [1/1] Iters:[560/20018] vq_loss 0.4731, rec_loss 0.0503, quant_error 0.3440, codebook_utilization 0.7271, codebook_perplexity 1464.0063,
Train Epoch: [1/1] Iters:[570/20018] vq_loss 0.4753, rec_loss 0.0502, quant_error 0.3455, codebook_utilization 0.7279, codebook_perplexity 1468.8069,
Train Epoch: [1/1] Iters:[580/20018] vq_loss 0.4770, rec_loss 0.0498, quant_error 0.3466, codebook_utilization 0.7293, codebook_perplexity 1467.2295,
Train Epoch: [1/1] Iters:[590/20018] vq_loss 0.4781, rec_loss 0.0494, quant_error 0.3474, codebook_utilization 0.7303, codebook_perplexity 1466.4311,
Train Epoch: [1/1] Iters:[600/20018] vq_loss 0.4773, rec_loss 0.0488, quant_error 0.3464, codebook_utilization 0.7294, codebook_perplexity 1468.3620,
Train Epoch: [1/1] Iters:[610/20018] vq_loss 0.4751, rec_loss 0.0485, quant_error 0.3445, codebook_utilization 0.7297, codebook_perplexity 1463.5853,
Train Epoch: [1/1] Iters:[620/20018] vq_loss 0.4769, rec_loss 0.0483, quant_error 0.3456, codebook_utilization 0.7306, codebook_perplexity 1469.0437,
Train Epoch: [1/1] Iters:[630/20018] vq_loss 0.4703, rec_loss 0.0475, quant_error 0.3405, codebook_utilization 0.7290, codebook_perplexity 1459.0301,
Train Epoch: [1/1] Iters:[640/20018] vq_loss 0.4696, rec_loss 0.0471, quant_error 0.3397, codebook_utilization 0.7302, codebook_perplexity 1461.5480,
Train Epoch: [1/1] Iters:[650/20018] vq_loss 0.4696, rec_loss 0.0468, quant_error 0.3397, codebook_utilization 0.7311, codebook_perplexity 1459.8172,
Train Epoch: [1/1] Iters:[660/20018] vq_loss 0.4700, rec_loss 0.0466, quant_error 0.3398, codebook_utilization 0.7318, codebook_perplexity 1459.1595,
Train Epoch: [1/1] Iters:[670/20018] vq_loss 0.4687, rec_loss 0.0460, quant_error 0.3387, codebook_utilization 0.7311, codebook_perplexity 1458.0224,
Train Epoch: [1/1] Iters:[680/20018] vq_loss 0.4732, rec_loss 0.0460, quant_error 0.3421, codebook_utilization 0.7320, codebook_perplexity 1463.7301,
Train Epoch: [1/1] Iters:[690/20018] vq_loss 0.4721, rec_loss 0.0457, quant_error 0.3412, codebook_utilization 0.7300, codebook_perplexity 1459.0500,
Train Epoch: [1/1] Iters:[700/20018] vq_loss 0.4714, rec_loss 0.0459, quant_error 0.3406, codebook_utilization 0.7285, codebook_perplexity 1457.0228,
Train Epoch: [1/1] Iters:[710/20018] vq_loss 0.4709, rec_loss 0.0457, quant_error 0.3400, codebook_utilization 0.7270, codebook_perplexity 1454.3720,
Train Epoch: [1/1] Iters:[720/20018] vq_loss 0.4712, rec_loss 0.0458, quant_error 0.3402, codebook_utilization 0.7269, codebook_perplexity 1451.2244,
Train Epoch: [1/1] Iters:[730/20018] vq_loss 0.4690, rec_loss 0.0459, quant_error 0.3384, codebook_utilization 0.7258, codebook_perplexity 1449.2904,
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.4719, rec_loss 0.0460, quant_error 0.3404, codebook_utilization 0.7266, codebook_perplexity 1449.9038,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.4713, rec_loss 0.0454, quant_error 0.3398, codebook_utilization 0.7259, codebook_perplexity 1445.3082,
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.4694, rec_loss 0.0448, quant_error 0.3381, codebook_utilization 0.7244, codebook_perplexity 1444.9616,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.4658, rec_loss 0.0446, quant_error 0.3352, codebook_utilization 0.7225, codebook_perplexity 1438.4263,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.4676, rec_loss 0.0444, quant_error 0.3364, codebook_utilization 0.7230, codebook_perplexity 1440.2587,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.4706, rec_loss 0.0443, quant_error 0.3384, codebook_utilization 0.7231, codebook_perplexity 1447.2929,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.4727, rec_loss 0.0444, quant_error 0.3399, codebook_utilization 0.7227, codebook_perplexity 1447.1600,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.4764, rec_loss 0.0450, quant_error 0.3426, codebook_utilization 0.7232, codebook_perplexity 1448.5096,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.4771, rec_loss 0.0448, quant_error 0.3428, codebook_utilization 0.7227, codebook_perplexity 1446.7002,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.4767, rec_loss 0.0446, quant_error 0.3423, codebook_utilization 0.7221, codebook_perplexity 1444.1963,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.4730, rec_loss 0.0444, quant_error 0.3392, codebook_utilization 0.7211, codebook_perplexity 1441.1921,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.4698, rec_loss 0.0440, quant_error 0.3364, codebook_utilization 0.7210, codebook_perplexity 1440.0195,
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.4675, rec_loss 0.0437, quant_error 0.3343, codebook_utilization 0.7217, codebook_perplexity 1440.9973,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.4673, rec_loss 0.0436, quant_error 0.3339, codebook_utilization 0.7234, codebook_perplexity 1443.9223,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.4661, rec_loss 0.0436, quant_error 0.3327, codebook_utilization 0.7241, codebook_perplexity 1447.7651,
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.4628, rec_loss 0.0430, quant_error 0.3299, codebook_utilization 0.7242, codebook_perplexity 1446.1408,
Train Epoch: [1/1] Iters:[900/20018] vq_loss 0.4657, rec_loss 0.0432, quant_error 0.3319, codebook_utilization 0.7264, codebook_perplexity 1456.5972,
Train Epoch: [1/1] Iters:[910/20018] vq_loss 0.4658, rec_loss 0.0433, quant_error 0.3317, codebook_utilization 0.7274, codebook_perplexity 1460.6429,
Train Epoch: [1/1] Iters:[920/20018] vq_loss 0.4682, rec_loss 0.0432, quant_error 0.3334, codebook_utilization 0.7288, codebook_perplexity 1463.0367,
Train Epoch: [1/1] Iters:[930/20018] vq_loss 0.4677, rec_loss 0.0429, quant_error 0.3327, codebook_utilization 0.7288, codebook_perplexity 1459.2875,
Train Epoch: [1/1] Iters:[940/20018] vq_loss 0.4696, rec_loss 0.0431, quant_error 0.3340, codebook_utilization 0.7303, codebook_perplexity 1458.9877,
Train Epoch: [1/1] Iters:[950/20018] vq_loss 0.4666, rec_loss 0.0426, quant_error 0.3315, codebook_utilization 0.7295, codebook_perplexity 1452.7743,
Train Epoch: [1/1] Iters:[960/20018] vq_loss 0.4688, rec_loss 0.0422, quant_error 0.3328, codebook_utilization 0.7305, codebook_perplexity 1452.7900,
Train Epoch: [1/1] Iters:[970/20018] vq_loss 0.4646, rec_loss 0.0421, quant_error 0.3293, codebook_utilization 0.7293, codebook_perplexity 1452.0407,
Train Epoch: [1/1] Iters:[980/20018] vq_loss 0.4639, rec_loss 0.0426, quant_error 0.3286, codebook_utilization 0.7293, codebook_perplexity 1454.9599,
Train Epoch: [1/1] Iters:[990/20018] vq_loss 0.4608, rec_loss 0.0424, quant_error 0.3260, codebook_utilization 0.7278, codebook_perplexity 1453.1719,
Train Epoch: [1/1] Iters:[1000/20018] vq_loss 0.4635, rec_loss 0.0428, quant_error 0.3277, codebook_utilization 0.7289, codebook_perplexity 1461.5343,
Train Epoch: [1/1] Iters:[1010/20018] vq_loss 0.4625, rec_loss 0.0426, quant_error 0.3267, codebook_utilization 0.7284, codebook_perplexity 1461.9561,
Train Epoch: [1/1] Iters:[1020/20018] vq_loss 0.4640, rec_loss 0.0425, quant_error 0.3275, codebook_utilization 0.7290, codebook_perplexity 1462.9860,
Train Epoch: [1/1] Iters:[1030/20018] vq_loss 0.4654, rec_loss 0.0420, quant_error 0.3283, codebook_utilization 0.7297, codebook_perplexity 1462.5701,
Train Epoch: [1/1] Iters:[1040/20018] vq_loss 0.4669, rec_loss 0.0421, quant_error 0.3292, codebook_utilization 0.7304, codebook_perplexity 1464.6055,
Train Epoch: [1/1] Iters:[1050/20018] vq_loss 0.4660, rec_loss 0.0417, quant_error 0.3281, codebook_utilization 0.7299, codebook_perplexity 1462.2406,
Train Epoch: [1/1] Iters:[1060/20018] vq_loss 0.4651, rec_loss 0.0416, quant_error 0.3271, codebook_utilization 0.7294, codebook_perplexity 1459.7308,
Train Epoch: [1/1] Iters:[1070/20018] vq_loss 0.4635, rec_loss 0.0411, quant_error 0.3256, codebook_utilization 0.7288, codebook_perplexity 1462.2423,
Train Epoch: [1/1] Iters:[1080/20018] vq_loss 0.4658, rec_loss 0.0412, quant_error 0.3270, codebook_utilization 0.7298, codebook_perplexity 1468.4535,
Train Epoch: [1/1] Iters:[1090/20018] vq_loss 0.4673, rec_loss 0.0411, quant_error 0.3279, codebook_utilization 0.7300, codebook_perplexity 1465.9826,
Train Epoch: [1/1] Iters:[1100/20018] vq_loss 0.4685, rec_loss 0.0410, quant_error 0.3286, codebook_utilization 0.7304, codebook_perplexity 1463.6440,
Train Epoch: [1/1] Iters:[1110/20018] vq_loss 0.4665, rec_loss 0.0409, quant_error 0.3268, codebook_utilization 0.7290, codebook_perplexity 1457.3001,
Train Epoch: [1/1] Iters:[1120/20018] vq_loss 0.4697, rec_loss 0.0412, quant_error 0.3290, codebook_utilization 0.7284, codebook_perplexity 1456.4035,
Train Epoch: [1/1] Iters:[1130/20018] vq_loss 0.4656, rec_loss 0.0405, quant_error 0.3256, codebook_utilization 0.7257, codebook_perplexity 1448.7512,
Train Epoch: [1/1] Iters:[1140/20018] vq_loss 0.4679, rec_loss 0.0403, quant_error 0.3269, codebook_utilization 0.7251, codebook_perplexity 1455.7937,
Train Epoch: [1/1] Iters:[1150/20018] vq_loss 0.4691, rec_loss 0.0403, quant_error 0.3275, codebook_utilization 0.7250, codebook_perplexity 1457.7857,
Train Epoch: [1/1] Iters:[1160/20018] vq_loss 0.4732, rec_loss 0.0408, quant_error 0.3302, codebook_utilization 0.7260, codebook_perplexity 1464.3401,
Train Epoch: [1/1] Iters:[1170/20018] vq_loss 0.4723, rec_loss 0.0406, quant_error 0.3292, codebook_utilization 0.7261, codebook_perplexity 1463.0845,
Train Epoch: [1/1] Iters:[1180/20018] vq_loss 0.4747, rec_loss 0.0406, quant_error 0.3307, codebook_utilization 0.7267, codebook_perplexity 1461.3646,
Train Epoch: [1/1] Iters:[1190/20018] vq_loss 0.4710, rec_loss 0.0405, quant_error 0.3276, codebook_utilization 0.7259, codebook_perplexity 1452.7370,
Train Epoch: [1/1] Iters:[1200/20018] vq_loss 0.4708, rec_loss 0.0407, quant_error 0.3272, codebook_utilization 0.7256, codebook_perplexity 1453.1012,
Train Epoch: [1/1] Iters:[1210/20018] vq_loss 0.4683, rec_loss 0.0400, quant_error 0.3250, codebook_utilization 0.7263, codebook_perplexity 1447.5329,
Train Epoch: [1/1] Iters:[1220/20018] vq_loss 0.4686, rec_loss 0.0401, quant_error 0.3251, codebook_utilization 0.7271, codebook_perplexity 1444.6556,
Train Epoch: [1/1] Iters:[1230/20018] vq_loss 0.4692, rec_loss 0.0404, quant_error 0.3252, codebook_utilization 0.7265, codebook_perplexity 1446.8617,
Train Epoch: [1/1] Iters:[1240/20018] vq_loss 0.4705, rec_loss 0.0401, quant_error 0.3258, codebook_utilization 0.7254, codebook_perplexity 1447.7245,
