dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.5
gamma_2: 0.1
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.5_0.1
training_pre: vanilla_vq_substitution_1_True_False_True
saver_name_pre: vanilla_vq_substitution_1_True_False_True_ImageNet_256_model_4096_16_16_loss_0.5_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.4931, rec_loss 0.0332, quant_error 0.2763, codebook_utilization 0.6097, codebook_perplexity 627.5237,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.4939, rec_loss 0.0332, quant_error 0.2753, codebook_utilization 0.6096, codebook_perplexity 582.3553,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.4980, rec_loss 0.0332, quant_error 0.2765, codebook_utilization 0.6094, codebook_perplexity 546.5861,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.5024, rec_loss 0.0336, quant_error 0.2778, codebook_utilization 0.6086, codebook_perplexity 517.0939,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.5071, rec_loss 0.0339, quant_error 0.2793, codebook_utilization 0.6076, codebook_perplexity 492.8093,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.5034, rec_loss 0.0336, quant_error 0.2759, codebook_utilization 0.6049, codebook_perplexity 462.2856,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.5020, rec_loss 0.0334, quant_error 0.2738, codebook_utilization 0.6022, codebook_perplexity 438.9047,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.5018, rec_loss 0.0335, quant_error 0.2723, codebook_utilization 0.5993, codebook_perplexity 420.2468,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.5032, rec_loss 0.0330, quant_error 0.2721, codebook_utilization 0.5963, codebook_perplexity 405.1510,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.5053, rec_loss 0.0334, quant_error 0.2725, codebook_utilization 0.5935, codebook_perplexity 389.3497,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.5084, rec_loss 0.0335, quant_error 0.2735, codebook_utilization 0.5898, codebook_perplexity 378.6394,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.5105, rec_loss 0.0339, quant_error 0.2739, codebook_utilization 0.5855, codebook_perplexity 367.1865,
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.5135, rec_loss 0.0339, quant_error 0.2751, codebook_utilization 0.5811, codebook_perplexity 356.6020,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.5091, rec_loss 0.0339, quant_error 0.2719, codebook_utilization 0.5735, codebook_perplexity 343.2741,
