dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_1000
saver_name_pre: wasserstein_vq_substitution_1_True_1000_ImageNet_256_model_4096_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[250/20018] vq_loss 0.4625, rec_loss 0.0350, wasserstein_loss 0.0457, quant_error 0.2932, codebook_utilization 0.9968, codebook_perplexity 652.5439,
Train Epoch: [1/1] Iters:[260/20018] vq_loss 0.4599, rec_loss 0.0347, wasserstein_loss 0.0439, quant_error 0.2912, codebook_utilization 0.9971, codebook_perplexity 632.3263,
Train Epoch: [1/1] Iters:[270/20018] vq_loss 0.4539, rec_loss 0.0344, wasserstein_loss 0.0429, quant_error 0.2868, codebook_utilization 0.9972, codebook_perplexity 606.1095,
Train Epoch: [1/1] Iters:[280/20018] vq_loss 0.4495, rec_loss 0.0339, wasserstein_loss 0.0432, quant_error 0.2835, codebook_utilization 0.9973, codebook_perplexity 596.4820,
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.4510, rec_loss 0.0338, wasserstein_loss 0.0440, quant_error 0.2843, codebook_utilization 0.9976, codebook_perplexity 584.0124,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.4498, rec_loss 0.0337, wasserstein_loss 0.0437, quant_error 0.2829, codebook_utilization 0.9976, codebook_perplexity 555.6429,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.4528, rec_loss 0.0337, wasserstein_loss 0.0421, quant_error 0.2849, codebook_utilization 0.9977, codebook_perplexity 544.6738,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.4562, rec_loss 0.0340, wasserstein_loss 0.0407, quant_error 0.2869, codebook_utilization 0.9979, codebook_perplexity 534.0391,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.4605, rec_loss 0.0342, wasserstein_loss 0.0398, quant_error 0.2894, codebook_utilization 0.9979, codebook_perplexity 518.2200,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.4574, rec_loss 0.0338, wasserstein_loss 0.0420, quant_error 0.2863, codebook_utilization 0.9980, codebook_perplexity 497.3277,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.4564, rec_loss 0.0336, wasserstein_loss 0.0420, quant_error 0.2853, codebook_utilization 0.9981, codebook_perplexity 497.6434,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.4561, rec_loss 0.0335, wasserstein_loss 0.0431, quant_error 0.2843, codebook_utilization 0.9981, codebook_perplexity 493.6986,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.4565, rec_loss 0.0328, wasserstein_loss 0.0433, quant_error 0.2839, codebook_utilization 0.9981, codebook_perplexity 485.1859,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.4583, rec_loss 0.0332, wasserstein_loss 0.0446, quant_error 0.2845, codebook_utilization 0.9982, codebook_perplexity 482.5157,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.4597, rec_loss 0.0331, wasserstein_loss 0.0439, quant_error 0.2849, codebook_utilization 0.9983, codebook_perplexity 478.4889,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.4608, rec_loss 0.0332, wasserstein_loss 0.0423, quant_error 0.2851, codebook_utilization 0.9983, codebook_perplexity 470.1854,
