Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.3030, rec_loss 0.0326, lpips_loss 0.2704, g_loss -0.0323, disc_weight 0.0000, disc_adaptive_weight 3.1174, codebook_loss 0.6608, utilization 0.2038, perplexity 12069.4500, d_loss 0.0000, logits_real 0.0330, logits_fake 0.0334,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.3006, rec_loss 0.0318, lpips_loss 0.2688, g_loss -0.0308, disc_weight 0.0000, disc_adaptive_weight 3.1681, codebook_loss 0.6529, utilization 0.2033, perplexity 12028.3333, d_loss 0.0000, logits_real 0.0328, logits_fake 0.0326,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.3001, rec_loss 0.0319, lpips_loss 0.2681, g_loss -0.0320, disc_weight 0.0000, disc_adaptive_weight 3.0611, codebook_loss 0.6497, utilization 0.2031, perplexity 12007.7365, d_loss 0.0000, logits_real 0.0341, logits_fake 0.0335,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.2977, rec_loss 0.0315, lpips_loss 0.2662, g_loss -0.0303, disc_weight 0.0000, disc_adaptive_weight 3.1393, codebook_loss 0.6416, utilization 0.2027, perplexity 11967.5758, d_loss 0.0000, logits_real 0.0326, logits_fake 0.0314,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.2982, rec_loss 0.0313, lpips_loss 0.2669, g_loss -0.0280, disc_weight 0.0000, disc_adaptive_weight 2.9959, codebook_loss 0.6393, utilization 0.2028, perplexity 12001.1138, d_loss 0.0000, logits_real 0.0317, logits_fake 0.0294,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.2957, rec_loss 0.0310, lpips_loss 0.2647, g_loss -0.0271, disc_weight 0.0000, disc_adaptive_weight 2.9535, codebook_loss 0.6363, utilization 0.2028, perplexity 12013.5808, d_loss 0.0000, logits_real 0.0298, logits_fake 0.0287,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.2956, rec_loss 0.0312, lpips_loss 0.2644, g_loss -0.0301, disc_weight 0.0000, disc_adaptive_weight 2.7458, codebook_loss 0.6362, utilization 0.2028, perplexity 12023.2053, d_loss 0.0000, logits_real 0.0324, logits_fake 0.0310,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.2951, rec_loss 0.0312, lpips_loss 0.2640, g_loss -0.0301, disc_weight 0.0000, disc_adaptive_weight 2.7668, codebook_loss 0.6319, utilization 0.2029, perplexity 12030.0095, d_loss 0.0000, logits_real 0.0320, logits_fake 0.0320,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.2931, rec_loss 0.0310, lpips_loss 0.2621, g_loss -0.0318, disc_weight 0.0000, disc_adaptive_weight 2.7277, codebook_loss 0.6300, utilization 0.2028, perplexity 12006.1107, d_loss 0.0000, logits_real 0.0333, logits_fake 0.0336,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.2924, rec_loss 0.0308, lpips_loss 0.2615, g_loss -0.0325, disc_weight 0.0000, disc_adaptive_weight 2.6385, codebook_loss 0.6294, utilization 0.2027, perplexity 11982.4345, d_loss 0.0000, logits_real 0.0340, logits_fake 0.0348,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.2931, rec_loss 0.0308, lpips_loss 0.2623, g_loss -0.0330, disc_weight 0.0000, disc_adaptive_weight 2.6139, codebook_loss 0.6267, utilization 0.2025, perplexity 11958.3188, d_loss 0.0000, logits_real 0.0350, logits_fake 0.0350,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.2952, rec_loss 0.0316, lpips_loss 0.2635, g_loss -0.0321, disc_weight 0.0000, disc_adaptive_weight 2.7671, codebook_loss 0.6277, utilization 0.2026, perplexity 11967.9057, d_loss 0.0000, logits_real 0.0329, logits_fake 0.0329,
