Train Epoch: [1/5] Iters:[130/40036] gen_loss 0.5869, rec_loss 0.0773, lpips_loss 0.5095, g_loss 0.2100, disc_weight 0.0000, disc_adaptive_weight 4.2249, codebook_loss 0.7406, utilization 0.0020, perplexity 23.5493, d_loss 0.0000, logits_real -0.2088, logits_fake -0.2082,
Train Epoch: [1/5] Iters:[140/40036] gen_loss 0.5873, rec_loss 0.0774, lpips_loss 0.5100, g_loss 0.2127, disc_weight 0.0000, disc_adaptive_weight 4.3681, codebook_loss 0.7162, utilization 0.0020, perplexity 22.7811, d_loss 0.0000, logits_real -0.2071, logits_fake -0.2110,
Train Epoch: [1/5] Iters:[150/40036] gen_loss 0.5864, rec_loss 0.0770, lpips_loss 0.5094, g_loss 0.2145, disc_weight 0.0000, disc_adaptive_weight 4.5006, codebook_loss 0.6962, utilization 0.0020, perplexity 22.0721, d_loss 0.0000, logits_real -0.2064, logits_fake -0.2112,
Train Epoch: [1/5] Iters:[160/40036] gen_loss 0.5851, rec_loss 0.0769, lpips_loss 0.5082, g_loss 0.2149, disc_weight 0.0000, disc_adaptive_weight 4.5936, codebook_loss 0.6761, utilization 0.0020, perplexity 21.5262, d_loss 0.0000, logits_real -0.2070, logits_fake -0.2117,
Train Epoch: [1/5] Iters:[170/40036] gen_loss 0.5880, rec_loss 0.0787, lpips_loss 0.5093, g_loss 0.2162, disc_weight 0.0000, disc_adaptive_weight 4.2219, codebook_loss 0.6616, utilization 0.0019, perplexity 21.2070, d_loss 0.0000, logits_real -0.2069, logits_fake -0.2142,
Train Epoch: [1/5] Iters:[180/40036] gen_loss 0.5893, rec_loss 0.0789, lpips_loss 0.5104, g_loss 0.2157, disc_weight 0.0000, disc_adaptive_weight 3.9585, codebook_loss 0.6551, utilization 0.0019, perplexity 21.0092, d_loss 0.0000, logits_real -0.2073, logits_fake -0.2153,
Train Epoch: [1/5] Iters:[190/40036] gen_loss 0.5899, rec_loss 0.0791, lpips_loss 0.5108, g_loss 0.2149, disc_weight 0.0000, disc_adaptive_weight 3.6720, codebook_loss 0.6513, utilization 0.0019, perplexity 20.7182, d_loss 0.0000, logits_real -0.2075, logits_fake -0.2149,
Train Epoch: [1/5] Iters:[200/40036] gen_loss 0.5875, rec_loss 0.0783, lpips_loss 0.5092, g_loss 0.2117, disc_weight 0.0000, disc_adaptive_weight 3.7469, codebook_loss 0.6516, utilization 0.0019, perplexity 20.7956, d_loss 0.0000, logits_real -0.2077, logits_fake -0.2141,
Train Epoch: [1/5] Iters:[210/40036] gen_loss 0.5898, rec_loss 0.0789, lpips_loss 0.5108, g_loss 0.2136, disc_weight 0.0000, disc_adaptive_weight 4.0266, codebook_loss 0.6495, utilization 0.0019, perplexity 20.5216, d_loss 0.0000, logits_real -0.2105, logits_fake -0.2167,
Train Epoch: [1/5] Iters:[220/40036] gen_loss 0.5885, rec_loss 0.0780, lpips_loss 0.5106, g_loss 0.2120, disc_weight 0.0000, disc_adaptive_weight 4.5283, codebook_loss 0.6516, utilization 0.0019, perplexity 20.4519, d_loss 0.0000, logits_real -0.2091, logits_fake -0.2149,
Train Epoch: [1/5] Iters:[230/40036] gen_loss 0.5843, rec_loss 0.0774, lpips_loss 0.5069, g_loss 0.2118, disc_weight 0.0000, disc_adaptive_weight 4.6552, codebook_loss 0.6555, utilization 0.0019, perplexity 20.3440, d_loss 0.0000, logits_real -0.2081, logits_fake -0.2139,
Train Epoch: [1/5] Iters:[240/40036] gen_loss 0.5820, rec_loss 0.0779, lpips_loss 0.5041, g_loss 0.2138, disc_weight 0.0000, disc_adaptive_weight 4.7142, codebook_loss 0.6623, utilization 0.0019, perplexity 20.4435, d_loss 0.0000, logits_real -0.2116, logits_fake -0.2154,
Train Epoch: [1/5] Iters:[250/40036] gen_loss 0.5812, rec_loss 0.0785, lpips_loss 0.5027, g_loss 0.2120, disc_weight 0.0000, disc_adaptive_weight 4.5258, codebook_loss 0.6618, utilization 0.0019, perplexity 20.2308, d_loss 0.0000, logits_real -0.2106, logits_fake -0.2121,
Train Epoch: [1/5] Iters:[260/40036] gen_loss 0.5782, rec_loss 0.0771, lpips_loss 0.5011, g_loss 0.2046, disc_weight 0.0000, disc_adaptive_weight 4.0937, codebook_loss 0.6627, utilization 0.0019, perplexity 20.3540, d_loss 0.0000, logits_real -0.2081, logits_fake -0.2053,
Train Epoch: [1/5] Iters:[270/40036] gen_loss 0.5728, rec_loss 0.0746, lpips_loss 0.4982, g_loss 0.2046, disc_weight 0.0000, disc_adaptive_weight 4.0520, codebook_loss 0.6619, utilization 0.0019, perplexity 20.2271, d_loss 0.0000, logits_real -0.2086, logits_fake -0.2055,
Train Epoch: [1/5] Iters:[280/40036] gen_loss 0.5713, rec_loss 0.0735, lpips_loss 0.4979, g_loss 0.1999, disc_weight 0.0000, disc_adaptive_weight 4.1896, codebook_loss 0.6554, utilization 0.0019, perplexity 20.2416, d_loss 0.0000, logits_real -0.2084, logits_fake -0.2012,
Train Epoch: [1/5] Iters:[290/40036] gen_loss 0.5725, rec_loss 0.0730, lpips_loss 0.4995, g_loss 0.1950, disc_weight 0.0000, disc_adaptive_weight 4.4069, codebook_loss 0.6461, utilization 0.0019, perplexity 20.1124, d_loss 0.0000, logits_real -0.2053, logits_fake -0.1973,
Train Epoch: [1/5] Iters:[300/40036] gen_loss 0.5716, rec_loss 0.0718, lpips_loss 0.4998, g_loss 0.1984, disc_weight 0.0000, disc_adaptive_weight 4.5583, codebook_loss 0.6444, utilization 0.0019, perplexity 19.9782, d_loss 0.0000, logits_real -0.2043, logits_fake -0.2022,
