Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.3509, rec_loss 0.0354, lpips_loss 0.3156, g_loss 0.2117, disc_weight 0.0000, disc_adaptive_weight 3.0230, codebook_loss 0.1501, utilization 0.1110, perplexity 5146.2763, d_loss 0.0000, logits_real -0.2107, logits_fake -0.2113,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.3473, rec_loss 0.0345, lpips_loss 0.3128, g_loss 0.2113, disc_weight 0.0000, disc_adaptive_weight 2.7763, codebook_loss 0.1458, utilization 0.1126, perplexity 5272.3280, d_loss 0.0000, logits_real -0.2098, logits_fake -0.2110,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.3461, rec_loss 0.0348, lpips_loss 0.3114, g_loss 0.2095, disc_weight 0.0000, disc_adaptive_weight 2.5228, codebook_loss 0.1433, utilization 0.1141, perplexity 5389.0087, d_loss 0.0000, logits_real -0.2082, logits_fake -0.2086,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.3424, rec_loss 0.0342, lpips_loss 0.3082, g_loss 0.2093, disc_weight 0.0000, disc_adaptive_weight 2.3223, codebook_loss 0.1400, utilization 0.1152, perplexity 5472.2971, d_loss 0.0000, logits_real -0.2080, logits_fake -0.2080,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.3412, rec_loss 0.0340, lpips_loss 0.3072, g_loss 0.2088, disc_weight 0.0000, disc_adaptive_weight 2.5572, codebook_loss 0.1378, utilization 0.1163, perplexity 5567.5674, d_loss 0.0000, logits_real -0.2067, logits_fake -0.2075,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.3377, rec_loss 0.0336, lpips_loss 0.3042, g_loss 0.2092, disc_weight 0.0000, disc_adaptive_weight 2.5558, codebook_loss 0.1358, utilization 0.1172, perplexity 5645.2200, d_loss 0.0000, logits_real -0.2077, logits_fake -0.2094,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.3370, rec_loss 0.0338, lpips_loss 0.3032, g_loss 0.2096, disc_weight 0.0000, disc_adaptive_weight 2.5496, codebook_loss 0.1350, utilization 0.1180, perplexity 5719.1731, d_loss 0.0000, logits_real -0.2074, logits_fake -0.2088,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.3356, rec_loss 0.0338, lpips_loss 0.3018, g_loss 0.2095, disc_weight 0.0000, disc_adaptive_weight 2.6450, codebook_loss 0.1333, utilization 0.1187, perplexity 5787.2504, d_loss 0.0000, logits_real -0.2078, logits_fake -0.2101,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.3331, rec_loss 0.0335, lpips_loss 0.2996, g_loss 0.2122, disc_weight 0.0000, disc_adaptive_weight 2.8587, codebook_loss 0.1323, utilization 0.1193, perplexity 5824.5469, d_loss 0.0000, logits_real -0.2084, logits_fake -0.2128,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.3327, rec_loss 0.0335, lpips_loss 0.2992, g_loss 0.2113, disc_weight 0.0000, disc_adaptive_weight 2.8610, codebook_loss 0.1323, utilization 0.1200, perplexity 5889.7353, d_loss 0.0000, logits_real -0.2075, logits_fake -0.2108,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.3333, rec_loss 0.0335, lpips_loss 0.2998, g_loss 0.2121, disc_weight 0.0000, disc_adaptive_weight 2.8953, codebook_loss 0.1316, utilization 0.1204, perplexity 5910.2808, d_loss 0.0000, logits_real -0.2072, logits_fake -0.2106,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.3351, rec_loss 0.0343, lpips_loss 0.3008, g_loss 0.2115, disc_weight 0.0000, disc_adaptive_weight 3.0776, codebook_loss 0.1313, utilization 0.1209, perplexity 5951.8489, d_loss 0.0000, logits_real -0.2074, logits_fake -0.2091,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.3334, rec_loss 0.0340, lpips_loss 0.2994, g_loss 0.2126, disc_weight 0.0000, disc_adaptive_weight 3.2312, codebook_loss 0.1303, utilization 0.1210, perplexity 5937.4965, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2087,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.3342, rec_loss 0.0340, lpips_loss 0.3002, g_loss 0.2113, disc_weight 0.0000, disc_adaptive_weight 3.2532, codebook_loss 0.1291, utilization 0.1210, perplexity 5952.4023, d_loss 0.0000, logits_real -0.2080, logits_fake -0.2079,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.3322, rec_loss 0.0338, lpips_loss 0.2984, g_loss 0.2120, disc_weight 0.0000, disc_adaptive_weight 3.0963, codebook_loss 0.1274, utilization 0.1207, perplexity 5904.3278, d_loss 0.0000, logits_real -0.2095, logits_fake -0.2103,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.3299, rec_loss 0.0336, lpips_loss 0.2963, g_loss 0.2110, disc_weight 0.0000, disc_adaptive_weight 3.1343, codebook_loss 0.1264, utilization 0.1209, perplexity 5914.6726, d_loss 0.0000, logits_real -0.2101, logits_fake -0.2109,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.3258, rec_loss 0.0327, lpips_loss 0.2931, g_loss 0.2106, disc_weight 0.0000, disc_adaptive_weight 3.0060, codebook_loss 0.1249, utilization 0.1210, perplexity 5895.4687, d_loss 0.0000, logits_real -0.2103, logits_fake -0.2120,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.3260, rec_loss 0.0334, lpips_loss 0.2926, g_loss 0.2129, disc_weight 0.0000, disc_adaptive_weight 2.8703, codebook_loss 0.1247, utilization 0.1212, perplexity 5908.9889, d_loss 0.0000, logits_real -0.2118, logits_fake -0.2152,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.3260, rec_loss 0.0332, lpips_loss 0.2928, g_loss 0.2096, disc_weight 0.0000, disc_adaptive_weight 2.8407, codebook_loss 0.1242, utilization 0.1216, perplexity 5941.8158, d_loss 0.0000, logits_real -0.2089, logits_fake -0.2113,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.3285, rec_loss 0.0341, lpips_loss 0.2944, g_loss 0.2080, disc_weight 0.0000, disc_adaptive_weight 2.8883, codebook_loss 0.1246, utilization 0.1221, perplexity 6015.3793, d_loss 0.0000, logits_real -0.2085, logits_fake -0.2091,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.3300, rec_loss 0.0345, lpips_loss 0.2955, g_loss 0.2076, disc_weight 0.0000, disc_adaptive_weight 2.7888, codebook_loss 0.1248, utilization 0.1225, perplexity 6060.1830, d_loss 0.0000, logits_real -0.2079, logits_fake -0.2079,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.3296, rec_loss 0.0346, lpips_loss 0.2950, g_loss 0.2094, disc_weight 0.0000, disc_adaptive_weight 2.8327, codebook_loss 0.1245, utilization 0.1223, perplexity 6058.2575, d_loss 0.0000, logits_real -0.2089, logits_fake -0.2106,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.3296, rec_loss 0.0340, lpips_loss 0.2956, g_loss 0.2073, disc_weight 0.0000, disc_adaptive_weight 2.9976, codebook_loss 0.1238, utilization 0.1222, perplexity 6071.2058, d_loss 0.0000, logits_real -0.2069, logits_fake -0.2076,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.3292, rec_loss 0.0343, lpips_loss 0.2948, g_loss 0.2087, disc_weight 0.0000, disc_adaptive_weight 3.0337, codebook_loss 0.1244, utilization 0.1224, perplexity 6084.3221, d_loss 0.0000, logits_real -0.2081, logits_fake -0.2087,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.3264, rec_loss 0.0336, lpips_loss 0.2928, g_loss 0.2107, disc_weight 0.0000, disc_adaptive_weight 3.1770, codebook_loss 0.1235, utilization 0.1224, perplexity 6084.4005, d_loss 0.0000, logits_real -0.2085, logits_fake -0.2104,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.3260, rec_loss 0.0341, lpips_loss 0.2919, g_loss 0.2129, disc_weight 0.0000, disc_adaptive_weight 3.1555, codebook_loss 0.1232, utilization 0.1224, perplexity 6096.1277, d_loss 0.0000, logits_real -0.2095, logits_fake -0.2125,
