Train Epoch: [1/5] Iters:[130/40036] gen_loss 0.5753, rec_loss 0.0713, lpips_loss 0.5040, g_loss -0.1337, disc_weight 0.0000, disc_adaptive_weight 5.2039, codebook_loss 0.7289, utilization 0.0045, perplexity 25.5756, d_loss 0.0000, logits_real 0.1409, logits_fake 0.1358,
Train Epoch: [1/5] Iters:[140/40036] gen_loss 0.5748, rec_loss 0.0708, lpips_loss 0.5040, g_loss -0.1350, disc_weight 0.0000, disc_adaptive_weight 5.3193, codebook_loss 0.7068, utilization 0.0046, perplexity 24.8788, d_loss 0.0000, logits_real 0.1371, logits_fake 0.1359,
Train Epoch: [1/5] Iters:[150/40036] gen_loss 0.5719, rec_loss 0.0703, lpips_loss 0.5015, g_loss -0.1334, disc_weight 0.0000, disc_adaptive_weight 5.4232, codebook_loss 0.6868, utilization 0.0045, perplexity 24.2130, d_loss 0.0000, logits_real 0.1324, logits_fake 0.1345,
Train Epoch: [1/5] Iters:[160/40036] gen_loss 0.5689, rec_loss 0.0696, lpips_loss 0.4993, g_loss -0.1321, disc_weight 0.0000, disc_adaptive_weight 5.3534, codebook_loss 0.6679, utilization 0.0046, perplexity 23.7468, d_loss 0.0000, logits_real 0.1331, logits_fake 0.1332,
Train Epoch: [1/5] Iters:[170/40036] gen_loss 0.5705, rec_loss 0.0711, lpips_loss 0.4994, g_loss -0.1335, disc_weight 0.0000, disc_adaptive_weight 4.9350, codebook_loss 0.6553, utilization 0.0046, perplexity 23.5041, d_loss 0.0000, logits_real 0.1346, logits_fake 0.1343,
Train Epoch: [1/5] Iters:[180/40036] gen_loss 0.5711, rec_loss 0.0712, lpips_loss 0.4999, g_loss -0.1322, disc_weight 0.0000, disc_adaptive_weight 4.8717, codebook_loss 0.6509, utilization 0.0045, perplexity 23.3884, d_loss 0.0000, logits_real 0.1342, logits_fake 0.1335,
Train Epoch: [1/5] Iters:[190/40036] gen_loss 0.5717, rec_loss 0.0721, lpips_loss 0.4996, g_loss -0.1342, disc_weight 0.0000, disc_adaptive_weight 4.6035, codebook_loss 0.6452, utilization 0.0045, perplexity 23.2039, d_loss 0.0000, logits_real 0.1361, logits_fake 0.1359,
Train Epoch: [1/5] Iters:[200/40036] gen_loss 0.5695, rec_loss 0.0711, lpips_loss 0.4984, g_loss -0.1348, disc_weight 0.0000, disc_adaptive_weight 4.7331, codebook_loss 0.6437, utilization 0.0045, perplexity 23.3675, d_loss 0.0000, logits_real 0.1385, logits_fake 0.1364,
Train Epoch: [1/5] Iters:[210/40036] gen_loss 0.5728, rec_loss 0.0727, lpips_loss 0.5001, g_loss -0.1363, disc_weight 0.0000, disc_adaptive_weight 5.0579, codebook_loss 0.6423, utilization 0.0045, perplexity 23.2445, d_loss 0.0000, logits_real 0.1369, logits_fake 0.1378,
Train Epoch: [1/5] Iters:[220/40036] gen_loss 0.5726, rec_loss 0.0725, lpips_loss 0.5001, g_loss -0.1375, disc_weight 0.0000, disc_adaptive_weight 5.3207, codebook_loss 0.6428, utilization 0.0045, perplexity 23.3004, d_loss 0.0000, logits_real 0.1349, logits_fake 0.1376,
Train Epoch: [1/5] Iters:[230/40036] gen_loss 0.5676, rec_loss 0.0718, lpips_loss 0.4958, g_loss -0.1376, disc_weight 0.0000, disc_adaptive_weight 5.1499, codebook_loss 0.6451, utilization 0.0045, perplexity 23.2538, d_loss 0.0000, logits_real 0.1361, logits_fake 0.1379,
Train Epoch: [1/5] Iters:[240/40036] gen_loss 0.5659, rec_loss 0.0720, lpips_loss 0.4939, g_loss -0.1376, disc_weight 0.0000, disc_adaptive_weight 5.3643, codebook_loss 0.6463, utilization 0.0045, perplexity 23.3134, d_loss 0.0000, logits_real 0.1369, logits_fake 0.1373,
Train Epoch: [1/5] Iters:[250/40036] gen_loss 0.5652, rec_loss 0.0727, lpips_loss 0.4925, g_loss -0.1397, disc_weight 0.0000, disc_adaptive_weight 5.4559, codebook_loss 0.6435, utilization 0.0044, perplexity 23.2353, d_loss 0.0000, logits_real 0.1367, logits_fake 0.1388,
Train Epoch: [1/5] Iters:[260/40036] gen_loss 0.5632, rec_loss 0.0716, lpips_loss 0.4916, g_loss -0.1403, disc_weight 0.0000, disc_adaptive_weight 5.2631, codebook_loss 0.6430, utilization 0.0044, perplexity 23.2078, d_loss 0.0000, logits_real 0.1365, logits_fake 0.1390,
Train Epoch: [1/5] Iters:[270/40036] gen_loss 0.5583, rec_loss 0.0693, lpips_loss 0.4890, g_loss -0.1385, disc_weight 0.0000, disc_adaptive_weight 5.3628, codebook_loss 0.6468, utilization 0.0044, perplexity 23.1176, d_loss 0.0000, logits_real 0.1356, logits_fake 0.1380,
Train Epoch: [1/5] Iters:[280/40036] gen_loss 0.5594, rec_loss 0.0692, lpips_loss 0.4902, g_loss -0.1372, disc_weight 0.0000, disc_adaptive_weight 6.0143, codebook_loss 0.6429, utilization 0.0044, perplexity 23.1507, d_loss 0.0000, logits_real 0.1356, logits_fake 0.1369,
Train Epoch: [1/5] Iters:[290/40036] gen_loss 0.5600, rec_loss 0.0686, lpips_loss 0.4914, g_loss -0.1362, disc_weight 0.0000, disc_adaptive_weight 6.3901, codebook_loss 0.6442, utilization 0.0043, perplexity 23.1213, d_loss 0.0000, logits_real 0.1359, logits_fake 0.1360,
Train Epoch: [1/5] Iters:[300/40036] gen_loss 0.5594, rec_loss 0.0683, lpips_loss 0.4912, g_loss -0.1342, disc_weight 0.0000, disc_adaptive_weight 6.3326, codebook_loss 0.6440, utilization 0.0043, perplexity 22.9646, d_loss 0.0000, logits_real 0.1346, logits_fake 0.1342,
Train Epoch: [1/5] Iters:[310/40036] gen_loss 0.5566, rec_loss 0.0679, lpips_loss 0.4887, g_loss -0.1306, disc_weight 0.0000, disc_adaptive_weight 6.4035, codebook_loss 0.6460, utilization 0.0043, perplexity 23.2050, d_loss 0.0000, logits_real 0.1323, logits_fake 0.1320,
