Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.4138, rec_loss 0.0421, lpips_loss 0.3717, g_loss -0.0336, disc_weight 0.0000, disc_adaptive_weight 3.9619, codebook_loss 0.4322, utilization 0.0383, perplexity 1249.2999, d_loss 0.0000, logits_real 0.0330, logits_fake 0.0342,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.4098, rec_loss 0.0412, lpips_loss 0.3687, g_loss -0.0330, disc_weight 0.0000, disc_adaptive_weight 4.2321, codebook_loss 0.4227, utilization 0.0384, perplexity 1260.5894, d_loss 0.0000, logits_real 0.0328, logits_fake 0.0342,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.4080, rec_loss 0.0411, lpips_loss 0.3668, g_loss -0.0329, disc_weight 0.0000, disc_adaptive_weight 4.3448, codebook_loss 0.4166, utilization 0.0386, perplexity 1265.3400, d_loss 0.0000, logits_real 0.0341, logits_fake 0.0346,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.4039, rec_loss 0.0403, lpips_loss 0.3636, g_loss -0.0313, disc_weight 0.0000, disc_adaptive_weight 4.5341, codebook_loss 0.4110, utilization 0.0387, perplexity 1283.1024, d_loss 0.0000, logits_real 0.0326, logits_fake 0.0328,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.4029, rec_loss 0.0400, lpips_loss 0.3629, g_loss -0.0289, disc_weight 0.0000, disc_adaptive_weight 4.2931, codebook_loss 0.4087, utilization 0.0388, perplexity 1291.6016, d_loss 0.0000, logits_real 0.0317, logits_fake 0.0308,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.3989, rec_loss 0.0395, lpips_loss 0.3593, g_loss -0.0279, disc_weight 0.0000, disc_adaptive_weight 4.0360, codebook_loss 0.4081, utilization 0.0388, perplexity 1299.5763, d_loss 0.0000, logits_real 0.0298, logits_fake 0.0297,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.3989, rec_loss 0.0398, lpips_loss 0.3591, g_loss -0.0302, disc_weight 0.0000, disc_adaptive_weight 4.4553, codebook_loss 0.4093, utilization 0.0389, perplexity 1310.0721, d_loss 0.0000, logits_real 0.0324, logits_fake 0.0316,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.3979, rec_loss 0.0398, lpips_loss 0.3581, g_loss -0.0301, disc_weight 0.0000, disc_adaptive_weight 4.5122, codebook_loss 0.4072, utilization 0.0390, perplexity 1319.3391, d_loss 0.0000, logits_real 0.0320, logits_fake 0.0326,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.3957, rec_loss 0.0396, lpips_loss 0.3561, g_loss -0.0312, disc_weight 0.0000, disc_adaptive_weight 4.3704, codebook_loss 0.4059, utilization 0.0390, perplexity 1329.1126, d_loss 0.0000, logits_real 0.0333, logits_fake 0.0343,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.3950, rec_loss 0.0395, lpips_loss 0.3555, g_loss -0.0328, disc_weight 0.0000, disc_adaptive_weight 4.3703, codebook_loss 0.4058, utilization 0.0391, perplexity 1339.7030, d_loss 0.0000, logits_real 0.0340, logits_fake 0.0361,
