Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.3030, rec_loss 0.0328, lpips_loss 0.2701, g_loss 0.2045, disc_weight 0.0000, disc_adaptive_weight 3.1065, codebook_loss 0.7594, utilization 0.2049, perplexity 12149.0854, d_loss 0.0000, logits_real -0.2041, logits_fake -0.2047,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.3000, rec_loss 0.0320, lpips_loss 0.2681, g_loss 0.2052, disc_weight 0.0000, disc_adaptive_weight 2.8202, codebook_loss 0.7562, utilization 0.2046, perplexity 12125.2229, d_loss 0.0000, logits_real -0.2048, logits_fake -0.2041,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.2998, rec_loss 0.0321, lpips_loss 0.2676, g_loss 0.2065, disc_weight 0.0000, disc_adaptive_weight 2.7601, codebook_loss 0.7513, utilization 0.2046, perplexity 12133.4243, d_loss 0.0000, logits_real -0.2064, logits_fake -0.2055,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.2973, rec_loss 0.0316, lpips_loss 0.2657, g_loss 0.2063, disc_weight 0.0000, disc_adaptive_weight 2.7597, codebook_loss 0.7430, utilization 0.2043, perplexity 12101.6329, d_loss 0.0000, logits_real -0.2069, logits_fake -0.2053,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.2977, rec_loss 0.0315, lpips_loss 0.2663, g_loss 0.2071, disc_weight 0.0000, disc_adaptive_weight 2.6489, codebook_loss 0.7388, utilization 0.2045, perplexity 12142.6685, d_loss 0.0000, logits_real -0.2082, logits_fake -0.2063,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.2951, rec_loss 0.0310, lpips_loss 0.2641, g_loss 0.2036, disc_weight 0.0000, disc_adaptive_weight 2.5417, codebook_loss 0.7371, utilization 0.2045, perplexity 12155.6375, d_loss 0.0000, logits_real -0.2045, logits_fake -0.2040,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.2955, rec_loss 0.0312, lpips_loss 0.2643, g_loss 0.2034, disc_weight 0.0000, disc_adaptive_weight 2.7819, codebook_loss 0.7310, utilization 0.2045, perplexity 12150.8780, d_loss 0.0000, logits_real -0.2035, logits_fake -0.2043,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.2952, rec_loss 0.0312, lpips_loss 0.2639, g_loss 0.2021, disc_weight 0.0000, disc_adaptive_weight 2.8095, codebook_loss 0.7261, utilization 0.2045, perplexity 12152.9493, d_loss 0.0000, logits_real -0.2009, logits_fake -0.2023,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.2932, rec_loss 0.0310, lpips_loss 0.2622, g_loss 0.2008, disc_weight 0.0000, disc_adaptive_weight 2.9392, codebook_loss 0.7233, utilization 0.2044, perplexity 12114.5632, d_loss 0.0000, logits_real -0.1984, logits_fake -0.2009,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.2930, rec_loss 0.0310, lpips_loss 0.2620, g_loss 0.1987, disc_weight 0.0000, disc_adaptive_weight 3.1287, codebook_loss 0.7231, utilization 0.2044, perplexity 12108.5283, d_loss 0.0000, logits_real -0.1965, logits_fake -0.1992,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.2936, rec_loss 0.0310, lpips_loss 0.2626, g_loss 0.1997, disc_weight 0.0000, disc_adaptive_weight 3.1498, codebook_loss 0.7219, utilization 0.2041, perplexity 12079.4013, d_loss 0.0000, logits_real -0.1968, logits_fake -0.1996,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.2952, rec_loss 0.0317, lpips_loss 0.2635, g_loss 0.1996, disc_weight 0.0000, disc_adaptive_weight 2.9166, codebook_loss 0.7269, utilization 0.2041, perplexity 12084.1901, d_loss 0.0000, logits_real -0.1972, logits_fake -0.1994,
