dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[400/20018] transplant_loss 0.9482, rec_loss 0.0397, quant_error 0.2386,
Train Epoch: [1/5] Iters:[410/20018] transplant_loss 0.9449, rec_loss 0.0395, quant_error 0.2380,
Train Epoch: [1/5] Iters:[420/20018] transplant_loss 0.9413, rec_loss 0.0395, quant_error 0.2375,
Train Epoch: [1/5] Iters:[430/20018] transplant_loss 0.9382, rec_loss 0.0387, quant_error 0.2368,
Train Epoch: [1/5] Iters:[440/20018] transplant_loss 0.9377, rec_loss 0.0388, quant_error 0.2369,
Train Epoch: [1/5] Iters:[450/20018] transplant_loss 0.9353, rec_loss 0.0388, quant_error 0.2367,
Train Epoch: [1/5] Iters:[460/20018] transplant_loss 0.9318, rec_loss 0.0389, quant_error 0.2357,
Train Epoch: [1/5] Iters:[470/20018] transplant_loss 0.9287, rec_loss 0.0389, quant_error 0.2354,
Train Epoch: [1/5] Iters:[480/20018] transplant_loss 0.9281, rec_loss 0.0391, quant_error 0.2356,
Train Epoch: [1/5] Iters:[490/20018] transplant_loss 0.9217, rec_loss 0.0386, quant_error 0.2338,
Train Epoch: [1/5] Iters:[500/20018] transplant_loss 0.9197, rec_loss 0.0385, quant_error 0.2331,
Train Epoch: [1/5] Iters:[510/20018] transplant_loss 0.9197, rec_loss 0.0386, quant_error 0.2341,
Train Epoch: [1/5] Iters:[520/20018] transplant_loss 0.9178, rec_loss 0.0388, quant_error 0.2336,
Train Epoch: [1/5] Iters:[530/20018] transplant_loss 0.9143, rec_loss 0.0389, quant_error 0.2329,
Train Epoch: [1/5] Iters:[540/20018] transplant_loss 0.9140, rec_loss 0.0396, quant_error 0.2333,
Train Epoch: [1/5] Iters:[550/20018] transplant_loss 0.9104, rec_loss 0.0398, quant_error 0.2326,
Train Epoch: [1/5] Iters:[560/20018] transplant_loss 0.9054, rec_loss 0.0397, quant_error 0.2311,
Train Epoch: [1/5] Iters:[570/20018] transplant_loss 0.9021, rec_loss 0.0400, quant_error 0.2305,
Train Epoch: [1/5] Iters:[580/20018] transplant_loss 0.9002, rec_loss 0.0394, quant_error 0.2297,
Train Epoch: [1/5] Iters:[590/20018] transplant_loss 0.8977, rec_loss 0.0394, quant_error 0.2292,
Train Epoch: [1/5] Iters:[600/20018] transplant_loss 0.8975, rec_loss 0.0390, quant_error 0.2299,
Train Epoch: [1/5] Iters:[610/20018] transplant_loss 0.8952, rec_loss 0.0390, quant_error 0.2297,
Train Epoch: [1/5] Iters:[620/20018] transplant_loss 0.8924, rec_loss 0.0391, quant_error 0.2286,
Train Epoch: [1/5] Iters:[630/20018] transplant_loss 0.8905, rec_loss 0.0388, quant_error 0.2287,
Train Epoch: [1/5] Iters:[640/20018] transplant_loss 0.8886, rec_loss 0.0386, quant_error 0.2286,
Train Epoch: [1/5] Iters:[650/20018] transplant_loss 0.8859, rec_loss 0.0384, quant_error 0.2281,
Train Epoch: [1/5] Iters:[660/20018] transplant_loss 0.8830, rec_loss 0.0384, quant_error 0.2273,
Train Epoch: [1/5] Iters:[670/20018] transplant_loss 0.8817, rec_loss 0.0379, quant_error 0.2274,
Train Epoch: [1/5] Iters:[680/20018] transplant_loss 0.8778, rec_loss 0.0380, quant_error 0.2261,
Train Epoch: [1/5] Iters:[690/20018] transplant_loss 0.8753, rec_loss 0.0379, quant_error 0.2260,
Train Epoch: [1/5] Iters:[700/20018] transplant_loss 0.8730, rec_loss 0.0380, quant_error 0.2246,
Train Epoch: [1/5] Iters:[710/20018] transplant_loss 0.8725, rec_loss 0.0378, quant_error 0.2244,
Train Epoch: [1/5] Iters:[720/20018] transplant_loss 0.8707, rec_loss 0.0382, quant_error 0.2242,
Train Epoch: [1/5] Iters:[730/20018] transplant_loss 0.8690, rec_loss 0.0384, quant_error 0.2241,
Train Epoch: [1/5] Iters:[740/20018] transplant_loss 0.8682, rec_loss 0.0385, quant_error 0.2234,
Train Epoch: [1/5] Iters:[750/20018] transplant_loss 0.8666, rec_loss 0.0383, quant_error 0.2236,
Train Epoch: [1/5] Iters:[760/20018] transplant_loss 0.8667, rec_loss 0.0380, quant_error 0.2244,
