dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
residual: False
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_32_1
loss_pre: loss_0.5_0.2
training_pre: wasserstein_vq_transplant_False_False
saver_name_pre: wasserstein_vq_transplant_False_False_ImageNet_model_16384_32_1_loss_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.010000
Train Epoch: [1/5] Iters:[300/20018] transplant_loss 10.1252, rec_loss 0.3099, quant_error 5.0207, utilization 0.0807, perplexity 401.4519,
Train Epoch: [1/5] Iters:[310/20018] transplant_loss 10.1236, rec_loss 0.3084, quant_error 5.0188, utilization 0.0807, perplexity 401.1359,
Train Epoch: [1/5] Iters:[320/20018] transplant_loss 10.1215, rec_loss 0.3071, quant_error 5.0172, utilization 0.0805, perplexity 400.0788,
Train Epoch: [1/5] Iters:[330/20018] transplant_loss 10.0957, rec_loss 0.3049, quant_error 5.0023, utilization 0.0813, perplexity 404.4892,
Train Epoch: [1/5] Iters:[340/20018] transplant_loss 10.0558, rec_loss 0.3007, quant_error 4.9699, utilization 0.0816, perplexity 407.0608,
Train Epoch: [1/5] Iters:[350/20018] transplant_loss 10.0394, rec_loss 0.3016, quant_error 4.9670, utilization 0.0820, perplexity 409.5042,
Train Epoch: [1/5] Iters:[360/20018] transplant_loss 10.0691, rec_loss 0.3038, quant_error 4.9855, utilization 0.0827, perplexity 414.4304,
Train Epoch: [1/5] Iters:[370/20018] transplant_loss 10.0778, rec_loss 0.3043, quant_error 4.9920, utilization 0.0831, perplexity 417.5409,
Train Epoch: [1/5] Iters:[380/20018] transplant_loss 10.1041, rec_loss 0.3052, quant_error 5.0107, utilization 0.0826, perplexity 413.7056,
Train Epoch: [1/5] Iters:[390/20018] transplant_loss 10.1129, rec_loss 0.3060, quant_error 5.0181, utilization 0.0829, perplexity 415.9825,
Train Epoch: [1/5] Iters:[400/20018] transplant_loss 10.1401, rec_loss 0.3071, quant_error 5.0338, utilization 0.0831, perplexity 417.4734,
Train Epoch: [1/5] Iters:[410/20018] transplant_loss 10.1388, rec_loss 0.3074, quant_error 5.0364, utilization 0.0827, perplexity 414.4422,
Train Epoch: [1/5] Iters:[420/20018] transplant_loss 10.1162, rec_loss 0.3057, quant_error 5.0193, utilization 0.0831, perplexity 418.2491,
Train Epoch: [1/5] Iters:[430/20018] transplant_loss 10.0889, rec_loss 0.3051, quant_error 5.0018, utilization 0.0834, perplexity 419.6828,
Train Epoch: [1/5] Iters:[440/20018] transplant_loss 10.0897, rec_loss 0.3066, quant_error 5.0033, utilization 0.0831, perplexity 416.4391,
Train Epoch: [1/5] Iters:[450/20018] transplant_loss 10.0611, rec_loss 0.3053, quant_error 4.9849, utilization 0.0833, perplexity 417.8358,
Train Epoch: [1/5] Iters:[460/20018] transplant_loss 10.0731, rec_loss 0.3069, quant_error 4.9936, utilization 0.0833, perplexity 417.8417,
Train Epoch: [1/5] Iters:[470/20018] transplant_loss 10.0674, rec_loss 0.3068, quant_error 4.9881, utilization 0.0835, perplexity 417.6798,
Train Epoch: [1/5] Iters:[480/20018] transplant_loss 10.0676, rec_loss 0.3068, quant_error 4.9883, utilization 0.0838, perplexity 420.1287,
Train Epoch: [1/5] Iters:[490/20018] transplant_loss 10.0685, rec_loss 0.3074, quant_error 4.9930, utilization 0.0841, perplexity 422.3356,
Train Epoch: [1/5] Iters:[500/20018] transplant_loss 10.1161, rec_loss 0.3102, quant_error 5.0263, utilization 0.0838, perplexity 419.5177,
Train Epoch: [1/5] Iters:[510/20018] transplant_loss 10.1108, rec_loss 0.3089, quant_error 5.0199, utilization 0.0839, perplexity 419.7914,
Train Epoch: [1/5] Iters:[520/20018] transplant_loss 10.0930, rec_loss 0.3076, quant_error 5.0069, utilization 0.0835, perplexity 416.3446,
Train Epoch: [1/5] Iters:[530/20018] transplant_loss 10.0652, rec_loss 0.3065, quant_error 4.9895, utilization 0.0837, perplexity 417.9471,
Train Epoch: [1/5] Iters:[540/20018] transplant_loss 10.0597, rec_loss 0.3054, quant_error 4.9842, utilization 0.0841, perplexity 420.6105,
Train Epoch: [1/5] Iters:[550/20018] transplant_loss 10.0082, rec_loss 0.3024, quant_error 4.9499, utilization 0.0846, perplexity 423.8562,
Train Epoch: [1/5] Iters:[560/20018] transplant_loss 9.9671, rec_loss 0.3008, quant_error 4.9254, utilization 0.0845, perplexity 422.0284,
Train Epoch: [1/5] Iters:[570/20018] transplant_loss 9.9564, rec_loss 0.3008, quant_error 4.9213, utilization 0.0850, perplexity 426.6662,
Train Epoch: [1/5] Iters:[580/20018] transplant_loss 9.9896, rec_loss 0.3031, quant_error 4.9463, utilization 0.0853, perplexity 427.6284,
Train Epoch: [1/5] Iters:[590/20018] transplant_loss 9.9970, rec_loss 0.3038, quant_error 4.9496, utilization 0.0847, perplexity 423.1114,
Train Epoch: [1/5] Iters:[600/20018] transplant_loss 9.9833, rec_loss 0.3032, quant_error 4.9391, utilization 0.0850, perplexity 426.3842,
Train Epoch: [1/5] Iters:[610/20018] transplant_loss 9.9719, rec_loss 0.3022, quant_error 4.9322, utilization 0.0855, perplexity 430.6988,
Train Epoch: [1/5] Iters:[620/20018] transplant_loss 10.0034, rec_loss 0.3035, quant_error 4.9553, utilization 0.0855, perplexity 430.4864,
Train Epoch: [1/5] Iters:[630/20018] transplant_loss 9.9752, rec_loss 0.3006, quant_error 4.9327, utilization 0.0858, perplexity 433.8185,
Train Epoch: [1/5] Iters:[640/20018] transplant_loss 9.9427, rec_loss 0.2992, quant_error 4.9155, utilization 0.0861, perplexity 437.4265,
Train Epoch: [1/5] Iters:[650/20018] transplant_loss 9.9177, rec_loss 0.2966, quant_error 4.8971, utilization 0.0861, perplexity 437.5925,
Train Epoch: [1/5] Iters:[660/20018] transplant_loss 9.8924, rec_loss 0.2959, quant_error 4.8815, utilization 0.0860, perplexity 436.8544,
Train Epoch: [1/5] Iters:[670/20018] transplant_loss 9.8517, rec_loss 0.2949, quant_error 4.8566, utilization 0.0864, perplexity 439.7758,
Train Epoch: [1/5] Iters:[680/20018] transplant_loss 9.8516, rec_loss 0.2963, quant_error 4.8602, utilization 0.0863, perplexity 438.2193,
Train Epoch: [1/5] Iters:[690/20018] transplant_loss 9.8107, rec_loss 0.2925, quant_error 4.8280, utilization 0.0869, perplexity 441.4870,
Train Epoch: [1/5] Iters:[700/20018] transplant_loss 9.8511, rec_loss 0.2971, quant_error 4.8628, utilization 0.0867, perplexity 439.0055,
Train Epoch: [1/5] Iters:[710/20018] transplant_loss 9.8888, rec_loss 0.2986, quant_error 4.8875, utilization 0.0865, perplexity 437.7017,
Train Epoch: [1/5] Iters:[720/20018] transplant_loss 9.8942, rec_loss 0.2980, quant_error 4.8883, utilization 0.0867, perplexity 438.6418,
Train Epoch: [1/5] Iters:[730/20018] transplant_loss 9.8760, rec_loss 0.2979, quant_error 4.8767, utilization 0.0866, perplexity 437.3551,
Train Epoch: [1/5] Iters:[740/20018] transplant_loss 9.9187, rec_loss 0.3009, quant_error 4.9090, utilization 0.0863, perplexity 434.5583,
Train Epoch: [1/5] Iters:[750/20018] transplant_loss 9.9023, rec_loss 0.2987, quant_error 4.8959, utilization 0.0865, perplexity 436.0403,
Train Epoch: [1/5] Iters:[760/20018] transplant_loss 9.8636, rec_loss 0.2958, quant_error 4.8676, utilization 0.0875, perplexity 443.3419,
Train Epoch: [1/5] Iters:[770/20018] transplant_loss 9.8817, rec_loss 0.2981, quant_error 4.8840, utilization 0.0868, perplexity 438.0846,
Train Epoch: [1/5] Iters:[780/20018] transplant_loss 9.8966, rec_loss 0.2981, quant_error 4.8950, utilization 0.0869, perplexity 438.3208,
Train Epoch: [1/5] Iters:[790/20018] transplant_loss 9.8939, rec_loss 0.2986, quant_error 4.8938, utilization 0.0873, perplexity 442.8031,
Train Epoch: [1/5] Iters:[800/20018] transplant_loss 9.8796, rec_loss 0.2965, quant_error 4.8812, utilization 0.0875, perplexity 444.8183,
Train Epoch: [1/5] Iters:[810/20018] transplant_loss 9.8884, rec_loss 0.2983, quant_error 4.8929, utilization 0.0870, perplexity 441.0174,
Train Epoch: [1/5] Iters:[820/20018] transplant_loss 9.9014, rec_loss 0.2989, quant_error 4.9008, utilization 0.0874, perplexity 444.5444,
Train Epoch: [1/5] Iters:[830/20018] transplant_loss 9.8975, rec_loss 0.2987, quant_error 4.8956, utilization 0.0879, perplexity 447.7555,
Train Epoch: [1/5] Iters:[840/20018] transplant_loss 9.8911, rec_loss 0.2989, quant_error 4.8928, utilization 0.0881, perplexity 450.0665,
Train Epoch: [1/5] Iters:[850/20018] transplant_loss 9.9247, rec_loss 0.3033, quant_error 4.9192, utilization 0.0879, perplexity 448.1003,
Train Epoch: [1/5] Iters:[860/20018] transplant_loss 9.9493, rec_loss 0.3059, quant_error 4.9314, utilization 0.0884, perplexity 451.8827,
Train Epoch: [1/5] Iters:[870/20018] transplant_loss 9.9391, rec_loss 0.3059, quant_error 4.9239, utilization 0.0886, perplexity 453.0472,
Train Epoch: [1/5] Iters:[880/20018] transplant_loss 9.9438, rec_loss 0.3070, quant_error 4.9322, utilization 0.0884, perplexity 451.9702,
Train Epoch: [1/5] Iters:[890/20018] transplant_loss 9.9322, rec_loss 0.3052, quant_error 4.9209, utilization 0.0884, perplexity 451.1234,
Train Epoch: [1/5] Iters:[900/20018] transplant_loss 9.8883, rec_loss 0.3021, quant_error 4.8882, utilization 0.0890, perplexity 455.5271,
Train Epoch: [1/5] Iters:[910/20018] transplant_loss 9.8692, rec_loss 0.3003, quant_error 4.8839, utilization 0.0887, perplexity 452.3473,
Train Epoch: [1/5] Iters:[920/20018] transplant_loss 9.8967, rec_loss 0.3017, quant_error 4.9012, utilization 0.0884, perplexity 450.5611,
Train Epoch: [1/5] Iters:[930/20018] transplant_loss 9.8864, rec_loss 0.3004, quant_error 4.8886, utilization 0.0882, perplexity 449.3245,
Train Epoch: [1/5] Iters:[940/20018] transplant_loss 9.8889, rec_loss 0.3018, quant_error 4.8991, utilization 0.0883, perplexity 449.8859,
Train Epoch: [1/5] Iters:[950/20018] transplant_loss 9.8689, rec_loss 0.2990, quant_error 4.8836, utilization 0.0886, perplexity 452.9719,
Train Epoch: [1/5] Iters:[960/20018] transplant_loss 9.8407, rec_loss 0.2969, quant_error 4.8615, utilization 0.0887, perplexity 456.2151,
Train Epoch: [1/5] Iters:[970/20018] transplant_loss 9.7881, rec_loss 0.2949, quant_error 4.8305, utilization 0.0892, perplexity 460.5793,
Train Epoch: [1/5] Iters:[980/20018] transplant_loss 9.7587, rec_loss 0.2939, quant_error 4.8132, utilization 0.0898, perplexity 464.7594,
Train Epoch: [1/5] Iters:[990/20018] transplant_loss 9.7509, rec_loss 0.2939, quant_error 4.8035, utilization 0.0898, perplexity 465.0707,
Train Epoch: [1/5] Iters:[1000/20018] transplant_loss 9.7792, rec_loss 0.2974, quant_error 4.8303, utilization 0.0895, perplexity 462.4045,
Train Epoch: [1/5] Iters:[1010/20018] transplant_loss 9.8070, rec_loss 0.2992, quant_error 4.8481, utilization 0.0897, perplexity 463.3554,
