dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.5_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[400/20018] transplant_loss 3.8433, rec_loss 0.0619, quant_error 0.6168,
Train Epoch: [1/5] Iters:[410/20018] transplant_loss 3.8152, rec_loss 0.0616, quant_error 0.6114,
Train Epoch: [1/5] Iters:[420/20018] transplant_loss 3.7715, rec_loss 0.0612, quant_error 0.6044,
Train Epoch: [1/5] Iters:[430/20018] transplant_loss 3.7312, rec_loss 0.0600, quant_error 0.5979,
Train Epoch: [1/5] Iters:[440/20018] transplant_loss 3.7127, rec_loss 0.0598, quant_error 0.5935,
Train Epoch: [1/5] Iters:[450/20018] transplant_loss 3.6739, rec_loss 0.0594, quant_error 0.5879,
Train Epoch: [1/5] Iters:[460/20018] transplant_loss 3.6470, rec_loss 0.0593, quant_error 0.5828,
Train Epoch: [1/5] Iters:[470/20018] transplant_loss 3.6236, rec_loss 0.0590, quant_error 0.5782,
Train Epoch: [1/5] Iters:[480/20018] transplant_loss 3.6228, rec_loss 0.0592, quant_error 0.5758,
Train Epoch: [1/5] Iters:[490/20018] transplant_loss 3.5922, rec_loss 0.0585, quant_error 0.5703,
Train Epoch: [1/5] Iters:[500/20018] transplant_loss 3.5898, rec_loss 0.0583, quant_error 0.5692,
Train Epoch: [1/5] Iters:[510/20018] transplant_loss 3.5543, rec_loss 0.0584, quant_error 0.5657,
Train Epoch: [1/5] Iters:[520/20018] transplant_loss 3.5279, rec_loss 0.0585, quant_error 0.5609,
Train Epoch: [1/5] Iters:[530/20018] transplant_loss 3.4878, rec_loss 0.0581, quant_error 0.5551,
Train Epoch: [1/5] Iters:[540/20018] transplant_loss 3.4730, rec_loss 0.0586, quant_error 0.5526,
Train Epoch: [1/5] Iters:[550/20018] transplant_loss 3.4452, rec_loss 0.0587, quant_error 0.5479,
Train Epoch: [1/5] Iters:[560/20018] transplant_loss 3.4296, rec_loss 0.0582, quant_error 0.5430,
Train Epoch: [1/5] Iters:[570/20018] transplant_loss 3.4087, rec_loss 0.0581, quant_error 0.5401,
Train Epoch: [1/5] Iters:[580/20018] transplant_loss 3.4091, rec_loss 0.0577, quant_error 0.5394,
Train Epoch: [1/5] Iters:[590/20018] transplant_loss 3.3752, rec_loss 0.0576, quant_error 0.5357,
Train Epoch: [1/5] Iters:[600/20018] transplant_loss 3.3744, rec_loss 0.0568, quant_error 0.5323,
Train Epoch: [1/5] Iters:[610/20018] transplant_loss 3.3675, rec_loss 0.0568, quant_error 0.5302,
Train Epoch: [1/5] Iters:[620/20018] transplant_loss 3.3702, rec_loss 0.0570, quant_error 0.5293,
Train Epoch: [1/5] Iters:[630/20018] transplant_loss 3.3579, rec_loss 0.0565, quant_error 0.5264,
Train Epoch: [1/5] Iters:[640/20018] transplant_loss 3.3540, rec_loss 0.0561, quant_error 0.5248,
Train Epoch: [1/5] Iters:[650/20018] transplant_loss 3.3094, rec_loss 0.0558, quant_error 0.5223,
Train Epoch: [1/5] Iters:[660/20018] transplant_loss 3.2889, rec_loss 0.0554, quant_error 0.5186,
Train Epoch: [1/5] Iters:[670/20018] transplant_loss 3.2752, rec_loss 0.0546, quant_error 0.5160,
Train Epoch: [1/5] Iters:[680/20018] transplant_loss 3.2619, rec_loss 0.0548, quant_error 0.5140,
Train Epoch: [1/5] Iters:[690/20018] transplant_loss 3.2421, rec_loss 0.0546, quant_error 0.5105,
Train Epoch: [1/5] Iters:[700/20018] transplant_loss 3.2576, rec_loss 0.0545, quant_error 0.5096,
Train Epoch: [1/5] Iters:[710/20018] transplant_loss 3.2578, rec_loss 0.0546, quant_error 0.5091,
Train Epoch: [1/5] Iters:[720/20018] transplant_loss 3.2493, rec_loss 0.0551, quant_error 0.5069,
Train Epoch: [1/5] Iters:[730/20018] transplant_loss 3.2291, rec_loss 0.0549, quant_error 0.5040,
Train Epoch: [1/5] Iters:[740/20018] transplant_loss 3.2447, rec_loss 0.0552, quant_error 0.5046,
Train Epoch: [1/5] Iters:[750/20018] transplant_loss 3.2267, rec_loss 0.0549, quant_error 0.5024,
Train Epoch: [1/5] Iters:[760/20018] transplant_loss 3.2068, rec_loss 0.0542, quant_error 0.5001,
Train Epoch: [1/5] Iters:[770/20018] transplant_loss 3.2040, rec_loss 0.0536, quant_error 0.4993,
Train Epoch: [1/5] Iters:[780/20018] transplant_loss 3.2153, rec_loss 0.0537, quant_error 0.4994,
Train Epoch: [1/5] Iters:[790/20018] transplant_loss 3.1991, rec_loss 0.0537, quant_error 0.4984,
Train Epoch: [1/5] Iters:[800/20018] transplant_loss 3.1990, rec_loss 0.0540, quant_error 0.4979,
Train Epoch: [1/5] Iters:[810/20018] transplant_loss 3.2060, rec_loss 0.0549, quant_error 0.4972,
Train Epoch: [1/5] Iters:[820/20018] transplant_loss 3.2138, rec_loss 0.0548, quant_error 0.4975,
Train Epoch: [1/5] Iters:[830/20018] transplant_loss 3.1915, rec_loss 0.0547, quant_error 0.4952,
Train Epoch: [1/5] Iters:[840/20018] transplant_loss 3.1863, rec_loss 0.0544, quant_error 0.4936,
Train Epoch: [1/5] Iters:[850/20018] transplant_loss 3.1851, rec_loss 0.0539, quant_error 0.4921,
Train Epoch: [1/5] Iters:[860/20018] transplant_loss 3.1803, rec_loss 0.0536, quant_error 0.4916,
Train Epoch: [1/5] Iters:[870/20018] transplant_loss 3.1615, rec_loss 0.0536, quant_error 0.4902,
Train Epoch: [1/5] Iters:[880/20018] transplant_loss 3.1607, rec_loss 0.0535, quant_error 0.4898,
Train Epoch: [1/5] Iters:[890/20018] transplant_loss 3.1478, rec_loss 0.0530, quant_error 0.4884,
Train Epoch: [1/5] Iters:[900/20018] transplant_loss 3.1329, rec_loss 0.0535, quant_error 0.4866,
Train Epoch: [1/5] Iters:[910/20018] transplant_loss 3.1385, rec_loss 0.0539, quant_error 0.4861,
Train Epoch: [1/5] Iters:[920/20018] transplant_loss 3.1469, rec_loss 0.0539, quant_error 0.4857,
Train Epoch: [1/5] Iters:[930/20018] transplant_loss 3.1304, rec_loss 0.0537, quant_error 0.4843,
Train Epoch: [1/5] Iters:[940/20018] transplant_loss 3.1235, rec_loss 0.0542, quant_error 0.4830,
Train Epoch: [1/5] Iters:[950/20018] transplant_loss 3.1035, rec_loss 0.0534, quant_error 0.4819,
Train Epoch: [1/5] Iters:[960/20018] transplant_loss 3.0790, rec_loss 0.0529, quant_error 0.4800,
Train Epoch: [1/5] Iters:[970/20018] transplant_loss 3.0564, rec_loss 0.0530, quant_error 0.4769,
Train Epoch: [1/5] Iters:[980/20018] transplant_loss 3.0474, rec_loss 0.0535, quant_error 0.4750,
Train Epoch: [1/5] Iters:[990/20018] transplant_loss 3.0328, rec_loss 0.0530, quant_error 0.4731,
Train Epoch: [1/5] Iters:[1000/20018] transplant_loss 3.0445, rec_loss 0.0538, quant_error 0.4730,
Train Epoch: [1/5] Iters:[1010/20018] transplant_loss 3.0414, rec_loss 0.0536, quant_error 0.4725,
Train Epoch: [1/5] Iters:[1020/20018] transplant_loss 3.0239, rec_loss 0.0533, quant_error 0.4717,
Train Epoch: [1/5] Iters:[1030/20018] transplant_loss 3.0163, rec_loss 0.0529, quant_error 0.4708,
Train Epoch: [1/5] Iters:[1040/20018] transplant_loss 3.0185, rec_loss 0.0533, quant_error 0.4699,
Train Epoch: [1/5] Iters:[1050/20018] transplant_loss 3.0040, rec_loss 0.0529, quant_error 0.4686,
Train Epoch: [1/5] Iters:[1060/20018] transplant_loss 3.0003, rec_loss 0.0528, quant_error 0.4684,
Train Epoch: [1/5] Iters:[1070/20018] transplant_loss 3.0013, rec_loss 0.0525, quant_error 0.4686,
Train Epoch: [1/5] Iters:[1080/20018] transplant_loss 3.0029, rec_loss 0.0528, quant_error 0.4682,
Train Epoch: [1/5] Iters:[1090/20018] transplant_loss 3.0085, rec_loss 0.0529, quant_error 0.4681,
Train Epoch: [1/5] Iters:[1100/20018] transplant_loss 3.0036, rec_loss 0.0530, quant_error 0.4671,
Train Epoch: [1/5] Iters:[1110/20018] transplant_loss 3.0018, rec_loss 0.0528, quant_error 0.4659,
Train Epoch: [1/5] Iters:[1120/20018] transplant_loss 2.9955, rec_loss 0.0536, quant_error 0.4657,
Train Epoch: [1/5] Iters:[1130/20018] transplant_loss 2.9982, rec_loss 0.0526, quant_error 0.4666,
Train Epoch: [1/5] Iters:[1140/20018] transplant_loss 2.9844, rec_loss 0.0525, quant_error 0.4664,
Train Epoch: [1/5] Iters:[1150/20018] transplant_loss 2.9979, rec_loss 0.0526, quant_error 0.4668,
Train Epoch: [1/5] Iters:[1160/20018] transplant_loss 3.0145, rec_loss 0.0536, quant_error 0.4679,
Train Epoch: [1/5] Iters:[1170/20018] transplant_loss 3.0189, rec_loss 0.0532, quant_error 0.4672,
Train Epoch: [1/5] Iters:[1180/20018] transplant_loss 3.0247, rec_loss 0.0535, quant_error 0.4664,
Train Epoch: [1/5] Iters:[1190/20018] transplant_loss 3.0147, rec_loss 0.0534, quant_error 0.4654,
Train Epoch: [1/5] Iters:[1200/20018] transplant_loss 2.9924, rec_loss 0.0536, quant_error 0.4639,
Train Epoch: [1/5] Iters:[1210/20018] transplant_loss 2.9725, rec_loss 0.0527, quant_error 0.4622,
Train Epoch: [1/5] Iters:[1220/20018] transplant_loss 2.9726, rec_loss 0.0527, quant_error 0.4614,
Train Epoch: [1/5] Iters:[1230/20018] transplant_loss 2.9479, rec_loss 0.0532, quant_error 0.4600,
Train Epoch: [1/5] Iters:[1240/20018] transplant_loss 2.9623, rec_loss 0.0531, quant_error 0.4615,
Train Epoch: [1/5] Iters:[1250/20018] transplant_loss 2.9701, rec_loss 0.0527, quant_error 0.4619,
Train Epoch: [1/5] Iters:[1260/20018] transplant_loss 2.9650, rec_loss 0.0532, quant_error 0.4621,
Train Epoch: [1/5] Iters:[1270/20018] transplant_loss 2.9653, rec_loss 0.0531, quant_error 0.4619,
Train Epoch: [1/5] Iters:[1280/20018] transplant_loss 2.9730, rec_loss 0.0533, quant_error 0.4618,
Train Epoch: [1/5] Iters:[1290/20018] transplant_loss 2.9587, rec_loss 0.0534, quant_error 0.4594,
Train Epoch: [1/5] Iters:[1300/20018] transplant_loss 2.9495, rec_loss 0.0533, quant_error 0.4588,
Train Epoch: [1/5] Iters:[1310/20018] transplant_loss 2.9458, rec_loss 0.0533, quant_error 0.4570,
Train Epoch: [1/5] Iters:[1320/20018] transplant_loss 2.9497, rec_loss 0.0538, quant_error 0.4579,
Train Epoch: [1/5] Iters:[1330/20018] transplant_loss 2.9577, rec_loss 0.0529, quant_error 0.4571,
Train Epoch: [1/5] Iters:[1340/20018] transplant_loss 2.9647, rec_loss 0.0527, quant_error 0.4574,
Train Epoch: [1/5] Iters:[1350/20018] transplant_loss 2.9812, rec_loss 0.0526, quant_error 0.4577,
Train Epoch: [1/5] Iters:[1360/20018] transplant_loss 2.9593, rec_loss 0.0519, quant_error 0.4559,
Train Epoch: [1/5] Iters:[1370/20018] transplant_loss 2.9523, rec_loss 0.0521, quant_error 0.4555,
Train Epoch: [1/5] Iters:[1380/20018] transplant_loss 2.9445, rec_loss 0.0520, quant_error 0.4559,
Train Epoch: [1/5] Iters:[1390/20018] transplant_loss 2.9340, rec_loss 0.0517, quant_error 0.4556,
Train Epoch: [1/5] Iters:[1400/20018] transplant_loss 2.9218, rec_loss 0.0525, quant_error 0.4548,
Train Epoch: [1/5] Iters:[1410/20018] transplant_loss 2.9526, rec_loss 0.0527, quant_error 0.4570,
Train Epoch: [1/5] Iters:[1420/20018] transplant_loss 2.9344, rec_loss 0.0517, quant_error 0.4541,
Train Epoch: [1/5] Iters:[1430/20018] transplant_loss 2.9287, rec_loss 0.0517, quant_error 0.4527,
Train Epoch: [1/5] Iters:[1440/20018] transplant_loss 2.9324, rec_loss 0.0517, quant_error 0.4522,
Train Epoch: [1/5] Iters:[1450/20018] transplant_loss 2.9278, rec_loss 0.0506, quant_error 0.4516,
Train Epoch: [1/5] Iters:[1460/20018] transplant_loss 2.9052, rec_loss 0.0502, quant_error 0.4498,
Train Epoch: [1/5] Iters:[1470/20018] transplant_loss 2.9240, rec_loss 0.0511, quant_error 0.4514,
Train Epoch: [1/5] Iters:[1480/20018] transplant_loss 2.9287, rec_loss 0.0516, quant_error 0.4511,
Train Epoch: [1/5] Iters:[1490/20018] transplant_loss 2.9322, rec_loss 0.0514, quant_error 0.4509,
Train Epoch: [1/5] Iters:[1500/20018] transplant_loss 2.9395, rec_loss 0.0520, quant_error 0.4508,
Train Epoch: [1/5] Iters:[1510/20018] transplant_loss 2.9538, rec_loss 0.0529, quant_error 0.4513,
Train Epoch: [1/5] Iters:[1520/20018] transplant_loss 2.9404, rec_loss 0.0523, quant_error 0.4499,
Train Epoch: [1/5] Iters:[1530/20018] transplant_loss 2.9303, rec_loss 0.0522, quant_error 0.4500,
Train Epoch: [1/5] Iters:[1540/20018] transplant_loss 2.9162, rec_loss 0.0525, quant_error 0.4487,
Train Epoch: [1/5] Iters:[1550/20018] transplant_loss 2.9005, rec_loss 0.0526, quant_error 0.4480,
Train Epoch: [1/5] Iters:[1560/20018] transplant_loss 2.8747, rec_loss 0.0521, quant_error 0.4469,
Train Epoch: [1/5] Iters:[1570/20018] transplant_loss 2.8629, rec_loss 0.0519, quant_error 0.4458,
Train Epoch: [1/5] Iters:[1580/20018] transplant_loss 2.8585, rec_loss 0.0517, quant_error 0.4450,
Train Epoch: [1/5] Iters:[1590/20018] transplant_loss 2.8543, rec_loss 0.0518, quant_error 0.4449,
Train Epoch: [1/5] Iters:[1600/20018] transplant_loss 2.8433, rec_loss 0.0520, quant_error 0.4439,
Train Epoch: [1/5] Iters:[1610/20018] transplant_loss 2.8513, rec_loss 0.0521, quant_error 0.4432,
Train Epoch: [1/5] Iters:[1620/20018] transplant_loss 2.8695, rec_loss 0.0527, quant_error 0.4440,
Train Epoch: [1/5] Iters:[1630/20018] transplant_loss 2.8593, rec_loss 0.0528, quant_error 0.4433,
Train Epoch: [1/5] Iters:[1640/20018] transplant_loss 2.8535, rec_loss 0.0524, quant_error 0.4425,
Train Epoch: [1/5] Iters:[1650/20018] transplant_loss 2.8785, rec_loss 0.0523, quant_error 0.4444,
Train Epoch: [1/5] Iters:[1660/20018] transplant_loss 2.8770, rec_loss 0.0514, quant_error 0.4432,
