Train Epoch: [1/2] Iters:[250/20018] transplant_loss 2.1202, rec_loss 0.0366, p_loss 0.2643, quant_error 0.3314, utilization 0.1091, perplexity 4907.9763,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 2.1094, rec_loss 0.0364, p_loss 0.2648, quant_error 0.3286, utilization 0.1092, perplexity 4925.5898,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 2.1022, rec_loss 0.0364, p_loss 0.2635, quant_error 0.3265, utilization 0.1092, perplexity 4922.3587,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 2.0868, rec_loss 0.0361, p_loss 0.2610, quant_error 0.3223, utilization 0.1092, perplexity 4924.5471,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 2.0719, rec_loss 0.0353, p_loss 0.2578, quant_error 0.3196, utilization 0.1094, perplexity 4936.1513,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 2.0834, rec_loss 0.0358, p_loss 0.2571, quant_error 0.3217, utilization 0.1096, perplexity 4949.7431,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 2.0862, rec_loss 0.0355, p_loss 0.2561, quant_error 0.3234, utilization 0.1098, perplexity 4965.7973,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 2.0916, rec_loss 0.0360, p_loss 0.2569, quant_error 0.3249, utilization 0.1099, perplexity 4977.9876,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 2.1040, rec_loss 0.0366, p_loss 0.2584, quant_error 0.3283, utilization 0.1102, perplexity 5006.7935,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 2.0938, rec_loss 0.0364, p_loss 0.2574, quant_error 0.3267, utilization 0.1103, perplexity 5008.9868,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 2.0815, rec_loss 0.0358, p_loss 0.2576, quant_error 0.3243, utilization 0.1103, perplexity 5016.0998,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 2.0872, rec_loss 0.0360, p_loss 0.2566, quant_error 0.3257, utilization 0.1104, perplexity 5023.5215,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 2.0729, rec_loss 0.0352, p_loss 0.2553, quant_error 0.3235, utilization 0.1108, perplexity 5058.2931,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 2.0734, rec_loss 0.0353, p_loss 0.2541, quant_error 0.3234, utilization 0.1110, perplexity 5077.1206,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 2.0854, rec_loss 0.0355, p_loss 0.2551, quant_error 0.3261, utilization 0.1112, perplexity 5093.0580,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 2.0712, rec_loss 0.0354, p_loss 0.2521, quant_error 0.3230, utilization 0.1115, perplexity 5111.0703,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 2.0676, rec_loss 0.0354, p_loss 0.2515, quant_error 0.3221, utilization 0.1118, perplexity 5142.3360,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 2.0575, rec_loss 0.0352, p_loss 0.2502, quant_error 0.3197, utilization 0.1117, perplexity 5135.8920,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 2.0421, rec_loss 0.0344, p_loss 0.2493, quant_error 0.3175, utilization 0.1117, perplexity 5127.0926,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 2.0407, rec_loss 0.0346, p_loss 0.2496, quant_error 0.3179, utilization 0.1117, perplexity 5135.7207,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 2.0452, rec_loss 0.0346, p_loss 0.2519, quant_error 0.3195, utilization 0.1120, perplexity 5164.0164,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 2.0336, rec_loss 0.0346, p_loss 0.2515, quant_error 0.3174, utilization 0.1122, perplexity 5162.3205,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 2.0475, rec_loss 0.0348, p_loss 0.2533, quant_error 0.3213, utilization 0.1123, perplexity 5179.2100,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 2.0482, rec_loss 0.0348, p_loss 0.2535, quant_error 0.3218, utilization 0.1126, perplexity 5212.1100,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 2.0325, rec_loss 0.0341, p_loss 0.2519, quant_error 0.3185, utilization 0.1128, perplexity 5216.5620,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 2.0334, rec_loss 0.0340, p_loss 0.2504, quant_error 0.3189, utilization 0.1126, perplexity 5209.0670,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 2.0409, rec_loss 0.0341, p_loss 0.2503, quant_error 0.3205, utilization 0.1127, perplexity 5224.6513,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 2.0222, rec_loss 0.0342, p_loss 0.2487, quant_error 0.3160, utilization 0.1129, perplexity 5233.4642,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 2.0129, rec_loss 0.0343, p_loss 0.2484, quant_error 0.3139, utilization 0.1130, perplexity 5227.2613,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 2.0091, rec_loss 0.0347, p_loss 0.2481, quant_error 0.3126, utilization 0.1131, perplexity 5244.7590,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 2.0087, rec_loss 0.0348, p_loss 0.2484, quant_error 0.3129, utilization 0.1135, perplexity 5269.0111,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 1.9969, rec_loss 0.0345, p_loss 0.2488, quant_error 0.3114, utilization 0.1136, perplexity 5271.9054,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 1.9969, rec_loss 0.0342, p_loss 0.2483, quant_error 0.3122, utilization 0.1138, perplexity 5296.4536,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 2.0047, rec_loss 0.0338, p_loss 0.2483, quant_error 0.3143, utilization 0.1139, perplexity 5307.2771,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 2.0126, rec_loss 0.0341, p_loss 0.2493, quant_error 0.3165, utilization 0.1143, perplexity 5329.4944,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 2.0055, rec_loss 0.0336, p_loss 0.2490, quant_error 0.3155, utilization 0.1144, perplexity 5349.3490,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 2.0018, rec_loss 0.0338, p_loss 0.2481, quant_error 0.3145, utilization 0.1146, perplexity 5364.9199,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 2.0109, rec_loss 0.0341, p_loss 0.2486, quant_error 0.3161, utilization 0.1148, perplexity 5380.3429,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 1.9962, rec_loss 0.0338, p_loss 0.2472, quant_error 0.3129, utilization 0.1149, perplexity 5386.3496,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 1.9909, rec_loss 0.0335, p_loss 0.2465, quant_error 0.3121, utilization 0.1150, perplexity 5397.8617,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 1.9941, rec_loss 0.0336, p_loss 0.2465, quant_error 0.3132, utilization 0.1151, perplexity 5405.8122,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 1.9907, rec_loss 0.0332, p_loss 0.2467, quant_error 0.3131, utilization 0.1152, perplexity 5415.7362,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 1.9871, rec_loss 0.0328, p_loss 0.2465, quant_error 0.3131, utilization 0.1154, perplexity 5432.5830,
Train Epoch: [1/2] Iters:[680/20018] transplant_loss 1.9873, rec_loss 0.0330, p_loss 0.2465, quant_error 0.3136, utilization 0.1155, perplexity 5442.8983,
Train Epoch: [1/2] Iters:[690/20018] transplant_loss 1.9756, rec_loss 0.0328, p_loss 0.2465, quant_error 0.3114, utilization 0.1156, perplexity 5446.2282,
Train Epoch: [1/2] Iters:[700/20018] transplant_loss 1.9751, rec_loss 0.0329, p_loss 0.2459, quant_error 0.3116, utilization 0.1157, perplexity 5446.1584,
Train Epoch: [1/2] Iters:[710/20018] transplant_loss 1.9833, rec_loss 0.0330, p_loss 0.2453, quant_error 0.3139, utilization 0.1157, perplexity 5442.6580,
Train Epoch: [1/2] Iters:[720/20018] transplant_loss 1.9737, rec_loss 0.0330, p_loss 0.2441, quant_error 0.3122, utilization 0.1158, perplexity 5443.1403,
Train Epoch: [1/2] Iters:[730/20018] transplant_loss 1.9759, rec_loss 0.0331, p_loss 0.2450, quant_error 0.3129, utilization 0.1161, perplexity 5465.0667,
Train Epoch: [1/2] Iters:[740/20018] transplant_loss 1.9940, rec_loss 0.0335, p_loss 0.2451, quant_error 0.3174, utilization 0.1164, perplexity 5477.3027,
Train Epoch: [1/2] Iters:[750/20018] transplant_loss 1.9804, rec_loss 0.0331, p_loss 0.2438, quant_error 0.3147, utilization 0.1167, perplexity 5496.6394,
Train Epoch: [1/2] Iters:[760/20018] transplant_loss 1.9703, rec_loss 0.0327, p_loss 0.2445, quant_error 0.3126, utilization 0.1169, perplexity 5517.6246,
Train Epoch: [1/2] Iters:[770/20018] transplant_loss 1.9582, rec_loss 0.0326, p_loss 0.2440, quant_error 0.3097, utilization 0.1169, perplexity 5511.3360,
Train Epoch: [1/2] Iters:[780/20018] transplant_loss 1.9570, rec_loss 0.0324, p_loss 0.2431, quant_error 0.3098, utilization 0.1170, perplexity 5523.7658,
Train Epoch: [1/2] Iters:[790/20018] transplant_loss 1.9522, rec_loss 0.0321, p_loss 0.2426, quant_error 0.3094, utilization 0.1172, perplexity 5553.2995,
Train Epoch: [1/2] Iters:[800/20018] transplant_loss 1.9536, rec_loss 0.0324, p_loss 0.2434, quant_error 0.3094, utilization 0.1175, perplexity 5572.8759,
Train Epoch: [1/2] Iters:[810/20018] transplant_loss 1.9570, rec_loss 0.0326, p_loss 0.2424, quant_error 0.3102, utilization 0.1176, perplexity 5598.2086,
Train Epoch: [1/2] Iters:[820/20018] transplant_loss 1.9696, rec_loss 0.0327, p_loss 0.2423, quant_error 0.3133, utilization 0.1179, perplexity 5624.3160,
