Train Epoch: [1/30] Iters:[280/1093] gen_loss -0.4618, rec_loss 0.0118, lpips_loss 0.1477, g_loss -0.1464, disc_weight 0.4000, disc_adaptive_weight 4.2466, d_loss 0.5671, logits_real 0.1439, logits_fake 0.1466,
Train Epoch: [1/30] Iters:[290/1093] gen_loss -0.4809, rec_loss 0.0118, lpips_loss 0.1478, g_loss -0.1463, disc_weight 0.4000, disc_adaptive_weight 4.3802, d_loss 0.5601, logits_real 0.1432, logits_fake 0.1465,
Train Epoch: [1/30] Iters:[300/1093] gen_loss -0.4885, rec_loss 0.0119, lpips_loss 0.1478, g_loss -0.1459, disc_weight 0.4000, disc_adaptive_weight 4.4440, d_loss 0.5545, logits_real 0.1423, logits_fake 0.1460,
Train Epoch: [1/30] Iters:[310/1093] gen_loss -0.4701, rec_loss 0.0119, lpips_loss 0.1481, g_loss -0.1456, disc_weight 0.4000, disc_adaptive_weight 4.3269, d_loss 0.5490, logits_real 0.1414, logits_fake 0.1455,
Train Epoch: [1/30] Iters:[320/1093] gen_loss -0.4888, rec_loss 0.0119, lpips_loss 0.1483, g_loss -0.1451, disc_weight 0.4000, disc_adaptive_weight 4.4716, d_loss 0.5433, logits_real 0.1406, logits_fake 0.1450,
Train Epoch: [1/30] Iters:[330/1093] gen_loss -0.4548, rec_loss 0.0118, lpips_loss 0.1479, g_loss -0.1447, disc_weight 0.4000, disc_adaptive_weight 4.2461, d_loss 0.5379, logits_real 0.1398, logits_fake 0.1443,
Train Epoch: [1/30] Iters:[340/1093] gen_loss -0.4269, rec_loss 0.0118, lpips_loss 0.1476, g_loss -0.1435, disc_weight 0.4000, disc_adaptive_weight 4.0842, d_loss 0.5333, logits_real 0.1389, logits_fake 0.1434,
Train Epoch: [1/30] Iters:[350/1093] gen_loss -0.4262, rec_loss 0.0118, lpips_loss 0.1473, g_loss -0.1428, disc_weight 0.4000, disc_adaptive_weight 4.1004, d_loss 0.5283, logits_real 0.1382, logits_fake 0.1427,
Train Epoch: [1/30] Iters:[360/1093] gen_loss -0.4307, rec_loss 0.0118, lpips_loss 0.1472, g_loss -0.1421, disc_weight 0.4000, disc_adaptive_weight 4.1475, d_loss 0.5238, logits_real 0.1376, logits_fake 0.1423,
Train Epoch: [1/30] Iters:[370/1093] gen_loss -0.4102, rec_loss 0.0118, lpips_loss 0.1472, g_loss -0.1418, disc_weight 0.4000, disc_adaptive_weight 4.0156, d_loss 0.5201, logits_real 0.1366, logits_fake 0.1418,
