Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.0017, rec_loss 0.0248, lpips_loss 0.2116, g_loss -0.1066, disc_weight 0.4000, disc_adaptive_weight 2.2024, d_loss 0.7296, logits_real 0.1071, logits_fake 0.1060,
Train Epoch: [1/5] Iters:[170/20018] gen_loss -0.0047, rec_loss 0.0247, lpips_loss 0.2119, g_loss -0.1052, disc_weight 0.4000, disc_adaptive_weight 2.2935, d_loss 0.7085, logits_real 0.1057, logits_fake 0.1046,
Train Epoch: [1/5] Iters:[180/20018] gen_loss -0.0023, rec_loss 0.0243, lpips_loss 0.2100, g_loss -0.1040, disc_weight 0.4000, disc_adaptive_weight 2.2748, d_loss 0.6888, logits_real 0.1045, logits_fake 0.1036,
Train Epoch: [1/5] Iters:[190/20018] gen_loss -0.0027, rec_loss 0.0244, lpips_loss 0.2100, g_loss -0.1027, disc_weight 0.4000, disc_adaptive_weight 2.3080, d_loss 0.6730, logits_real 0.1035, logits_fake 0.1025,
Train Epoch: [1/5] Iters:[200/20018] gen_loss -0.0099, rec_loss 0.0243, lpips_loss 0.2097, g_loss -0.1012, disc_weight 0.4000, disc_adaptive_weight 2.4135, d_loss 0.6584, logits_real 0.1024, logits_fake 0.1011,
Train Epoch: [1/5] Iters:[210/20018] gen_loss -0.0167, rec_loss 0.0241, lpips_loss 0.2077, g_loss -0.1004, disc_weight 0.4000, disc_adaptive_weight 2.4797, d_loss 0.6453, logits_real 0.1013, logits_fake 0.1001,
Train Epoch: [1/5] Iters:[220/20018] gen_loss -0.0017, rec_loss 0.0240, lpips_loss 0.2072, g_loss -0.0993, disc_weight 0.4000, disc_adaptive_weight 2.3479, d_loss 0.6331, logits_real 0.1002, logits_fake 0.0993,
Train Epoch: [1/5] Iters:[230/20018] gen_loss -0.0199, rec_loss 0.0240, lpips_loss 0.2081, g_loss -0.0988, disc_weight 0.4000, disc_adaptive_weight 2.5555, d_loss 0.6222, logits_real 0.0997, logits_fake 0.0988,
Train Epoch: [1/5] Iters:[240/20018] gen_loss -0.0103, rec_loss 0.0246, lpips_loss 0.2089, g_loss -0.0984, disc_weight 0.4000, disc_adaptive_weight 2.4817, d_loss 0.6133, logits_real 0.0989, logits_fake 0.0982,
Train Epoch: [1/5] Iters:[250/20018] gen_loss -0.0039, rec_loss 0.0241, lpips_loss 0.2076, g_loss -0.0980, disc_weight 0.4000, disc_adaptive_weight 2.4071, d_loss 0.6040, logits_real 0.0981, logits_fake 0.0978,
Train Epoch: [1/5] Iters:[260/20018] gen_loss -0.0115, rec_loss 0.0241, lpips_loss 0.2088, g_loss -0.0976, disc_weight 0.4000, disc_adaptive_weight 2.5077, d_loss 0.5968, logits_real 0.0978, logits_fake 0.0975,
Train Epoch: [1/5] Iters:[270/20018] gen_loss -0.0165, rec_loss 0.0241, lpips_loss 0.2077, g_loss -0.0973, disc_weight 0.4000, disc_adaptive_weight 2.5533, d_loss 0.5903, logits_real 0.0974, logits_fake 0.0970,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.0068, rec_loss 0.0240, lpips_loss 0.2067, g_loss -0.0970, disc_weight 0.4000, disc_adaptive_weight 2.3106, d_loss 0.5842, logits_real 0.0968, logits_fake 0.0966,
Train Epoch: [1/5] Iters:[290/20018] gen_loss -0.0023, rec_loss 0.0233, lpips_loss 0.2043, g_loss -0.0965, disc_weight 0.4000, disc_adaptive_weight 2.3813, d_loss 0.5776, logits_real 0.0962, logits_fake 0.0962,
Train Epoch: [1/5] Iters:[300/20018] gen_loss -0.0001, rec_loss 0.0239, lpips_loss 0.2043, g_loss -0.0963, disc_weight 0.4000, disc_adaptive_weight 2.3721, d_loss 0.5734, logits_real 0.0961, logits_fake 0.0960,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.0127, rec_loss 0.0238, lpips_loss 0.2049, g_loss -0.0956, disc_weight 0.4000, disc_adaptive_weight 2.2602, d_loss 0.5682, logits_real 0.0954, logits_fake 0.0955,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.0224, rec_loss 0.0246, lpips_loss 0.2068, g_loss -0.0952, disc_weight 0.4000, disc_adaptive_weight 2.1946, d_loss 0.5638, logits_real 0.0949, logits_fake 0.0951,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.0090, rec_loss 0.0250, lpips_loss 0.2082, g_loss -0.0948, disc_weight 0.4000, disc_adaptive_weight 2.3655, d_loss 0.5595, logits_real 0.0946, logits_fake 0.0949,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.0142, rec_loss 0.0248, lpips_loss 0.2081, g_loss -0.0943, disc_weight 0.4000, disc_adaptive_weight 2.3174, d_loss 0.5549, logits_real 0.0943, logits_fake 0.0946,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.0029, rec_loss 0.0244, lpips_loss 0.2087, g_loss -0.0936, disc_weight 0.4000, disc_adaptive_weight 2.4600, d_loss 0.5496, logits_real 0.0935, logits_fake 0.0937,
