Train Epoch: [1/5] Iters:[400/10009] transplant_loss 10.2841, rec_loss 0.0674, quant_error 0.7863,
Train Epoch: [1/5] Iters:[410/10009] transplant_loss 10.1024, rec_loss 0.0668, quant_error 0.7745,
Train Epoch: [1/5] Iters:[420/10009] transplant_loss 9.9237, rec_loss 0.0656, quant_error 0.7630,
Train Epoch: [1/5] Iters:[430/10009] transplant_loss 9.7484, rec_loss 0.0653, quant_error 0.7509,
Train Epoch: [1/5] Iters:[440/10009] transplant_loss 9.5809, rec_loss 0.0651, quant_error 0.7397,
Train Epoch: [1/5] Iters:[450/10009] transplant_loss 9.3895, rec_loss 0.0642, quant_error 0.7269,
Train Epoch: [1/5] Iters:[460/10009] transplant_loss 9.2590, rec_loss 0.0636, quant_error 0.7177,
Train Epoch: [1/5] Iters:[470/10009] transplant_loss 9.1056, rec_loss 0.0630, quant_error 0.7073,
Train Epoch: [1/5] Iters:[480/10009] transplant_loss 8.9739, rec_loss 0.0627, quant_error 0.6986,
Train Epoch: [1/5] Iters:[490/10009] transplant_loss 8.8275, rec_loss 0.0623, quant_error 0.6884,
Train Epoch: [1/5] Iters:[500/10009] transplant_loss 8.7427, rec_loss 0.0620, quant_error 0.6822,
Train Epoch: [1/5] Iters:[510/10009] transplant_loss 8.6024, rec_loss 0.0614, quant_error 0.6723,
Train Epoch: [1/5] Iters:[520/10009] transplant_loss 8.4845, rec_loss 0.0613, quant_error 0.6637,
Train Epoch: [1/5] Iters:[530/10009] transplant_loss 8.4326, rec_loss 0.0609, quant_error 0.6595,
Train Epoch: [1/5] Iters:[540/10009] transplant_loss 8.3199, rec_loss 0.0602, quant_error 0.6514,
Train Epoch: [1/5] Iters:[550/10009] transplant_loss 8.1870, rec_loss 0.0599, quant_error 0.6417,
Train Epoch: [1/5] Iters:[560/10009] transplant_loss 8.1141, rec_loss 0.0600, quant_error 0.6365,
Train Epoch: [1/5] Iters:[570/10009] transplant_loss 8.0901, rec_loss 0.0599, quant_error 0.6343,
Train Epoch: [1/5] Iters:[580/10009] transplant_loss 8.0137, rec_loss 0.0602, quant_error 0.6284,
