Train Epoch: [1/2] Iters:[270/40036] transplant_loss 1.6432, rec_loss 0.0485, quant_error 0.5487, utilization 0.9400, perplexity 1987.4244,
Train Epoch: [1/2] Iters:[280/40036] transplant_loss 1.6287, rec_loss 0.0475, quant_error 0.5419, utilization 0.9416, perplexity 2002.1280,
Train Epoch: [1/2] Iters:[290/40036] transplant_loss 1.6261, rec_loss 0.0471, quant_error 0.5347, utilization 0.9431, perplexity 2015.8039,
Train Epoch: [1/2] Iters:[300/40036] transplant_loss 1.6152, rec_loss 0.0465, quant_error 0.5292, utilization 0.9450, perplexity 2037.3925,
Train Epoch: [1/2] Iters:[310/40036] transplant_loss 1.5950, rec_loss 0.0461, quant_error 0.5260, utilization 0.9447, perplexity 2029.6026,
Train Epoch: [1/2] Iters:[320/40036] transplant_loss 1.6166, rec_loss 0.0474, quant_error 0.5257, utilization 0.9462, perplexity 2055.9303,
Train Epoch: [1/2] Iters:[330/40036] transplant_loss 1.6191, rec_loss 0.0493, quant_error 0.5329, utilization 0.9470, perplexity 2056.9221,
Train Epoch: [1/2] Iters:[340/40036] transplant_loss 1.6117, rec_loss 0.0489, quant_error 0.5310, utilization 0.9478, perplexity 2071.6627,
Train Epoch: [1/2] Iters:[350/40036] transplant_loss 1.6171, rec_loss 0.0491, quant_error 0.5332, utilization 0.9477, perplexity 2065.2199,
Train Epoch: [1/2] Iters:[360/40036] transplant_loss 1.6215, rec_loss 0.0491, quant_error 0.5350, utilization 0.9493, perplexity 2081.9055,
Train Epoch: [1/2] Iters:[370/40036] transplant_loss 1.6041, rec_loss 0.0487, quant_error 0.5350, utilization 0.9486, perplexity 2066.3042,
Train Epoch: [1/2] Iters:[380/40036] transplant_loss 1.6064, rec_loss 0.0474, quant_error 0.5264, utilization 0.9494, perplexity 2085.1110,
Train Epoch: [1/2] Iters:[390/40036] transplant_loss 1.5856, rec_loss 0.0470, quant_error 0.5184, utilization 0.9494, perplexity 2073.9127,
Train Epoch: [1/2] Iters:[400/40036] transplant_loss 1.5703, rec_loss 0.0471, quant_error 0.5142, utilization 0.9499, perplexity 2082.9640,
Train Epoch: [1/2] Iters:[410/40036] transplant_loss 1.5539, rec_loss 0.0465, quant_error 0.5047, utilization 0.9494, perplexity 2066.2035,
Train Epoch: [1/2] Iters:[420/40036] transplant_loss 1.5576, rec_loss 0.0462, quant_error 0.5000, utilization 0.9511, perplexity 2091.9553,
Train Epoch: [1/2] Iters:[430/40036] transplant_loss 1.5579, rec_loss 0.0461, quant_error 0.4986, utilization 0.9518, perplexity 2096.2731,
Train Epoch: [1/2] Iters:[440/40036] transplant_loss 1.5699, rec_loss 0.0470, quant_error 0.5089, utilization 0.9525, perplexity 2099.8696,
Train Epoch: [1/2] Iters:[450/40036] transplant_loss 1.5616, rec_loss 0.0460, quant_error 0.5045, utilization 0.9521, perplexity 2099.6832,
Train Epoch: [1/2] Iters:[460/40036] transplant_loss 1.5774, rec_loss 0.0471, quant_error 0.5073, utilization 0.9528, perplexity 2113.0279,
Train Epoch: [1/2] Iters:[470/40036] transplant_loss 1.5723, rec_loss 0.0472, quant_error 0.5030, utilization 0.9521, perplexity 2099.0602,
Train Epoch: [1/2] Iters:[480/40036] transplant_loss 1.5566, rec_loss 0.0473, quant_error 0.4998, utilization 0.9518, perplexity 2086.6900,
Train Epoch: [1/2] Iters:[490/40036] transplant_loss 1.5493, rec_loss 0.0466, quant_error 0.4913, utilization 0.9512, perplexity 2076.2145,
Train Epoch: [1/2] Iters:[500/40036] transplant_loss 1.5511, rec_loss 0.0458, quant_error 0.4901, utilization 0.9517, perplexity 2079.1089,
Train Epoch: [1/2] Iters:[510/40036] transplant_loss 1.5265, rec_loss 0.0443, quant_error 0.4822, utilization 0.9515, perplexity 2071.0134,
Train Epoch: [1/2] Iters:[520/40036] transplant_loss 1.5226, rec_loss 0.0444, quant_error 0.4842, utilization 0.9517, perplexity 2064.8131,
Train Epoch: [1/2] Iters:[530/40036] transplant_loss 1.5287, rec_loss 0.0437, quant_error 0.4839, utilization 0.9518, perplexity 2059.8743,
Train Epoch: [1/2] Iters:[540/40036] transplant_loss 1.5275, rec_loss 0.0443, quant_error 0.4844, utilization 0.9521, perplexity 2059.2399,
Train Epoch: [1/2] Iters:[550/40036] transplant_loss 1.5269, rec_loss 0.0452, quant_error 0.4827, utilization 0.9521, perplexity 2053.0849,
Train Epoch: [1/2] Iters:[560/40036] transplant_loss 1.5375, rec_loss 0.0455, quant_error 0.4838, utilization 0.9527, perplexity 2053.2221,
Train Epoch: [1/2] Iters:[570/40036] transplant_loss 1.5354, rec_loss 0.0463, quant_error 0.4853, utilization 0.9527, perplexity 2049.3190,
Train Epoch: [1/2] Iters:[580/40036] transplant_loss 1.5206, rec_loss 0.0452, quant_error 0.4796, utilization 0.9533, perplexity 2059.1834,
Train Epoch: [1/2] Iters:[590/40036] transplant_loss 1.5256, rec_loss 0.0449, quant_error 0.4797, utilization 0.9533, perplexity 2063.4631,
Train Epoch: [1/2] Iters:[600/40036] transplant_loss 1.5322, rec_loss 0.0453, quant_error 0.4806, utilization 0.9535, perplexity 2060.9505,
Train Epoch: [1/2] Iters:[610/40036] transplant_loss 1.5204, rec_loss 0.0447, quant_error 0.4794, utilization 0.9530, perplexity 2056.2005,
Train Epoch: [1/2] Iters:[620/40036] transplant_loss 1.5100, rec_loss 0.0438, quant_error 0.4739, utilization 0.9530, perplexity 2059.8097,
Train Epoch: [1/2] Iters:[630/40036] transplant_loss 1.5315, rec_loss 0.0463, quant_error 0.4804, utilization 0.9523, perplexity 2053.1316,
Train Epoch: [1/2] Iters:[640/40036] transplant_loss 1.5206, rec_loss 0.0462, quant_error 0.4756, utilization 0.9523, perplexity 2051.1144,
Train Epoch: [1/2] Iters:[650/40036] transplant_loss 1.5115, rec_loss 0.0452, quant_error 0.4726, utilization 0.9523, perplexity 2060.6845,
Train Epoch: [1/2] Iters:[660/40036] transplant_loss 1.5242, rec_loss 0.0468, quant_error 0.4748, utilization 0.9528, perplexity 2073.6956,
Train Epoch: [1/2] Iters:[670/40036] transplant_loss 1.5313, rec_loss 0.0463, quant_error 0.4768, utilization 0.9522, perplexity 2061.4530,
Train Epoch: [1/2] Iters:[680/40036] transplant_loss 1.5231, rec_loss 0.0450, quant_error 0.4745, utilization 0.9525, perplexity 2060.5096,
Train Epoch: [1/2] Iters:[690/40036] transplant_loss 1.5169, rec_loss 0.0436, quant_error 0.4721, utilization 0.9522, perplexity 2050.8896,
Train Epoch: [1/2] Iters:[700/40036] transplant_loss 1.5127, rec_loss 0.0437, quant_error 0.4722, utilization 0.9519, perplexity 2040.2908,
Train Epoch: [1/2] Iters:[710/40036] transplant_loss 1.5179, rec_loss 0.0433, quant_error 0.4729, utilization 0.9517, perplexity 2038.9705,
Train Epoch: [1/2] Iters:[720/40036] transplant_loss 1.5226, rec_loss 0.0429, quant_error 0.4725, utilization 0.9524, perplexity 2060.1163,
Train Epoch: [1/2] Iters:[730/40036] transplant_loss 1.5114, rec_loss 0.0428, quant_error 0.4699, utilization 0.9518, perplexity 2042.2945,
Train Epoch: [1/2] Iters:[740/40036] transplant_loss 1.5191, rec_loss 0.0437, quant_error 0.4726, utilization 0.9527, perplexity 2064.3529,
Train Epoch: [1/2] Iters:[750/40036] transplant_loss 1.5248, rec_loss 0.0449, quant_error 0.4744, utilization 0.9530, perplexity 2070.5079,
Train Epoch: [1/2] Iters:[760/40036] transplant_loss 1.5220, rec_loss 0.0452, quant_error 0.4695, utilization 0.9526, perplexity 2064.6571,
Train Epoch: [1/2] Iters:[770/40036] transplant_loss 1.5124, rec_loss 0.0455, quant_error 0.4679, utilization 0.9521, perplexity 2050.8809,
Train Epoch: [1/2] Iters:[780/40036] transplant_loss 1.5216, rec_loss 0.0459, quant_error 0.4710, utilization 0.9530, perplexity 2073.2136,
Train Epoch: [1/2] Iters:[790/40036] transplant_loss 1.5171, rec_loss 0.0456, quant_error 0.4693, utilization 0.9525, perplexity 2051.9267,
Train Epoch: [1/2] Iters:[800/40036] transplant_loss 1.5091, rec_loss 0.0445, quant_error 0.4663, utilization 0.9520, perplexity 2038.9148,
Train Epoch: [1/2] Iters:[810/40036] transplant_loss 1.4999, rec_loss 0.0430, quant_error 0.4690, utilization 0.9523, perplexity 2038.2694,
Train Epoch: [1/2] Iters:[820/40036] transplant_loss 1.5044, rec_loss 0.0432, quant_error 0.4658, utilization 0.9528, perplexity 2047.0989,
Train Epoch: [1/2] Iters:[830/40036] transplant_loss 1.4987, rec_loss 0.0430, quant_error 0.4618, utilization 0.9520, perplexity 2035.5565,
Train Epoch: [1/2] Iters:[840/40036] transplant_loss 1.4952, rec_loss 0.0428, quant_error 0.4647, utilization 0.9513, perplexity 2022.0237,
Train Epoch: [1/2] Iters:[850/40036] transplant_loss 1.5039, rec_loss 0.0421, quant_error 0.4665, utilization 0.9520, perplexity 2036.4951,
Train Epoch: [1/2] Iters:[860/40036] transplant_loss 1.5072, rec_loss 0.0433, quant_error 0.4673, utilization 0.9523, perplexity 2033.4221,
Train Epoch: [1/2] Iters:[870/40036] transplant_loss 1.5156, rec_loss 0.0431, quant_error 0.4710, utilization 0.9519, perplexity 2021.9358,
Train Epoch: [1/2] Iters:[880/40036] transplant_loss 1.5119, rec_loss 0.0433, quant_error 0.4711, utilization 0.9526, perplexity 2033.3781,
Train Epoch: [1/2] Iters:[890/40036] transplant_loss 1.5129, rec_loss 0.0431, quant_error 0.4698, utilization 0.9535, perplexity 2049.2640,
Train Epoch: [1/2] Iters:[900/40036] transplant_loss 1.5099, rec_loss 0.0440, quant_error 0.4697, utilization 0.9535, perplexity 2041.7582,
Train Epoch: [1/2] Iters:[910/40036] transplant_loss 1.5079, rec_loss 0.0435, quant_error 0.4688, utilization 0.9534, perplexity 2044.3833,
Train Epoch: [1/2] Iters:[920/40036] transplant_loss 1.4855, rec_loss 0.0429, quant_error 0.4612, utilization 0.9536, perplexity 2048.8084,
Train Epoch: [1/2] Iters:[930/40036] transplant_loss 1.4966, rec_loss 0.0425, quant_error 0.4601, utilization 0.9535, perplexity 2047.5260,
Train Epoch: [1/2] Iters:[940/40036] transplant_loss 1.4924, rec_loss 0.0426, quant_error 0.4557, utilization 0.9534, perplexity 2053.8339,
Train Epoch: [1/2] Iters:[950/40036] transplant_loss 1.4918, rec_loss 0.0422, quant_error 0.4537, utilization 0.9533, perplexity 2066.1777,
Train Epoch: [1/2] Iters:[960/40036] transplant_loss 1.4832, rec_loss 0.0417, quant_error 0.4489, utilization 0.9529, perplexity 2061.1333,
Train Epoch: [1/2] Iters:[970/40036] transplant_loss 1.4791, rec_loss 0.0411, quant_error 0.4494, utilization 0.9517, perplexity 2036.9204,
Train Epoch: [1/2] Iters:[980/40036] transplant_loss 1.4649, rec_loss 0.0406, quant_error 0.4477, utilization 0.9515, perplexity 2028.7015,
Train Epoch: [1/2] Iters:[990/40036] transplant_loss 1.4778, rec_loss 0.0416, quant_error 0.4496, utilization 0.9520, perplexity 2036.3241,
Train Epoch: [1/2] Iters:[1000/40036] transplant_loss 1.4668, rec_loss 0.0411, quant_error 0.4472, utilization 0.9517, perplexity 2014.4444,
Train Epoch: [1/2] Iters:[1010/40036] transplant_loss 1.4697, rec_loss 0.0410, quant_error 0.4477, utilization 0.9517, perplexity 2019.2139,
Train Epoch: [1/2] Iters:[1020/40036] transplant_loss 1.4893, rec_loss 0.0422, quant_error 0.4511, utilization 0.9530, perplexity 2052.5311,
Train Epoch: [1/2] Iters:[1030/40036] transplant_loss 1.4868, rec_loss 0.0420, quant_error 0.4494, utilization 0.9526, perplexity 2054.7462,
Train Epoch: [1/2] Iters:[1040/40036] transplant_loss 1.4719, rec_loss 0.0416, quant_error 0.4446, utilization 0.9517, perplexity 2033.4101,
Train Epoch: [1/2] Iters:[1050/40036] transplant_loss 1.4673, rec_loss 0.0417, quant_error 0.4437, utilization 0.9515, perplexity 2036.0839,
Train Epoch: [1/2] Iters:[1060/40036] transplant_loss 1.4750, rec_loss 0.0427, quant_error 0.4454, utilization 0.9524, perplexity 2049.1851,
Train Epoch: [1/2] Iters:[1070/40036] transplant_loss 1.4691, rec_loss 0.0426, quant_error 0.4471, utilization 0.9528, perplexity 2037.2292,
Train Epoch: [1/2] Iters:[1080/40036] transplant_loss 1.4717, rec_loss 0.0430, quant_error 0.4498, utilization 0.9533, perplexity 2042.5373,
Train Epoch: [1/2] Iters:[1090/40036] transplant_loss 1.4696, rec_loss 0.0423, quant_error 0.4492, utilization 0.9533, perplexity 2059.3709,
Train Epoch: [1/2] Iters:[1100/40036] transplant_loss 1.4823, rec_loss 0.0429, quant_error 0.4504, utilization 0.9541, perplexity 2072.9802,
Train Epoch: [1/2] Iters:[1110/40036] transplant_loss 1.4682, rec_loss 0.0416, quant_error 0.4501, utilization 0.9532, perplexity 2052.4931,
Train Epoch: [1/2] Iters:[1120/40036] transplant_loss 1.4685, rec_loss 0.0418, quant_error 0.4497, utilization 0.9530, perplexity 2056.7393,
Train Epoch: [1/2] Iters:[1130/40036] transplant_loss 1.4722, rec_loss 0.0423, quant_error 0.4482, utilization 0.9532, perplexity 2061.8930,
Train Epoch: [1/2] Iters:[1140/40036] transplant_loss 1.4694, rec_loss 0.0421, quant_error 0.4507, utilization 0.9523, perplexity 2038.0607,
Train Epoch: [1/2] Iters:[1150/40036] transplant_loss 1.4751, rec_loss 0.0417, quant_error 0.4540, utilization 0.9524, perplexity 2038.3676,
Train Epoch: [1/2] Iters:[1160/40036] transplant_loss 1.4891, rec_loss 0.0420, quant_error 0.4539, utilization 0.9527, perplexity 2046.7918,
Train Epoch: [1/2] Iters:[1170/40036] transplant_loss 1.4817, rec_loss 0.0419, quant_error 0.4495, utilization 0.9524, perplexity 2039.9026,
Train Epoch: [1/2] Iters:[1180/40036] transplant_loss 1.4756, rec_loss 0.0414, quant_error 0.4483, utilization 0.9523, perplexity 2039.4598,
Train Epoch: [1/2] Iters:[1190/40036] transplant_loss 1.4851, rec_loss 0.0421, quant_error 0.4474, utilization 0.9535, perplexity 2065.4888,
Train Epoch: [1/2] Iters:[1200/40036] transplant_loss 1.4656, rec_loss 0.0413, quant_error 0.4422, utilization 0.9528, perplexity 2054.2501,
Train Epoch: [1/2] Iters:[1210/40036] transplant_loss 1.4521, rec_loss 0.0412, quant_error 0.4391, utilization 0.9529, perplexity 2053.2006,
Train Epoch: [1/2] Iters:[1220/40036] transplant_loss 1.4546, rec_loss 0.0409, quant_error 0.4397, utilization 0.9531, perplexity 2057.8114,
Train Epoch: [1/2] Iters:[1230/40036] transplant_loss 1.4469, rec_loss 0.0406, quant_error 0.4381, utilization 0.9534, perplexity 2061.3934,
Train Epoch: [1/2] Iters:[1240/40036] transplant_loss 1.4536, rec_loss 0.0406, quant_error 0.4391, utilization 0.9533, perplexity 2054.5229,
Train Epoch: [1/2] Iters:[1250/40036] transplant_loss 1.4611, rec_loss 0.0416, quant_error 0.4422, utilization 0.9528, perplexity 2047.6225,
Train Epoch: [1/2] Iters:[1260/40036] transplant_loss 1.4666, rec_loss 0.0410, quant_error 0.4435, utilization 0.9527, perplexity 2052.5052,
Train Epoch: [1/2] Iters:[1270/40036] transplant_loss 1.4579, rec_loss 0.0406, quant_error 0.4420, utilization 0.9526, perplexity 2039.9512,
Train Epoch: [1/2] Iters:[1280/40036] transplant_loss 1.4631, rec_loss 0.0406, quant_error 0.4414, utilization 0.9527, perplexity 2040.0895,
Train Epoch: [1/2] Iters:[1290/40036] transplant_loss 1.4583, rec_loss 0.0407, quant_error 0.4404, utilization 0.9528, perplexity 2039.7341,
Train Epoch: [1/2] Iters:[1300/40036] transplant_loss 1.4549, rec_loss 0.0399, quant_error 0.4385, utilization 0.9533, perplexity 2047.7683,
Train Epoch: [1/2] Iters:[1310/40036] transplant_loss 1.4534, rec_loss 0.0406, quant_error 0.4388, utilization 0.9536, perplexity 2043.6245,
Train Epoch: [1/2] Iters:[1320/40036] transplant_loss 1.4506, rec_loss 0.0406, quant_error 0.4383, utilization 0.9531, perplexity 2037.4310,
Train Epoch: [1/2] Iters:[1330/40036] transplant_loss 1.4590, rec_loss 0.0412, quant_error 0.4402, utilization 0.9530, perplexity 2042.0810,
Train Epoch: [1/2] Iters:[1340/40036] transplant_loss 1.4510, rec_loss 0.0401, quant_error 0.4412, utilization 0.9528, perplexity 2045.6386,
Train Epoch: [1/2] Iters:[1350/40036] transplant_loss 1.4425, rec_loss 0.0400, quant_error 0.4379, utilization 0.9529, perplexity 2042.6252,
Train Epoch: [1/2] Iters:[1360/40036] transplant_loss 1.4498, rec_loss 0.0399, quant_error 0.4374, utilization 0.9532, perplexity 2054.2709,
Train Epoch: [1/2] Iters:[1370/40036] transplant_loss 1.4596, rec_loss 0.0399, quant_error 0.4382, utilization 0.9537, perplexity 2077.8722,
Train Epoch: [1/2] Iters:[1380/40036] transplant_loss 1.4496, rec_loss 0.0394, quant_error 0.4383, utilization 0.9529, perplexity 2053.5415,
