Train Epoch: [1/5] Iters:[400/10009] transplant_loss 144.1008, rec_loss 0.1033, quant_error 2.1703,
Train Epoch: [1/5] Iters:[410/10009] transplant_loss 146.4156, rec_loss 0.1034, quant_error 2.1687,
Train Epoch: [1/5] Iters:[420/10009] transplant_loss 148.9304, rec_loss 0.1029, quant_error 2.1676,
Train Epoch: [1/5] Iters:[430/10009] transplant_loss 151.6621, rec_loss 0.1028, quant_error 2.1630,
Train Epoch: [1/5] Iters:[440/10009] transplant_loss 154.0567, rec_loss 0.1033, quant_error 2.1628,
Train Epoch: [1/5] Iters:[450/10009] transplant_loss 155.9812, rec_loss 0.1026, quant_error 2.1560,
Train Epoch: [1/5] Iters:[460/10009] transplant_loss 158.3691, rec_loss 0.1021, quant_error 2.1545,
Train Epoch: [1/5] Iters:[470/10009] transplant_loss 159.1532, rec_loss 0.1017, quant_error 2.1479,
Train Epoch: [1/5] Iters:[480/10009] transplant_loss 160.1651, rec_loss 0.1018, quant_error 2.1446,
Train Epoch: [1/5] Iters:[490/10009] transplant_loss 162.4630, rec_loss 0.1012, quant_error 2.1346,
Train Epoch: [1/5] Iters:[500/10009] transplant_loss 165.4669, rec_loss 0.1011, quant_error 2.1344,
Train Epoch: [1/5] Iters:[510/10009] transplant_loss 167.3667, rec_loss 0.1011, quant_error 2.1253,
Train Epoch: [1/5] Iters:[520/10009] transplant_loss 170.8311, rec_loss 0.1010, quant_error 2.1200,
Train Epoch: [1/5] Iters:[530/10009] transplant_loss 173.0352, rec_loss 0.1011, quant_error 2.1254,
Train Epoch: [1/5] Iters:[540/10009] transplant_loss 174.4949, rec_loss 0.1004, quant_error 2.1200,
Train Epoch: [1/5] Iters:[550/10009] transplant_loss 176.1052, rec_loss 0.1001, quant_error 2.1098,
Train Epoch: [1/5] Iters:[560/10009] transplant_loss 178.0629, rec_loss 0.1003, quant_error 2.1111,
Train Epoch: [1/5] Iters:[570/10009] transplant_loss 180.8226, rec_loss 0.1009, quant_error 2.1197,
Train Epoch: [1/5] Iters:[580/10009] transplant_loss 183.8456, rec_loss 0.1012, quant_error 2.1183,
Train Epoch: [1/5] Iters:[590/10009] transplant_loss 187.5406, rec_loss 0.1014, quant_error 2.1175,
Train Epoch: [1/5] Iters:[600/10009] transplant_loss 191.0801, rec_loss 0.1023, quant_error 2.1193,
Train Epoch: [1/5] Iters:[610/10009] transplant_loss 194.5177, rec_loss 0.1020, quant_error 2.1190,
Train Epoch: [1/5] Iters:[620/10009] transplant_loss 196.1314, rec_loss 0.1023, quant_error 2.1153,
Train Epoch: [1/5] Iters:[630/10009] transplant_loss 198.9353, rec_loss 0.1021, quant_error 2.1130,
Train Epoch: [1/5] Iters:[640/10009] transplant_loss 200.6317, rec_loss 0.1030, quant_error 2.1195,
Train Epoch: [1/5] Iters:[650/10009] transplant_loss 201.3986, rec_loss 0.1029, quant_error 2.1205,
Train Epoch: [1/5] Iters:[660/10009] transplant_loss 203.4786, rec_loss 0.1036, quant_error 2.1209,
Train Epoch: [1/5] Iters:[670/10009] transplant_loss 206.8707, rec_loss 0.1023, quant_error 2.1107,
Train Epoch: [1/5] Iters:[680/10009] transplant_loss 209.2375, rec_loss 0.1018, quant_error 2.1044,
Train Epoch: [1/5] Iters:[690/10009] transplant_loss 212.8272, rec_loss 0.1020, quant_error 2.1112,
Train Epoch: [1/5] Iters:[700/10009] transplant_loss 216.9668, rec_loss 0.1021, quant_error 2.1143,
Train Epoch: [1/5] Iters:[710/10009] transplant_loss 219.0919, rec_loss 0.1016, quant_error 2.1091,
