Train Epoch: [1/2] Iters:[270/20018] transplant_loss 5.7886, rec_loss 0.0611, quant_error 1.0356, utilization 0.0888, perplexity 3630.4158,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 5.7652, rec_loss 0.0613, quant_error 1.0313, utilization 0.0890, perplexity 3640.4208,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 5.7402, rec_loss 0.0608, quant_error 1.0320, utilization 0.0887, perplexity 3620.1566,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 5.7513, rec_loss 0.0617, quant_error 1.0337, utilization 0.0889, perplexity 3628.8005,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 5.7172, rec_loss 0.0605, quant_error 1.0269, utilization 0.0889, perplexity 3631.4373,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 5.6981, rec_loss 0.0610, quant_error 1.0249, utilization 0.0892, perplexity 3659.0025,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 5.6923, rec_loss 0.0614, quant_error 1.0244, utilization 0.0890, perplexity 3652.6440,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 5.6776, rec_loss 0.0609, quant_error 1.0186, utilization 0.0893, perplexity 3658.4266,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 5.6494, rec_loss 0.0601, quant_error 1.0134, utilization 0.0892, perplexity 3660.8079,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 5.6575, rec_loss 0.0600, quant_error 1.0121, utilization 0.0894, perplexity 3681.9891,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 5.6357, rec_loss 0.0586, quant_error 1.0038, utilization 0.0893, perplexity 3673.4370,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 5.6345, rec_loss 0.0594, quant_error 1.0016, utilization 0.0899, perplexity 3708.2803,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 5.6411, rec_loss 0.0597, quant_error 1.0019, utilization 0.0898, perplexity 3716.7934,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 5.6445, rec_loss 0.0598, quant_error 1.0006, utilization 0.0900, perplexity 3729.1715,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 5.6225, rec_loss 0.0598, quant_error 0.9964, utilization 0.0900, perplexity 3722.6695,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 5.6414, rec_loss 0.0597, quant_error 0.9958, utilization 0.0904, perplexity 3750.6281,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 5.6043, rec_loss 0.0575, quant_error 0.9899, utilization 0.0898, perplexity 3716.9368,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 5.6074, rec_loss 0.0574, quant_error 0.9861, utilization 0.0904, perplexity 3755.3894,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 5.5860, rec_loss 0.0570, quant_error 0.9833, utilization 0.0903, perplexity 3749.7546,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 5.5718, rec_loss 0.0572, quant_error 0.9829, utilization 0.0907, perplexity 3774.1909,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 5.5540, rec_loss 0.0571, quant_error 0.9812, utilization 0.0905, perplexity 3763.8413,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 5.5626, rec_loss 0.0575, quant_error 0.9795, utilization 0.0909, perplexity 3791.3542,
