Train Epoch: [1/2] Iters:[270/20018] transplant_loss 2.4451, rec_loss 0.0516, quant_error 0.6499, utilization 0.1973, perplexity 11294.3146,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 2.4341, rec_loss 0.0518, quant_error 0.6483, utilization 0.1973, perplexity 11273.6466,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 2.4283, rec_loss 0.0505, quant_error 0.6475, utilization 0.1970, perplexity 11205.1293,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 2.4297, rec_loss 0.0512, quant_error 0.6463, utilization 0.1969, perplexity 11184.8349,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 2.4166, rec_loss 0.0503, quant_error 0.6395, utilization 0.1972, perplexity 11204.3227,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 2.4067, rec_loss 0.0508, quant_error 0.6371, utilization 0.1977, perplexity 11271.6777,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 2.4109, rec_loss 0.0510, quant_error 0.6366, utilization 0.1983, perplexity 11354.0232,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 2.4058, rec_loss 0.0508, quant_error 0.6340, utilization 0.1985, perplexity 11392.2706,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 2.3937, rec_loss 0.0502, quant_error 0.6304, utilization 0.1990, perplexity 11448.7763,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 2.3969, rec_loss 0.0504, quant_error 0.6316, utilization 0.1992, perplexity 11459.7361,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 2.3878, rec_loss 0.0491, quant_error 0.6282, utilization 0.1993, perplexity 11465.7548,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 2.3930, rec_loss 0.0503, quant_error 0.6290, utilization 0.1994, perplexity 11475.6391,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 2.3952, rec_loss 0.0505, quant_error 0.6289, utilization 0.1997, perplexity 11516.2396,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 2.4047, rec_loss 0.0509, quant_error 0.6324, utilization 0.1997, perplexity 11487.6120,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 2.3955, rec_loss 0.0506, quant_error 0.6308, utilization 0.1998, perplexity 11514.2525,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 2.4021, rec_loss 0.0507, quant_error 0.6328, utilization 0.1999, perplexity 11532.5894,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 2.3880, rec_loss 0.0485, quant_error 0.6284, utilization 0.1997, perplexity 11512.1112,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 2.3882, rec_loss 0.0487, quant_error 0.6287, utilization 0.1998, perplexity 11535.0776,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 2.3818, rec_loss 0.0480, quant_error 0.6266, utilization 0.1999, perplexity 11570.2192,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 2.3742, rec_loss 0.0482, quant_error 0.6240, utilization 0.1999, perplexity 11551.0588,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 2.3651, rec_loss 0.0479, quant_error 0.6207, utilization 0.2002, perplexity 11568.3832,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 2.3613, rec_loss 0.0483, quant_error 0.6195, utilization 0.2006, perplexity 11624.0056,
