Train Epoch: [1/2] Iters:[270/40036] transplant_loss 62.6895, rec_loss 0.0973, quant_error 1.8498, utilization 0.0137, perplexity 37.7407,
Train Epoch: [1/2] Iters:[280/40036] transplant_loss 60.9253, rec_loss 0.0963, quant_error 1.8435, utilization 0.0137, perplexity 37.9100,
Train Epoch: [1/2] Iters:[290/40036] transplant_loss 58.8823, rec_loss 0.0950, quant_error 1.8246, utilization 0.0137, perplexity 38.0655,
Train Epoch: [1/2] Iters:[300/40036] transplant_loss 55.4846, rec_loss 0.0943, quant_error 1.8070, utilization 0.0137, perplexity 38.5308,
Train Epoch: [1/2] Iters:[310/40036] transplant_loss 54.1274, rec_loss 0.0942, quant_error 1.8069, utilization 0.0137, perplexity 38.7077,
Train Epoch: [1/2] Iters:[320/40036] transplant_loss 53.0216, rec_loss 0.0961, quant_error 1.8056, utilization 0.0136, perplexity 38.4044,
Train Epoch: [1/2] Iters:[330/40036] transplant_loss 51.1368, rec_loss 0.0962, quant_error 1.7912, utilization 0.0136, perplexity 38.4843,
Train Epoch: [1/2] Iters:[340/40036] transplant_loss 49.2099, rec_loss 0.0958, quant_error 1.7787, utilization 0.0136, perplexity 38.7330,
Train Epoch: [1/2] Iters:[350/40036] transplant_loss 49.0460, rec_loss 0.0956, quant_error 1.7769, utilization 0.0136, perplexity 38.9296,
Train Epoch: [1/2] Iters:[360/40036] transplant_loss 48.3308, rec_loss 0.0948, quant_error 1.7577, utilization 0.0136, perplexity 39.1675,
Train Epoch: [1/2] Iters:[370/40036] transplant_loss 46.5890, rec_loss 0.0960, quant_error 1.7612, utilization 0.0136, perplexity 39.5637,
Train Epoch: [1/2] Iters:[380/40036] transplant_loss 47.1001, rec_loss 0.0956, quant_error 1.7595, utilization 0.0136, perplexity 39.8212,
Train Epoch: [1/2] Iters:[390/40036] transplant_loss 47.1326, rec_loss 0.0947, quant_error 1.7452, utilization 0.0136, perplexity 40.0818,
Train Epoch: [1/2] Iters:[400/40036] transplant_loss 46.2922, rec_loss 0.0951, quant_error 1.7302, utilization 0.0135, perplexity 40.2099,
Train Epoch: [1/2] Iters:[410/40036] transplant_loss 46.5062, rec_loss 0.0949, quant_error 1.7241, utilization 0.0135, perplexity 40.3644,
Train Epoch: [1/2] Iters:[420/40036] transplant_loss 46.8879, rec_loss 0.0921, quant_error 1.6993, utilization 0.0135, perplexity 40.5373,
Train Epoch: [1/2] Iters:[430/40036] transplant_loss 46.5935, rec_loss 0.0916, quant_error 1.6922, utilization 0.0135, perplexity 40.9233,
Train Epoch: [1/2] Iters:[440/40036] transplant_loss 45.3094, rec_loss 0.0917, quant_error 1.6895, utilization 0.0134, perplexity 40.9265,
Train Epoch: [1/2] Iters:[450/40036] transplant_loss 45.7736, rec_loss 0.0903, quant_error 1.6862, utilization 0.0134, perplexity 41.2244,
Train Epoch: [1/2] Iters:[460/40036] transplant_loss 45.0750, rec_loss 0.0901, quant_error 1.6667, utilization 0.0134, perplexity 41.4831,
Train Epoch: [1/2] Iters:[470/40036] transplant_loss 44.4314, rec_loss 0.0904, quant_error 1.6574, utilization 0.0134, perplexity 41.7014,
Train Epoch: [1/2] Iters:[480/40036] transplant_loss 42.8629, rec_loss 0.0906, quant_error 1.6373, utilization 0.0134, perplexity 41.9088,
Train Epoch: [1/2] Iters:[490/40036] transplant_loss 42.7224, rec_loss 0.0905, quant_error 1.6255, utilization 0.0133, perplexity 42.1664,
Train Epoch: [1/2] Iters:[500/40036] transplant_loss 42.5786, rec_loss 0.0885, quant_error 1.6081, utilization 0.0133, perplexity 42.2196,
Train Epoch: [1/2] Iters:[510/40036] transplant_loss 42.0553, rec_loss 0.0876, quant_error 1.6035, utilization 0.0133, perplexity 42.4002,
Train Epoch: [1/2] Iters:[520/40036] transplant_loss 42.3314, rec_loss 0.0873, quant_error 1.5928, utilization 0.0133, perplexity 42.5346,
Train Epoch: [1/2] Iters:[530/40036] transplant_loss 43.4083, rec_loss 0.0858, quant_error 1.5892, utilization 0.0133, perplexity 42.6497,
Train Epoch: [1/2] Iters:[540/40036] transplant_loss 43.2388, rec_loss 0.0863, quant_error 1.5850, utilization 0.0133, perplexity 42.7233,
Train Epoch: [1/2] Iters:[550/40036] transplant_loss 42.7898, rec_loss 0.0879, quant_error 1.5804, utilization 0.0132, perplexity 42.9939,
Train Epoch: [1/2] Iters:[560/40036] transplant_loss 43.0170, rec_loss 0.0869, quant_error 1.5680, utilization 0.0132, perplexity 43.0750,
Train Epoch: [1/2] Iters:[570/40036] transplant_loss 41.9506, rec_loss 0.0880, quant_error 1.5662, utilization 0.0132, perplexity 43.2776,
Train Epoch: [1/2] Iters:[580/40036] transplant_loss 40.7844, rec_loss 0.0874, quant_error 1.5570, utilization 0.0132, perplexity 43.1511,
Train Epoch: [1/2] Iters:[590/40036] transplant_loss 41.2896, rec_loss 0.0871, quant_error 1.5609, utilization 0.0131, perplexity 43.3651,
Train Epoch: [1/2] Iters:[600/40036] transplant_loss 40.8641, rec_loss 0.0873, quant_error 1.5499, utilization 0.0131, perplexity 43.4001,
Train Epoch: [1/2] Iters:[610/40036] transplant_loss 39.9846, rec_loss 0.0871, quant_error 1.5436, utilization 0.0131, perplexity 43.6268,
Train Epoch: [1/2] Iters:[620/40036] transplant_loss 39.5008, rec_loss 0.0847, quant_error 1.5269, utilization 0.0131, perplexity 43.6940,
Train Epoch: [1/2] Iters:[630/40036] transplant_loss 39.8346, rec_loss 0.0871, quant_error 1.5265, utilization 0.0131, perplexity 44.0257,
Train Epoch: [1/2] Iters:[640/40036] transplant_loss 38.8536, rec_loss 0.0857, quant_error 1.5029, utilization 0.0130, perplexity 44.0577,
Train Epoch: [1/2] Iters:[650/40036] transplant_loss 38.7487, rec_loss 0.0844, quant_error 1.4980, utilization 0.0130, perplexity 44.2791,
Train Epoch: [1/2] Iters:[660/40036] transplant_loss 38.9177, rec_loss 0.0862, quant_error 1.4997, utilization 0.0130, perplexity 44.2340,
Train Epoch: [1/2] Iters:[670/40036] transplant_loss 39.5010, rec_loss 0.0861, quant_error 1.4992, utilization 0.0130, perplexity 44.4680,
Train Epoch: [1/2] Iters:[680/40036] transplant_loss 39.3336, rec_loss 0.0847, quant_error 1.4939, utilization 0.0130, perplexity 44.5377,
Train Epoch: [1/2] Iters:[690/40036] transplant_loss 39.5429, rec_loss 0.0830, quant_error 1.4882, utilization 0.0130, perplexity 44.7245,
