Train Epoch: [1/2] Iters:[270/40036] transplant_loss 3.8880, rec_loss 0.0804, quant_error 1.5476, utilization 0.1410, perplexity 221.9705,
Train Epoch: [1/2] Iters:[280/40036] transplant_loss 3.8343, rec_loss 0.0786, quant_error 1.5348, utilization 0.1401, perplexity 220.9498,
Train Epoch: [1/2] Iters:[290/40036] transplant_loss 3.7824, rec_loss 0.0782, quant_error 1.5163, utilization 0.1402, perplexity 220.5584,
Train Epoch: [1/2] Iters:[300/40036] transplant_loss 3.7192, rec_loss 0.0747, quant_error 1.4875, utilization 0.1406, perplexity 220.9269,
Train Epoch: [1/2] Iters:[310/40036] transplant_loss 3.6720, rec_loss 0.0742, quant_error 1.4767, utilization 0.1394, perplexity 219.0768,
Train Epoch: [1/2] Iters:[320/40036] transplant_loss 3.6620, rec_loss 0.0743, quant_error 1.4639, utilization 0.1394, perplexity 218.8112,
Train Epoch: [1/2] Iters:[330/40036] transplant_loss 3.6421, rec_loss 0.0746, quant_error 1.4509, utilization 0.1399, perplexity 219.3529,
Train Epoch: [1/2] Iters:[340/40036] transplant_loss 3.6406, rec_loss 0.0748, quant_error 1.4412, utilization 0.1406, perplexity 220.6928,
Train Epoch: [1/2] Iters:[350/40036] transplant_loss 3.6322, rec_loss 0.0754, quant_error 1.4385, utilization 0.1412, perplexity 221.6779,
Train Epoch: [1/2] Iters:[360/40036] transplant_loss 3.6215, rec_loss 0.0763, quant_error 1.4274, utilization 0.1439, perplexity 225.4147,
Train Epoch: [1/2] Iters:[370/40036] transplant_loss 3.6078, rec_loss 0.0764, quant_error 1.4330, utilization 0.1456, perplexity 228.2487,
Train Epoch: [1/2] Iters:[380/40036] transplant_loss 3.5957, rec_loss 0.0764, quant_error 1.4235, utilization 0.1474, perplexity 231.1787,
Train Epoch: [1/2] Iters:[390/40036] transplant_loss 3.5541, rec_loss 0.0753, quant_error 1.4100, utilization 0.1483, perplexity 232.8135,
Train Epoch: [1/2] Iters:[400/40036] transplant_loss 3.5168, rec_loss 0.0750, quant_error 1.3967, utilization 0.1502, perplexity 235.2594,
Train Epoch: [1/2] Iters:[410/40036] transplant_loss 3.4756, rec_loss 0.0729, quant_error 1.3829, utilization 0.1515, perplexity 237.9750,
Train Epoch: [1/2] Iters:[420/40036] transplant_loss 3.4843, rec_loss 0.0743, quant_error 1.3810, utilization 0.1522, perplexity 240.1157,
Train Epoch: [1/2] Iters:[430/40036] transplant_loss 3.5140, rec_loss 0.0763, quant_error 1.3940, utilization 0.1538, perplexity 243.3512,
Train Epoch: [1/2] Iters:[440/40036] transplant_loss 3.5344, rec_loss 0.0773, quant_error 1.4067, utilization 0.1559, perplexity 246.5146,
Train Epoch: [1/2] Iters:[450/40036] transplant_loss 3.5340, rec_loss 0.0761, quant_error 1.4051, utilization 0.1572, perplexity 248.4553,
Train Epoch: [1/2] Iters:[460/40036] transplant_loss 3.5433, rec_loss 0.0772, quant_error 1.3994, utilization 0.1576, perplexity 248.6195,
Train Epoch: [1/2] Iters:[470/40036] transplant_loss 3.5382, rec_loss 0.0770, quant_error 1.3863, utilization 0.1595, perplexity 249.2618,
Train Epoch: [1/2] Iters:[480/40036] transplant_loss 3.4968, rec_loss 0.0752, quant_error 1.3643, utilization 0.1606, perplexity 250.0887,
Train Epoch: [1/2] Iters:[490/40036] transplant_loss 3.4746, rec_loss 0.0744, quant_error 1.3507, utilization 0.1619, perplexity 251.7565,
Train Epoch: [1/2] Iters:[500/40036] transplant_loss 3.4784, rec_loss 0.0740, quant_error 1.3564, utilization 0.1628, perplexity 253.0417,
Train Epoch: [1/2] Iters:[510/40036] transplant_loss 3.4686, rec_loss 0.0728, quant_error 1.3580, utilization 0.1648, perplexity 254.6738,
Train Epoch: [1/2] Iters:[520/40036] transplant_loss 3.4504, rec_loss 0.0714, quant_error 1.3468, utilization 0.1656, perplexity 254.7953,
Train Epoch: [1/2] Iters:[530/40036] transplant_loss 3.4516, rec_loss 0.0710, quant_error 1.3494, utilization 0.1653, perplexity 254.4081,
Train Epoch: [1/2] Iters:[540/40036] transplant_loss 3.4543, rec_loss 0.0714, quant_error 1.3485, utilization 0.1663, perplexity 254.8968,
Train Epoch: [1/2] Iters:[550/40036] transplant_loss 3.4507, rec_loss 0.0722, quant_error 1.3371, utilization 0.1673, perplexity 255.6833,
Train Epoch: [1/2] Iters:[560/40036] transplant_loss 3.4480, rec_loss 0.0729, quant_error 1.3279, utilization 0.1674, perplexity 255.7332,
Train Epoch: [1/2] Iters:[570/40036] transplant_loss 3.4711, rec_loss 0.0765, quant_error 1.3531, utilization 0.1684, perplexity 258.3014,
Train Epoch: [1/2] Iters:[580/40036] transplant_loss 3.4646, rec_loss 0.0755, quant_error 1.3531, utilization 0.1699, perplexity 259.1994,
Train Epoch: [1/2] Iters:[590/40036] transplant_loss 3.4704, rec_loss 0.0755, quant_error 1.3533, utilization 0.1705, perplexity 259.5958,
Train Epoch: [1/2] Iters:[600/40036] transplant_loss 3.4979, rec_loss 0.0768, quant_error 1.3575, utilization 0.1705, perplexity 259.8768,
Train Epoch: [1/2] Iters:[610/40036] transplant_loss 3.5124, rec_loss 0.0766, quant_error 1.3657, utilization 0.1714, perplexity 260.8509,
Train Epoch: [1/2] Iters:[620/40036] transplant_loss 3.4783, rec_loss 0.0720, quant_error 1.3340, utilization 0.1721, perplexity 260.7309,
Train Epoch: [1/2] Iters:[630/40036] transplant_loss 3.4959, rec_loss 0.0745, quant_error 1.3344, utilization 0.1725, perplexity 261.2126,
Train Epoch: [1/2] Iters:[640/40036] transplant_loss 3.4901, rec_loss 0.0750, quant_error 1.3330, utilization 0.1730, perplexity 262.0456,
Train Epoch: [1/2] Iters:[650/40036] transplant_loss 3.4677, rec_loss 0.0729, quant_error 1.3327, utilization 0.1744, perplexity 262.9788,
Train Epoch: [1/2] Iters:[660/40036] transplant_loss 3.4678, rec_loss 0.0740, quant_error 1.3288, utilization 0.1748, perplexity 263.5145,
Train Epoch: [1/2] Iters:[670/40036] transplant_loss 3.4902, rec_loss 0.0752, quant_error 1.3478, utilization 0.1751, perplexity 264.3618,
Train Epoch: [1/2] Iters:[680/40036] transplant_loss 3.5081, rec_loss 0.0744, quant_error 1.3613, utilization 0.1774, perplexity 266.6212,
Train Epoch: [1/2] Iters:[690/40036] transplant_loss 3.5077, rec_loss 0.0721, quant_error 1.3528, utilization 0.1781, perplexity 267.1975,
Train Epoch: [1/2] Iters:[700/40036] transplant_loss 3.5189, rec_loss 0.0735, quant_error 1.3499, utilization 0.1790, perplexity 268.3078,
Train Epoch: [1/2] Iters:[710/40036] transplant_loss 3.5389, rec_loss 0.0735, quant_error 1.3607, utilization 0.1796, perplexity 269.0726,
Train Epoch: [1/2] Iters:[720/40036] transplant_loss 3.5412, rec_loss 0.0727, quant_error 1.3522, utilization 0.1804, perplexity 270.4553,
Train Epoch: [1/2] Iters:[730/40036] transplant_loss 3.5246, rec_loss 0.0717, quant_error 1.3407, utilization 0.1804, perplexity 270.6715,
Train Epoch: [1/2] Iters:[740/40036] transplant_loss 3.5337, rec_loss 0.0741, quant_error 1.3523, utilization 0.1813, perplexity 270.9555,
Train Epoch: [1/2] Iters:[750/40036] transplant_loss 3.5511, rec_loss 0.0756, quant_error 1.3584, utilization 0.1818, perplexity 271.3002,
Train Epoch: [1/2] Iters:[760/40036] transplant_loss 3.5473, rec_loss 0.0760, quant_error 1.3463, utilization 0.1821, perplexity 271.8167,
Train Epoch: [1/2] Iters:[770/40036] transplant_loss 3.5367, rec_loss 0.0760, quant_error 1.3401, utilization 0.1831, perplexity 272.9257,
Train Epoch: [1/2] Iters:[780/40036] transplant_loss 3.5540, rec_loss 0.0769, quant_error 1.3414, utilization 0.1827, perplexity 273.0041,
Train Epoch: [1/2] Iters:[790/40036] transplant_loss 3.5675, rec_loss 0.0759, quant_error 1.3378, utilization 0.1829, perplexity 274.4442,
Train Epoch: [1/2] Iters:[800/40036] transplant_loss 3.5572, rec_loss 0.0745, quant_error 1.3282, utilization 0.1838, perplexity 275.4086,
Train Epoch: [1/2] Iters:[810/40036] transplant_loss 3.5526, rec_loss 0.0729, quant_error 1.3362, utilization 0.1848, perplexity 276.4357,
Train Epoch: [1/2] Iters:[820/40036] transplant_loss 3.5477, rec_loss 0.0734, quant_error 1.3387, utilization 0.1847, perplexity 276.5262,
Train Epoch: [1/2] Iters:[830/40036] transplant_loss 3.5295, rec_loss 0.0724, quant_error 1.3260, utilization 0.1864, perplexity 278.4691,
Train Epoch: [1/2] Iters:[840/40036] transplant_loss 3.5226, rec_loss 0.0717, quant_error 1.3227, utilization 0.1869, perplexity 279.2889,
Train Epoch: [1/2] Iters:[850/40036] transplant_loss 3.5098, rec_loss 0.0703, quant_error 1.3221, utilization 0.1867, perplexity 279.5823,
Train Epoch: [1/2] Iters:[860/40036] transplant_loss 3.5139, rec_loss 0.0729, quant_error 1.3224, utilization 0.1870, perplexity 280.4894,
Train Epoch: [1/2] Iters:[870/40036] transplant_loss 3.5387, rec_loss 0.0738, quant_error 1.3395, utilization 0.1881, perplexity 281.8056,
Train Epoch: [1/2] Iters:[880/40036] transplant_loss 3.5399, rec_loss 0.0751, quant_error 1.3383, utilization 0.1882, perplexity 281.9785,
Train Epoch: [1/2] Iters:[890/40036] transplant_loss 3.5239, rec_loss 0.0755, quant_error 1.3354, utilization 0.1888, perplexity 282.5290,
Train Epoch: [1/2] Iters:[900/40036] transplant_loss 3.5319, rec_loss 0.0762, quant_error 1.3448, utilization 0.1902, perplexity 284.4737,
Train Epoch: [1/2] Iters:[910/40036] transplant_loss 3.5483, rec_loss 0.0755, quant_error 1.3511, utilization 0.1905, perplexity 285.1742,
Train Epoch: [1/2] Iters:[920/40036] transplant_loss 3.5068, rec_loss 0.0728, quant_error 1.3218, utilization 0.1908, perplexity 286.1180,
Train Epoch: [1/2] Iters:[930/40036] transplant_loss 3.4927, rec_loss 0.0728, quant_error 1.3258, utilization 0.1920, perplexity 287.9991,
Train Epoch: [1/2] Iters:[940/40036] transplant_loss 3.4806, rec_loss 0.0724, quant_error 1.3270, utilization 0.1925, perplexity 289.6091,
Train Epoch: [1/2] Iters:[950/40036] transplant_loss 3.4863, rec_loss 0.0725, quant_error 1.3270, utilization 0.1924, perplexity 289.5579,
Train Epoch: [1/2] Iters:[960/40036] transplant_loss 3.4397, rec_loss 0.0710, quant_error 1.3031, utilization 0.1937, perplexity 290.2910,
Train Epoch: [1/2] Iters:[970/40036] transplant_loss 3.4352, rec_loss 0.0707, quant_error 1.3063, utilization 0.1939, perplexity 291.1705,
Train Epoch: [1/2] Iters:[980/40036] transplant_loss 3.4279, rec_loss 0.0697, quant_error 1.2993, utilization 0.1926, perplexity 290.2911,
Train Epoch: [1/2] Iters:[990/40036] transplant_loss 3.4328, rec_loss 0.0716, quant_error 1.2944, utilization 0.1936, perplexity 290.5266,
Train Epoch: [1/2] Iters:[1000/40036] transplant_loss 3.4036, rec_loss 0.0711, quant_error 1.2840, utilization 0.1949, perplexity 292.7276,
Train Epoch: [1/2] Iters:[1010/40036] transplant_loss 3.4027, rec_loss 0.0715, quant_error 1.2922, utilization 0.1962, perplexity 295.2557,
Train Epoch: [1/2] Iters:[1020/40036] transplant_loss 3.4365, rec_loss 0.0749, quant_error 1.3042, utilization 0.1971, perplexity 296.5049,
Train Epoch: [1/2] Iters:[1030/40036] transplant_loss 3.4187, rec_loss 0.0748, quant_error 1.2965, utilization 0.1985, perplexity 299.5156,
Train Epoch: [1/2] Iters:[1040/40036] transplant_loss 3.3947, rec_loss 0.0731, quant_error 1.2777, utilization 0.1979, perplexity 300.4978,
Train Epoch: [1/2] Iters:[1050/40036] transplant_loss 3.3829, rec_loss 0.0720, quant_error 1.2669, utilization 0.1972, perplexity 299.5178,
Train Epoch: [1/2] Iters:[1060/40036] transplant_loss 3.3888, rec_loss 0.0729, quant_error 1.2677, utilization 0.1968, perplexity 299.8600,
Train Epoch: [1/2] Iters:[1070/40036] transplant_loss 3.3780, rec_loss 0.0727, quant_error 1.2635, utilization 0.1974, perplexity 302.0198,
Train Epoch: [1/2] Iters:[1080/40036] transplant_loss 3.3830, rec_loss 0.0739, quant_error 1.2675, utilization 0.1980, perplexity 303.2819,
Train Epoch: [1/2] Iters:[1090/40036] transplant_loss 3.3943, rec_loss 0.0743, quant_error 1.2839, utilization 0.1983, perplexity 304.4105,
Train Epoch: [1/2] Iters:[1100/40036] transplant_loss 3.4115, rec_loss 0.0764, quant_error 1.2907, utilization 0.1987, perplexity 306.8033,
Train Epoch: [1/2] Iters:[1110/40036] transplant_loss 3.4280, rec_loss 0.0759, quant_error 1.3085, utilization 0.1991, perplexity 308.3996,
Train Epoch: [1/2] Iters:[1120/40036] transplant_loss 3.4202, rec_loss 0.0761, quant_error 1.3151, utilization 0.2001, perplexity 308.5704,
Train Epoch: [1/2] Iters:[1130/40036] transplant_loss 3.4074, rec_loss 0.0751, quant_error 1.3056, utilization 0.2010, perplexity 309.2869,
Train Epoch: [1/2] Iters:[1140/40036] transplant_loss 3.4009, rec_loss 0.0741, quant_error 1.3028, utilization 0.2004, perplexity 309.6341,
Train Epoch: [1/2] Iters:[1150/40036] transplant_loss 3.4115, rec_loss 0.0741, quant_error 1.3161, utilization 0.2012, perplexity 310.9123,
Train Epoch: [1/2] Iters:[1160/40036] transplant_loss 3.3899, rec_loss 0.0739, quant_error 1.2947, utilization 0.2018, perplexity 312.4789,
Train Epoch: [1/2] Iters:[1170/40036] transplant_loss 3.3882, rec_loss 0.0728, quant_error 1.2816, utilization 0.2018, perplexity 313.1835,
Train Epoch: [1/2] Iters:[1180/40036] transplant_loss 3.4049, rec_loss 0.0732, quant_error 1.2917, utilization 0.2011, perplexity 312.9509,
Train Epoch: [1/2] Iters:[1190/40036] transplant_loss 3.4163, rec_loss 0.0745, quant_error 1.2862, utilization 0.2030, perplexity 315.7660,
Train Epoch: [1/2] Iters:[1200/40036] transplant_loss 3.3995, rec_loss 0.0731, quant_error 1.2741, utilization 0.2024, perplexity 315.9826,
Train Epoch: [1/2] Iters:[1210/40036] transplant_loss 3.3791, rec_loss 0.0719, quant_error 1.2652, utilization 0.2019, perplexity 315.9016,
Train Epoch: [1/2] Iters:[1220/40036] transplant_loss 3.3475, rec_loss 0.0711, quant_error 1.2428, utilization 0.2022, perplexity 317.6907,
Train Epoch: [1/2] Iters:[1230/40036] transplant_loss 3.3330, rec_loss 0.0704, quant_error 1.2265, utilization 0.2024, perplexity 318.2828,
Train Epoch: [1/2] Iters:[1240/40036] transplant_loss 3.3339, rec_loss 0.0698, quant_error 1.2324, utilization 0.2038, perplexity 319.3872,
Train Epoch: [1/2] Iters:[1250/40036] transplant_loss 3.3252, rec_loss 0.0705, quant_error 1.2240, utilization 0.2050, perplexity 320.5480,
Train Epoch: [1/2] Iters:[1260/40036] transplant_loss 3.3300, rec_loss 0.0696, quant_error 1.2237, utilization 0.2062, perplexity 321.3301,
Train Epoch: [1/2] Iters:[1270/40036] transplant_loss 3.3260, rec_loss 0.0689, quant_error 1.2342, utilization 0.2069, perplexity 321.7824,
Train Epoch: [1/2] Iters:[1280/40036] transplant_loss 3.3054, rec_loss 0.0691, quant_error 1.2331, utilization 0.2090, perplexity 325.2326,
Train Epoch: [1/2] Iters:[1290/40036] transplant_loss 3.2876, rec_loss 0.0701, quant_error 1.2307, utilization 0.2078, perplexity 325.1955,
Train Epoch: [1/2] Iters:[1300/40036] transplant_loss 3.2492, rec_loss 0.0681, quant_error 1.2173, utilization 0.2084, perplexity 327.3947,
Train Epoch: [1/2] Iters:[1310/40036] transplant_loss 3.2325, rec_loss 0.0686, quant_error 1.2021, utilization 0.2098, perplexity 329.8289,
Train Epoch: [1/2] Iters:[1320/40036] transplant_loss 3.2245, rec_loss 0.0682, quant_error 1.1917, utilization 0.2105, perplexity 331.1261,
Train Epoch: [1/2] Iters:[1330/40036] transplant_loss 3.2534, rec_loss 0.0704, quant_error 1.2099, utilization 0.2105, perplexity 331.8887,
Train Epoch: [1/2] Iters:[1340/40036] transplant_loss 3.2432, rec_loss 0.0686, quant_error 1.2060, utilization 0.2124, perplexity 334.2454,
Train Epoch: [1/2] Iters:[1350/40036] transplant_loss 3.2783, rec_loss 0.0708, quant_error 1.2259, utilization 0.2131, perplexity 334.6136,
Train Epoch: [1/2] Iters:[1360/40036] transplant_loss 3.2779, rec_loss 0.0713, quant_error 1.2363, utilization 0.2121, perplexity 334.2472,
Train Epoch: [1/2] Iters:[1370/40036] transplant_loss 3.2713, rec_loss 0.0709, quant_error 1.2350, utilization 0.2122, perplexity 335.3649,
Train Epoch: [1/2] Iters:[1380/40036] transplant_loss 3.2465, rec_loss 0.0682, quant_error 1.2171, utilization 0.2126, perplexity 336.1747,
Train Epoch: [1/2] Iters:[1390/40036] transplant_loss 3.2629, rec_loss 0.0711, quant_error 1.2213, utilization 0.2130, perplexity 336.7670,
Train Epoch: [1/2] Iters:[1400/40036] transplant_loss 3.2368, rec_loss 0.0699, quant_error 1.2065, utilization 0.2129, perplexity 338.6155,
Train Epoch: [1/2] Iters:[1410/40036] transplant_loss 3.2535, rec_loss 0.0707, quant_error 1.2181, utilization 0.2136, perplexity 339.2314,
Train Epoch: [1/2] Iters:[1420/40036] transplant_loss 3.2695, rec_loss 0.0712, quant_error 1.2309, utilization 0.2147, perplexity 341.0653,
Train Epoch: [1/2] Iters:[1430/40036] transplant_loss 3.2802, rec_loss 0.0724, quant_error 1.2418, utilization 0.2134, perplexity 340.0500,
Train Epoch: [1/2] Iters:[1440/40036] transplant_loss 3.2411, rec_loss 0.0694, quant_error 1.2266, utilization 0.2126, perplexity 340.4647,
Train Epoch: [1/2] Iters:[1450/40036] transplant_loss 3.2430, rec_loss 0.0704, quant_error 1.2257, utilization 0.2142, perplexity 343.3314,
Train Epoch: [1/2] Iters:[1460/40036] transplant_loss 3.2296, rec_loss 0.0706, quant_error 1.2062, utilization 0.2171, perplexity 348.5814,
Train Epoch: [1/2] Iters:[1470/40036] transplant_loss 3.2282, rec_loss 0.0718, quant_error 1.1995, utilization 0.2192, perplexity 351.5140,
Train Epoch: [1/2] Iters:[1480/40036] transplant_loss 3.2250, rec_loss 0.0723, quant_error 1.1917, utilization 0.2224, perplexity 355.3360,
Train Epoch: [1/2] Iters:[1490/40036] transplant_loss 3.2138, rec_loss 0.0721, quant_error 1.1913, utilization 0.2243, perplexity 357.1540,
Train Epoch: [1/2] Iters:[1500/40036] transplant_loss 3.1775, rec_loss 0.0710, quant_error 1.1765, utilization 0.2242, perplexity 358.2352,
Train Epoch: [1/2] Iters:[1510/40036] transplant_loss 3.1486, rec_loss 0.0695, quant_error 1.1657, utilization 0.2227, perplexity 357.8252,
Train Epoch: [1/2] Iters:[1520/40036] transplant_loss 3.1404, rec_loss 0.0684, quant_error 1.1598, utilization 0.2219, perplexity 358.9767,
Train Epoch: [1/2] Iters:[1530/40036] transplant_loss 3.1206, rec_loss 0.0669, quant_error 1.1580, utilization 0.2214, perplexity 359.7528,
Train Epoch: [1/2] Iters:[1540/40036] transplant_loss 3.1197, rec_loss 0.0667, quant_error 1.1445, utilization 0.2212, perplexity 362.2658,
Train Epoch: [1/2] Iters:[1550/40036] transplant_loss 3.1343, rec_loss 0.0656, quant_error 1.1643, utilization 0.2220, perplexity 362.8814,
Train Epoch: [1/2] Iters:[1560/40036] transplant_loss 3.1376, rec_loss 0.0672, quant_error 1.1769, utilization 0.2234, perplexity 364.9235,
Train Epoch: [1/2] Iters:[1570/40036] transplant_loss 3.1406, rec_loss 0.0681, quant_error 1.1927, utilization 0.2236, perplexity 365.1762,
Train Epoch: [1/2] Iters:[1580/40036] transplant_loss 3.1330, rec_loss 0.0686, quant_error 1.1907, utilization 0.2242, perplexity 367.0119,
Train Epoch: [1/2] Iters:[1590/40036] transplant_loss 3.1366, rec_loss 0.0696, quant_error 1.1983, utilization 0.2251, perplexity 368.3979,
Train Epoch: [1/2] Iters:[1600/40036] transplant_loss 3.1265, rec_loss 0.0695, quant_error 1.1818, utilization 0.2247, perplexity 369.5393,
Train Epoch: [1/2] Iters:[1610/40036] transplant_loss 3.1014, rec_loss 0.0672, quant_error 1.1635, utilization 0.2240, perplexity 370.4456,
Train Epoch: [1/2] Iters:[1620/40036] transplant_loss 3.0951, rec_loss 0.0670, quant_error 1.1545, utilization 0.2250, perplexity 373.2197,
Train Epoch: [1/2] Iters:[1630/40036] transplant_loss 3.1147, rec_loss 0.0672, quant_error 1.1550, utilization 0.2254, perplexity 375.0506,
Train Epoch: [1/2] Iters:[1640/40036] transplant_loss 3.1246, rec_loss 0.0655, quant_error 1.1592, utilization 0.2257, perplexity 376.8836,
Train Epoch: [1/2] Iters:[1650/40036] transplant_loss 3.1371, rec_loss 0.0666, quant_error 1.1689, utilization 0.2267, perplexity 379.0702,
Train Epoch: [1/2] Iters:[1660/40036] transplant_loss 3.1614, rec_loss 0.0683, quant_error 1.1779, utilization 0.2282, perplexity 381.5822,
Train Epoch: [1/2] Iters:[1670/40036] transplant_loss 3.1401, rec_loss 0.0674, quant_error 1.1590, utilization 0.2273, perplexity 381.5329,
