Train Epoch: [1/5] Iters:[400/10009] transplant_loss 2.1629, rec_loss 0.0390, quant_error 0.2438,
Train Epoch: [1/5] Iters:[410/10009] transplant_loss 2.1609, rec_loss 0.0390, quant_error 0.2435,
Train Epoch: [1/5] Iters:[420/10009] transplant_loss 2.1601, rec_loss 0.0384, quant_error 0.2434,
Train Epoch: [1/5] Iters:[430/10009] transplant_loss 2.1581, rec_loss 0.0388, quant_error 0.2430,
Train Epoch: [1/5] Iters:[440/10009] transplant_loss 2.1601, rec_loss 0.0389, quant_error 0.2432,
Train Epoch: [1/5] Iters:[450/10009] transplant_loss 2.1580, rec_loss 0.0388, quant_error 0.2429,
Train Epoch: [1/5] Iters:[460/10009] transplant_loss 2.1532, rec_loss 0.0387, quant_error 0.2422,
Train Epoch: [1/5] Iters:[470/10009] transplant_loss 2.1470, rec_loss 0.0385, quant_error 0.2415,
Train Epoch: [1/5] Iters:[480/10009] transplant_loss 2.1430, rec_loss 0.0386, quant_error 0.2410,
Train Epoch: [1/5] Iters:[490/10009] transplant_loss 2.1324, rec_loss 0.0387, quant_error 0.2398,
Train Epoch: [1/5] Iters:[500/10009] transplant_loss 2.1263, rec_loss 0.0385, quant_error 0.2391,
Train Epoch: [1/5] Iters:[510/10009] transplant_loss 2.1201, rec_loss 0.0385, quant_error 0.2384,
Train Epoch: [1/5] Iters:[520/10009] transplant_loss 2.1151, rec_loss 0.0388, quant_error 0.2378,
Train Epoch: [1/5] Iters:[530/10009] transplant_loss 2.1138, rec_loss 0.0384, quant_error 0.2376,
Train Epoch: [1/5] Iters:[540/10009] transplant_loss 2.1124, rec_loss 0.0383, quant_error 0.2374,
Train Epoch: [1/5] Iters:[550/10009] transplant_loss 2.1051, rec_loss 0.0383, quant_error 0.2366,
Train Epoch: [1/5] Iters:[560/10009] transplant_loss 2.0998, rec_loss 0.0385, quant_error 0.2360,
Train Epoch: [1/5] Iters:[570/10009] transplant_loss 2.0999, rec_loss 0.0386, quant_error 0.2360,
Train Epoch: [1/5] Iters:[580/10009] transplant_loss 2.0958, rec_loss 0.0391, quant_error 0.2355,
Train Epoch: [1/5] Iters:[590/10009] transplant_loss 2.0941, rec_loss 0.0387, quant_error 0.2353,
Train Epoch: [1/5] Iters:[600/10009] transplant_loss 2.0944, rec_loss 0.0392, quant_error 0.2353,
Train Epoch: [1/5] Iters:[610/10009] transplant_loss 2.0968, rec_loss 0.0389, quant_error 0.2355,
Train Epoch: [1/5] Iters:[620/10009] transplant_loss 2.0960, rec_loss 0.0392, quant_error 0.2354,
