Train Epoch: [1/2] Iters:[270/10009] transplant_loss 7.5313, rec_loss 0.0538, quant_error 1.9428, utilization 0.7163, perplexity 9141.2097,
Train Epoch: [1/2] Iters:[280/10009] transplant_loss 7.5127, rec_loss 0.0538, quant_error 1.9387, utilization 0.7162, perplexity 9155.8971,
Train Epoch: [1/2] Iters:[290/10009] transplant_loss 7.5016, rec_loss 0.0538, quant_error 1.9361, utilization 0.7160, perplexity 9135.6838,
Train Epoch: [1/2] Iters:[300/10009] transplant_loss 7.4956, rec_loss 0.0541, quant_error 1.9327, utilization 0.7159, perplexity 9165.6715,
Train Epoch: [1/2] Iters:[310/10009] transplant_loss 7.4804, rec_loss 0.0541, quant_error 1.9278, utilization 0.7162, perplexity 9177.6689,
Train Epoch: [1/2] Iters:[320/10009] transplant_loss 7.4682, rec_loss 0.0535, quant_error 1.9244, utilization 0.7163, perplexity 9178.7088,
Train Epoch: [1/2] Iters:[330/10009] transplant_loss 7.4650, rec_loss 0.0533, quant_error 1.9205, utilization 0.7159, perplexity 9186.1655,
Train Epoch: [1/2] Iters:[340/10009] transplant_loss 7.4534, rec_loss 0.0531, quant_error 1.9165, utilization 0.7160, perplexity 9211.3588,
Train Epoch: [1/2] Iters:[350/10009] transplant_loss 7.4373, rec_loss 0.0531, quant_error 1.9148, utilization 0.7167, perplexity 9225.0663,
Train Epoch: [1/2] Iters:[360/10009] transplant_loss 7.4277, rec_loss 0.0529, quant_error 1.9123, utilization 0.7169, perplexity 9235.4828,
Train Epoch: [1/2] Iters:[370/10009] transplant_loss 7.4295, rec_loss 0.0537, quant_error 1.9123, utilization 0.7175, perplexity 9241.9521,
Train Epoch: [1/2] Iters:[380/10009] transplant_loss 7.4193, rec_loss 0.0535, quant_error 1.9103, utilization 0.7179, perplexity 9240.8877,
Train Epoch: [1/2] Iters:[390/10009] transplant_loss 7.4059, rec_loss 0.0533, quant_error 1.9058, utilization 0.7180, perplexity 9227.0279,
Train Epoch: [1/2] Iters:[400/10009] transplant_loss 7.4048, rec_loss 0.0533, quant_error 1.9031, utilization 0.7185, perplexity 9226.9552,
Train Epoch: [1/2] Iters:[410/10009] transplant_loss 7.4085, rec_loss 0.0532, quant_error 1.9036, utilization 0.7189, perplexity 9234.2187,
Train Epoch: [1/2] Iters:[420/10009] transplant_loss 7.3977, rec_loss 0.0525, quant_error 1.9008, utilization 0.7189, perplexity 9252.1849,
Train Epoch: [1/2] Iters:[430/10009] transplant_loss 7.3796, rec_loss 0.0526, quant_error 1.8958, utilization 0.7192, perplexity 9237.2975,
Train Epoch: [1/2] Iters:[440/10009] transplant_loss 7.3774, rec_loss 0.0530, quant_error 1.8956, utilization 0.7193, perplexity 9241.5130,
Train Epoch: [1/2] Iters:[450/10009] transplant_loss 7.3716, rec_loss 0.0527, quant_error 1.8925, utilization 0.7189, perplexity 9255.0985,
Train Epoch: [1/2] Iters:[460/10009] transplant_loss 7.3568, rec_loss 0.0528, quant_error 1.8886, utilization 0.7190, perplexity 9244.2361,
Train Epoch: [1/2] Iters:[470/10009] transplant_loss 7.3440, rec_loss 0.0527, quant_error 1.8852, utilization 0.7188, perplexity 9229.5950,
Train Epoch: [1/2] Iters:[480/10009] transplant_loss 7.3520, rec_loss 0.0530, quant_error 1.8873, utilization 0.7189, perplexity 9262.7173,
Train Epoch: [1/2] Iters:[490/10009] transplant_loss 7.3318, rec_loss 0.0530, quant_error 1.8817, utilization 0.7191, perplexity 9278.1728,
Train Epoch: [1/2] Iters:[500/10009] transplant_loss 7.3205, rec_loss 0.0531, quant_error 1.8804, utilization 0.7192, perplexity 9270.3014,
Train Epoch: [1/2] Iters:[510/10009] transplant_loss 7.3169, rec_loss 0.0529, quant_error 1.8788, utilization 0.7189, perplexity 9271.8845,
Train Epoch: [1/2] Iters:[520/10009] transplant_loss 7.3106, rec_loss 0.0533, quant_error 1.8770, utilization 0.7192, perplexity 9288.6470,
Train Epoch: [1/2] Iters:[530/10009] transplant_loss 7.3211, rec_loss 0.0530, quant_error 1.8804, utilization 0.7196, perplexity 9294.3976,
Train Epoch: [1/2] Iters:[540/10009] transplant_loss 7.3271, rec_loss 0.0526, quant_error 1.8827, utilization 0.7196, perplexity 9296.7383,
Train Epoch: [1/2] Iters:[550/10009] transplant_loss 7.3101, rec_loss 0.0525, quant_error 1.8780, utilization 0.7196, perplexity 9299.6315,
Train Epoch: [1/2] Iters:[560/10009] transplant_loss 7.3027, rec_loss 0.0525, quant_error 1.8770, utilization 0.7200, perplexity 9309.6908,
Train Epoch: [1/2] Iters:[570/10009] transplant_loss 7.3162, rec_loss 0.0524, quant_error 1.8811, utilization 0.7202, perplexity 9308.5668,
Train Epoch: [1/2] Iters:[580/10009] transplant_loss 7.3026, rec_loss 0.0531, quant_error 1.8783, utilization 0.7201, perplexity 9306.3755,
Train Epoch: [1/2] Iters:[590/10009] transplant_loss 7.2848, rec_loss 0.0528, quant_error 1.8736, utilization 0.7200, perplexity 9291.9924,
Train Epoch: [1/2] Iters:[600/10009] transplant_loss 7.2882, rec_loss 0.0532, quant_error 1.8748, utilization 0.7197, perplexity 9293.9273,
Train Epoch: [1/2] Iters:[610/10009] transplant_loss 7.2873, rec_loss 0.0531, quant_error 1.8731, utilization 0.7200, perplexity 9283.0975,
