Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.3595, rec_loss 0.0370, lpips_loss 0.3224, g_loss 0.2097, disc_weight 0.0000, disc_adaptive_weight 2.7857, d_loss 0.0000, logits_real -0.2080, logits_fake -0.2085,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.3602, rec_loss 0.0368, lpips_loss 0.3234, g_loss 0.2091, disc_weight 0.0000, disc_adaptive_weight 2.8940, d_loss 0.0000, logits_real -0.2067, logits_fake -0.2074,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.3582, rec_loss 0.0364, lpips_loss 0.3218, g_loss 0.2095, disc_weight 0.0000, disc_adaptive_weight 2.8440, d_loss 0.0000, logits_real -0.2077, logits_fake -0.2092,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.3587, rec_loss 0.0367, lpips_loss 0.3220, g_loss 0.2102, disc_weight 0.0000, disc_adaptive_weight 2.7946, d_loss 0.0000, logits_real -0.2074, logits_fake -0.2087,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.3576, rec_loss 0.0366, lpips_loss 0.3211, g_loss 0.2111, disc_weight 0.0000, disc_adaptive_weight 2.7990, d_loss 0.0000, logits_real -0.2078, logits_fake -0.2111,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.3560, rec_loss 0.0363, lpips_loss 0.3196, g_loss 0.2127, disc_weight 0.0000, disc_adaptive_weight 2.8556, d_loss 0.0000, logits_real -0.2084, logits_fake -0.2125,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.3562, rec_loss 0.0363, lpips_loss 0.3199, g_loss 0.2130, disc_weight 0.0000, disc_adaptive_weight 2.8301, d_loss 0.0000, logits_real -0.2075, logits_fake -0.2114,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.3574, rec_loss 0.0364, lpips_loss 0.3211, g_loss 0.2140, disc_weight 0.0000, disc_adaptive_weight 2.8048, d_loss 0.0000, logits_real -0.2072, logits_fake -0.2115,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.3599, rec_loss 0.0372, lpips_loss 0.3227, g_loss 0.2128, disc_weight 0.0000, disc_adaptive_weight 3.0974, d_loss 0.0000, logits_real -0.2074, logits_fake -0.2102,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.3588, rec_loss 0.0368, lpips_loss 0.3220, g_loss 0.2128, disc_weight 0.0000, disc_adaptive_weight 3.0222, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2086,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.3603, rec_loss 0.0367, lpips_loss 0.3235, g_loss 0.2131, disc_weight 0.0000, disc_adaptive_weight 3.0551, d_loss 0.0000, logits_real -0.2080, logits_fake -0.2089,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.3587, rec_loss 0.0366, lpips_loss 0.3221, g_loss 0.2130, disc_weight 0.0000, disc_adaptive_weight 3.1243, d_loss 0.0000, logits_real -0.2095, logits_fake -0.2112,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.3570, rec_loss 0.0363, lpips_loss 0.3207, g_loss 0.2124, disc_weight 0.0000, disc_adaptive_weight 3.1205, d_loss 0.0000, logits_real -0.2101, logits_fake -0.2121,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.3533, rec_loss 0.0353, lpips_loss 0.3180, g_loss 0.2130, disc_weight 0.0000, disc_adaptive_weight 2.9098, d_loss 0.0000, logits_real -0.2103, logits_fake -0.2133,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.3542, rec_loss 0.0359, lpips_loss 0.3182, g_loss 0.2145, disc_weight 0.0000, disc_adaptive_weight 3.0120, d_loss 0.0000, logits_real -0.2118, logits_fake -0.2159,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.3552, rec_loss 0.0359, lpips_loss 0.3193, g_loss 0.2109, disc_weight 0.0000, disc_adaptive_weight 3.1583, d_loss 0.0000, logits_real -0.2089, logits_fake -0.2128,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.3585, rec_loss 0.0368, lpips_loss 0.3217, g_loss 0.2099, disc_weight 0.0000, disc_adaptive_weight 3.3046, d_loss 0.0000, logits_real -0.2085, logits_fake -0.2104,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.3606, rec_loss 0.0373, lpips_loss 0.3233, g_loss 0.2093, disc_weight 0.0000, disc_adaptive_weight 3.2297, d_loss 0.0000, logits_real -0.2079, logits_fake -0.2091,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.3602, rec_loss 0.0373, lpips_loss 0.3229, g_loss 0.2103, disc_weight 0.0000, disc_adaptive_weight 3.4123, d_loss 0.0000, logits_real -0.2089, logits_fake -0.2114,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.3595, rec_loss 0.0366, lpips_loss 0.3229, g_loss 0.2091, disc_weight 0.0000, disc_adaptive_weight 3.4122, d_loss 0.0000, logits_real -0.2069, logits_fake -0.2092,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.3580, rec_loss 0.0367, lpips_loss 0.3212, g_loss 0.2109, disc_weight 0.0000, disc_adaptive_weight 3.4129, d_loss 0.0000, logits_real -0.2081, logits_fake -0.2102,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.3536, rec_loss 0.0358, lpips_loss 0.3178, g_loss 0.2131, disc_weight 0.0000, disc_adaptive_weight 3.2528, d_loss 0.0000, logits_real -0.2085, logits_fake -0.2124,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.3514, rec_loss 0.0361, lpips_loss 0.3152, g_loss 0.2147, disc_weight 0.0000, disc_adaptive_weight 3.1842, d_loss 0.0000, logits_real -0.2095, logits_fake -0.2140,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.3518, rec_loss 0.0362, lpips_loss 0.3156, g_loss 0.2116, disc_weight 0.0000, disc_adaptive_weight 2.9913, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2111,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.3472, rec_loss 0.0360, lpips_loss 0.3112, g_loss 0.2118, disc_weight 0.0000, disc_adaptive_weight 2.8812, d_loss 0.0000, logits_real -0.2088, logits_fake -0.2111,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.3450, rec_loss 0.0357, lpips_loss 0.3093, g_loss 0.2122, disc_weight 0.0000, disc_adaptive_weight 2.6542, d_loss 0.0000, logits_real -0.2114, logits_fake -0.2124,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.3436, rec_loss 0.0354, lpips_loss 0.3082, g_loss 0.2114, disc_weight 0.0000, disc_adaptive_weight 2.8619, d_loss 0.0000, logits_real -0.2118, logits_fake -0.2116,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.3416, rec_loss 0.0344, lpips_loss 0.3072, g_loss 0.2096, disc_weight 0.0000, disc_adaptive_weight 3.1442, d_loss 0.0000, logits_real -0.2109, logits_fake -0.2102,
