dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.5_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[400/20018] transplant_loss 8.7895, rec_loss 0.0638, quant_error 0.6683,
Train Epoch: [1/5] Iters:[410/20018] transplant_loss 8.6870, rec_loss 0.0634, quant_error 0.6605,
Train Epoch: [1/5] Iters:[420/20018] transplant_loss 8.5586, rec_loss 0.0630, quant_error 0.6508,
Train Epoch: [1/5] Iters:[430/20018] transplant_loss 8.4404, rec_loss 0.0616, quant_error 0.6424,
Train Epoch: [1/5] Iters:[440/20018] transplant_loss 8.3662, rec_loss 0.0613, quant_error 0.6363,
Train Epoch: [1/5] Iters:[450/20018] transplant_loss 8.2617, rec_loss 0.0608, quant_error 0.6294,
Train Epoch: [1/5] Iters:[460/20018] transplant_loss 8.1926, rec_loss 0.0608, quant_error 0.6236,
Train Epoch: [1/5] Iters:[470/20018] transplant_loss 8.1183, rec_loss 0.0604, quant_error 0.6184,
Train Epoch: [1/5] Iters:[480/20018] transplant_loss 8.0774, rec_loss 0.0607, quant_error 0.6145,
Train Epoch: [1/5] Iters:[490/20018] transplant_loss 7.9843, rec_loss 0.0598, quant_error 0.6074,
Train Epoch: [1/5] Iters:[500/20018] transplant_loss 7.9597, rec_loss 0.0597, quant_error 0.6046,
Train Epoch: [1/5] Iters:[510/20018] transplant_loss 7.8805, rec_loss 0.0595, quant_error 0.5997,
Train Epoch: [1/5] Iters:[520/20018] transplant_loss 7.8065, rec_loss 0.0595, quant_error 0.5929,
Train Epoch: [1/5] Iters:[530/20018] transplant_loss 7.7112, rec_loss 0.0589, quant_error 0.5859,
Train Epoch: [1/5] Iters:[540/20018] transplant_loss 7.6621, rec_loss 0.0594, quant_error 0.5821,
Train Epoch: [1/5] Iters:[550/20018] transplant_loss 7.5879, rec_loss 0.0595, quant_error 0.5762,
Train Epoch: [1/5] Iters:[560/20018] transplant_loss 7.5151, rec_loss 0.0588, quant_error 0.5694,
Train Epoch: [1/5] Iters:[570/20018] transplant_loss 7.4706, rec_loss 0.0588, quant_error 0.5660,
Train Epoch: [1/5] Iters:[580/20018] transplant_loss 7.4594, rec_loss 0.0583, quant_error 0.5645,
Train Epoch: [1/5] Iters:[590/20018] transplant_loss 7.4072, rec_loss 0.0583, quant_error 0.5603,
Train Epoch: [1/5] Iters:[600/20018] transplant_loss 7.3651, rec_loss 0.0575, quant_error 0.5559,
Train Epoch: [1/5] Iters:[610/20018] transplant_loss 7.3337, rec_loss 0.0575, quant_error 0.5531,
Train Epoch: [1/5] Iters:[620/20018] transplant_loss 7.3236, rec_loss 0.0576, quant_error 0.5517,
Train Epoch: [1/5] Iters:[630/20018] transplant_loss 7.2829, rec_loss 0.0571, quant_error 0.5477,
Train Epoch: [1/5] Iters:[640/20018] transplant_loss 7.2516, rec_loss 0.0566, quant_error 0.5450,
Train Epoch: [1/5] Iters:[650/20018] transplant_loss 7.1944, rec_loss 0.0562, quant_error 0.5415,
Train Epoch: [1/5] Iters:[660/20018] transplant_loss 7.1513, rec_loss 0.0558, quant_error 0.5374,
Train Epoch: [1/5] Iters:[670/20018] transplant_loss 7.1112, rec_loss 0.0551, quant_error 0.5341,
Train Epoch: [1/5] Iters:[680/20018] transplant_loss 7.0820, rec_loss 0.0552, quant_error 0.5317,
Train Epoch: [1/5] Iters:[690/20018] transplant_loss 7.0316, rec_loss 0.0549, quant_error 0.5274,
Train Epoch: [1/5] Iters:[700/20018] transplant_loss 7.0323, rec_loss 0.0548, quant_error 0.5263,
Train Epoch: [1/5] Iters:[710/20018] transplant_loss 7.0309, rec_loss 0.0548, quant_error 0.5257,
Train Epoch: [1/5] Iters:[720/20018] transplant_loss 7.0017, rec_loss 0.0554, quant_error 0.5225,
Train Epoch: [1/5] Iters:[730/20018] transplant_loss 6.9667, rec_loss 0.0553, quant_error 0.5194,
Train Epoch: [1/5] Iters:[740/20018] transplant_loss 6.9919, rec_loss 0.0556, quant_error 0.5200,
Train Epoch: [1/5] Iters:[750/20018] transplant_loss 6.9649, rec_loss 0.0553, quant_error 0.5174,
Train Epoch: [1/5] Iters:[760/20018] transplant_loss 6.9194, rec_loss 0.0546, quant_error 0.5140,
Train Epoch: [1/5] Iters:[770/20018] transplant_loss 6.9144, rec_loss 0.0539, quant_error 0.5131,
Train Epoch: [1/5] Iters:[780/20018] transplant_loss 6.9139, rec_loss 0.0540, quant_error 0.5123,
Train Epoch: [1/5] Iters:[790/20018] transplant_loss 6.8950, rec_loss 0.0539, quant_error 0.5106,
Train Epoch: [1/5] Iters:[800/20018] transplant_loss 6.8867, rec_loss 0.0542, quant_error 0.5095,
Train Epoch: [1/5] Iters:[810/20018] transplant_loss 6.8891, rec_loss 0.0550, quant_error 0.5087,
Train Epoch: [1/5] Iters:[820/20018] transplant_loss 6.8919, rec_loss 0.0549, quant_error 0.5086,
Train Epoch: [1/5] Iters:[830/20018] transplant_loss 6.8567, rec_loss 0.0549, quant_error 0.5059,
Train Epoch: [1/5] Iters:[840/20018] transplant_loss 6.8354, rec_loss 0.0546, quant_error 0.5040,
Train Epoch: [1/5] Iters:[850/20018] transplant_loss 6.8256, rec_loss 0.0540, quant_error 0.5024,
Train Epoch: [1/5] Iters:[860/20018] transplant_loss 6.8124, rec_loss 0.0537, quant_error 0.5015,
Train Epoch: [1/5] Iters:[870/20018] transplant_loss 6.7877, rec_loss 0.0537, quant_error 0.4994,
Train Epoch: [1/5] Iters:[880/20018] transplant_loss 6.7862, rec_loss 0.0537, quant_error 0.4993,
Train Epoch: [1/5] Iters:[890/20018] transplant_loss 6.7700, rec_loss 0.0531, quant_error 0.4974,
Train Epoch: [1/5] Iters:[900/20018] transplant_loss 6.7327, rec_loss 0.0535, quant_error 0.4950,
Train Epoch: [1/5] Iters:[910/20018] transplant_loss 6.7321, rec_loss 0.0540, quant_error 0.4939,
Train Epoch: [1/5] Iters:[920/20018] transplant_loss 6.7357, rec_loss 0.0539, quant_error 0.4934,
Train Epoch: [1/5] Iters:[930/20018] transplant_loss 6.7150, rec_loss 0.0536, quant_error 0.4913,
Train Epoch: [1/5] Iters:[940/20018] transplant_loss 6.7003, rec_loss 0.0541, quant_error 0.4902,
Train Epoch: [1/5] Iters:[950/20018] transplant_loss 6.6899, rec_loss 0.0535, quant_error 0.4893,
Train Epoch: [1/5] Iters:[960/20018] transplant_loss 6.6679, rec_loss 0.0530, quant_error 0.4877,
Train Epoch: [1/5] Iters:[970/20018] transplant_loss 6.6306, rec_loss 0.0531, quant_error 0.4845,
Train Epoch: [1/5] Iters:[980/20018] transplant_loss 6.6135, rec_loss 0.0537, quant_error 0.4828,
Train Epoch: [1/5] Iters:[990/20018] transplant_loss 6.5876, rec_loss 0.0532, quant_error 0.4803,
Train Epoch: [1/5] Iters:[1000/20018] transplant_loss 6.6027, rec_loss 0.0540, quant_error 0.4803,
Train Epoch: [1/5] Iters:[1010/20018] transplant_loss 6.5935, rec_loss 0.0537, quant_error 0.4793,
Train Epoch: [1/5] Iters:[1020/20018] transplant_loss 6.5746, rec_loss 0.0534, quant_error 0.4782,
Train Epoch: [1/5] Iters:[1030/20018] transplant_loss 6.5625, rec_loss 0.0530, quant_error 0.4772,
Train Epoch: [1/5] Iters:[1040/20018] transplant_loss 6.5544, rec_loss 0.0533, quant_error 0.4760,
Train Epoch: [1/5] Iters:[1050/20018] transplant_loss 6.5308, rec_loss 0.0529, quant_error 0.4741,
Train Epoch: [1/5] Iters:[1060/20018] transplant_loss 6.5385, rec_loss 0.0529, quant_error 0.4741,
Train Epoch: [1/5] Iters:[1070/20018] transplant_loss 6.5487, rec_loss 0.0525, quant_error 0.4741,
Train Epoch: [1/5] Iters:[1080/20018] transplant_loss 6.5426, rec_loss 0.0528, quant_error 0.4734,
Train Epoch: [1/5] Iters:[1090/20018] transplant_loss 6.5512, rec_loss 0.0528, quant_error 0.4735,
Train Epoch: [1/5] Iters:[1100/20018] transplant_loss 6.5366, rec_loss 0.0528, quant_error 0.4722,
Train Epoch: [1/5] Iters:[1110/20018] transplant_loss 6.5188, rec_loss 0.0526, quant_error 0.4707,
