Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.1180, rec_loss 0.0313, lpips_loss 0.2017, g_loss -0.0532, disc_weight 0.5000, disc_adaptive_weight 2.1557, d_loss 0.8192, logits_real 0.0533, logits_fake 0.0530,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.1213, rec_loss 0.0308, lpips_loss 0.1994, g_loss -0.0520, disc_weight 0.5000, disc_adaptive_weight 2.0832, d_loss 0.7992, logits_real 0.0521, logits_fake 0.0517,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.1235, rec_loss 0.0311, lpips_loss 0.1991, g_loss -0.0511, disc_weight 0.5000, disc_adaptive_weight 2.0794, d_loss 0.7825, logits_real 0.0510, logits_fake 0.0509,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.1286, rec_loss 0.0310, lpips_loss 0.1985, g_loss -0.0503, disc_weight 0.5000, disc_adaptive_weight 2.0003, d_loss 0.7673, logits_real 0.0502, logits_fake 0.0502,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.1363, rec_loss 0.0308, lpips_loss 0.1965, g_loss -0.0491, disc_weight 0.5000, disc_adaptive_weight 1.8434, d_loss 0.7538, logits_real 0.0493, logits_fake 0.0492,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.1388, rec_loss 0.0308, lpips_loss 0.1960, g_loss -0.0480, disc_weight 0.5000, disc_adaptive_weight 1.8293, d_loss 0.7413, logits_real 0.0484, logits_fake 0.0482,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.1386, rec_loss 0.0307, lpips_loss 0.1961, g_loss -0.0470, disc_weight 0.5000, disc_adaptive_weight 1.8709, d_loss 0.7295, logits_real 0.0474, logits_fake 0.0469,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.1466, rec_loss 0.0315, lpips_loss 0.1974, g_loss -0.0457, disc_weight 0.5000, disc_adaptive_weight 1.8003, d_loss 0.7206, logits_real 0.0465, logits_fake 0.0458,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.1452, rec_loss 0.0310, lpips_loss 0.1964, g_loss -0.0449, disc_weight 0.5000, disc_adaptive_weight 1.8243, d_loss 0.7114, logits_real 0.0457, logits_fake 0.0448,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.1443, rec_loss 0.0310, lpips_loss 0.1970, g_loss -0.0445, disc_weight 0.5000, disc_adaptive_weight 1.8702, d_loss 0.7030, logits_real 0.0452, logits_fake 0.0442,
